Year,Géographie,Âge au décès,Sexe,Principales causes de décès,Value
2016,Canada,35 à 44 ans,Femmes,Grippe et pneumopathie,1.5
2017,Canada,35 à 44 ans,Femmes,Grippe et pneumopathie,0.8
2018,Canada,35 à 44 ans,Femmes,Grippe et pneumopathie,1.1
2019,Canada,35 à 44 ans,Femmes,Grippe et pneumopathie,1.0
2015,Canada,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.8
2016,Canada,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.6
2017,Canada,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,Canada,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2019,Canada,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.5
2015,Canada,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,2.7
2016,Canada,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,2.7
2017,Canada,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,3.0
2018,Canada,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,3.6
2019,Canada,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,2.4
2015,Canada,35 à 44 ans,Femmes,Accidents (blessures involontaires),8.9
2016,Canada,35 à 44 ans,Femmes,Accidents (blessures involontaires),10.6
2017,Canada,35 à 44 ans,Femmes,Accidents (blessures involontaires),12.6
2018,Canada,35 à 44 ans,Femmes,Accidents (blessures involontaires),11.3
2019,Canada,35 à 44 ans,Femmes,Accidents (blessures involontaires),11.1
2015,Canada,35 à 44 ans,Femmes,Lésions auto-infligées,7.5
2016,Canada,35 à 44 ans,Femmes,Lésions auto-infligées,6.2
2017,Canada,35 à 44 ans,Femmes,Lésions auto-infligées,5.9
2018,Canada,35 à 44 ans,Femmes,Lésions auto-infligées,5.6
2019,Canada,35 à 44 ans,Femmes,Lésions auto-infligées,5.7
2015,Canada,45 à 54 ans,Les deux sexes,Tumeurs malignes,86.9
2016,Canada,45 à 54 ans,Les deux sexes,Tumeurs malignes,85.3
2017,Canada,45 à 54 ans,Les deux sexes,Tumeurs malignes,84.7
2018,Canada,45 à 54 ans,Les deux sexes,Tumeurs malignes,76.0
2019,Canada,45 à 54 ans,Les deux sexes,Tumeurs malignes,75.4
2015,Canada,45 à 54 ans,Les deux sexes,Diabète sucré,6.3
2016,Canada,45 à 54 ans,Les deux sexes,Diabète sucré,6.2
2017,Canada,45 à 54 ans,Les deux sexes,Diabète sucré,6.2
2018,Canada,45 à 54 ans,Les deux sexes,Diabète sucré,6.5
2019,Canada,45 à 54 ans,Les deux sexes,Diabète sucré,6.1
2015,Canada,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2016,Canada,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.2
2017,Canada,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.1
2018,Canada,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.1
2019,Canada,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.1
2015,Canada,45 à 54 ans,Les deux sexes,Maladies du coeur,35.9
2016,Canada,45 à 54 ans,Les deux sexes,Maladies du coeur,36.5
2017,Canada,45 à 54 ans,Les deux sexes,Maladies du coeur,34.3
2018,Canada,45 à 54 ans,Les deux sexes,Maladies du coeur,31.5
2019,Canada,45 à 54 ans,Les deux sexes,Maladies du coeur,31.7
2015,Canada,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,6.4
2016,Canada,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,5.9
2017,Canada,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,6.4
2018,Canada,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,5.8
2019,Canada,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,6.5
2015,Canada,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,2.9
2016,Canada,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,3.5
2017,Canada,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,2.8
2018,Canada,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,3.6
2019,Canada,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,3.2
2015,Canada,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.9
2016,Canada,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.1
2017,Canada,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.8
2018,Canada,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.2
2019,Canada,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.0
2015,Canada,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,10.1
2016,Canada,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,10.8
2017,Canada,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,9.3
2018,Canada,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,9.5
2019,Canada,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,9.7
2015,Canada,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),24.1
2016,Canada,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),26.0
2017,Canada,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),30.8
2018,Canada,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),25.8
2019,Canada,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),23.2
2015,Canada,45 à 54 ans,Les deux sexes,Lésions auto-infligées,18.9
2016,Canada,45 à 54 ans,Les deux sexes,Lésions auto-infligées,16.4
2017,Canada,45 à 54 ans,Les deux sexes,Lésions auto-infligées,16.6
2018,Canada,45 à 54 ans,Les deux sexes,Lésions auto-infligées,15.3
2019,Canada,45 à 54 ans,Les deux sexes,Lésions auto-infligées,15.1
2015,Canada,45 à 54 ans,Hommes,Tumeurs malignes,80.2
2016,Canada,45 à 54 ans,Hommes,Tumeurs malignes,76.9
2017,Canada,45 à 54 ans,Hommes,Tumeurs malignes,80.3
2018,Canada,45 à 54 ans,Hommes,Tumeurs malignes,71.9
2019,Canada,45 à 54 ans,Hommes,Tumeurs malignes,71.8
2015,Canada,45 à 54 ans,Hommes,Diabète sucré,8.4
2016,Canada,45 à 54 ans,Hommes,Diabète sucré,8.4
2017,Canada,45 à 54 ans,Hommes,Diabète sucré,8.1
2018,Canada,45 à 54 ans,Hommes,Diabète sucré,8.9
2019,Canada,45 à 54 ans,Hommes,Diabète sucré,8.1
2015,Canada,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2016,Canada,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2017,Canada,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2018,Canada,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.0
2019,Canada,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2015,Canada,45 à 54 ans,Hommes,Maladies du coeur,55.0
2016,Canada,45 à 54 ans,Hommes,Maladies du coeur,55.1
2017,Canada,45 à 54 ans,Hommes,Maladies du coeur,53.0
2018,Canada,45 à 54 ans,Hommes,Maladies du coeur,49.3
2019,Canada,45 à 54 ans,Hommes,Maladies du coeur,48.2
2015,Canada,45 à 54 ans,Hommes,Maladies cérébrovasculaires,6.8
2016,Canada,45 à 54 ans,Hommes,Maladies cérébrovasculaires,6.1
2017,Canada,45 à 54 ans,Hommes,Maladies cérébrovasculaires,7.2
2018,Canada,45 à 54 ans,Hommes,Maladies cérébrovasculaires,6.6
2019,Canada,45 à 54 ans,Hommes,Maladies cérébrovasculaires,7.1
2015,Canada,45 à 54 ans,Hommes,Grippe et pneumopathie,3.0
2016,Canada,45 à 54 ans,Hommes,Grippe et pneumopathie,4.1
2017,Canada,45 à 54 ans,Hommes,Grippe et pneumopathie,3.2
2018,Canada,45 à 54 ans,Hommes,Grippe et pneumopathie,4.0
2019,Canada,45 à 54 ans,Hommes,Grippe et pneumopathie,3.9
2015,Canada,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,4.0
2016,Canada,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,3.0
2017,Canada,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,4.2
2018,Canada,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,2.9
2019,Canada,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,3.1
2015,Canada,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,13.6
2016,Canada,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,13.8
2017,Canada,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,11.6
2018,Canada,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,12.4
2019,Canada,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,12.5
2015,Canada,45 à 54 ans,Hommes,Accidents (blessures involontaires),34.0
2016,Canada,45 à 54 ans,Hommes,Accidents (blessures involontaires),37.7
2017,Canada,45 à 54 ans,Hommes,Accidents (blessures involontaires),44.8
2018,Canada,45 à 54 ans,Hommes,Accidents (blessures involontaires),37.8
2019,Canada,45 à 54 ans,Hommes,Accidents (blessures involontaires),32.9
2015,Canada,45 à 54 ans,Hommes,Lésions auto-infligées,27.6
2016,Canada,45 à 54 ans,Hommes,Lésions auto-infligées,24.0
2017,Canada,45 à 54 ans,Hommes,Lésions auto-infligées,24.6
2018,Canada,45 à 54 ans,Hommes,Lésions auto-infligées,23.4
2019,Canada,45 à 54 ans,Hommes,Lésions auto-infligées,23.2
2015,Canada,45 à 54 ans,Femmes,Tumeurs malignes,93.6
2016,Canada,45 à 54 ans,Femmes,Tumeurs malignes,93.9
2017,Canada,45 à 54 ans,Femmes,Tumeurs malignes,89.2
2018,Canada,45 à 54 ans,Femmes,Tumeurs malignes,80.1
2019,Canada,45 à 54 ans,Femmes,Tumeurs malignes,79.0
2015,Canada,45 à 54 ans,Femmes,Diabète sucré,4.1
2016,Canada,45 à 54 ans,Femmes,Diabète sucré,4.0
2017,Canada,45 à 54 ans,Femmes,Diabète sucré,4.3
2018,Canada,45 à 54 ans,Femmes,Diabète sucré,4.2
2019,Canada,45 à 54 ans,Femmes,Diabète sucré,4.0
2015,Canada,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.0
2016,Canada,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.3
2017,Canada,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.1
2018,Canada,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.2
2019,Canada,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.1
2015,Canada,45 à 54 ans,Femmes,Maladies du coeur,16.8
2016,Canada,45 à 54 ans,Femmes,Maladies du coeur,17.7
2017,Canada,45 à 54 ans,Femmes,Maladies du coeur,15.5
2018,Canada,45 à 54 ans,Femmes,Maladies du coeur,13.9
2019,Canada,45 à 54 ans,Femmes,Maladies du coeur,15.3
2015,Canada,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.9
2016,Canada,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.7
2017,Canada,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.5
2018,Canada,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.0
2019,Canada,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.9
2015,Canada,45 à 54 ans,Femmes,Grippe et pneumopathie,2.8
2016,Canada,45 à 54 ans,Femmes,Grippe et pneumopathie,3.0
2017,Canada,45 à 54 ans,Femmes,Grippe et pneumopathie,2.5
2018,Canada,45 à 54 ans,Femmes,Grippe et pneumopathie,3.2
2019,Canada,45 à 54 ans,Femmes,Grippe et pneumopathie,2.6
2015,Canada,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.9
2016,Canada,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.2
2017,Canada,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.4
2018,Canada,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.6
2019,Canada,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,2.8
2015,Canada,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,6.5
2016,Canada,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,7.8
2017,Canada,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,7.1
2018,Canada,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,6.6
2019,Canada,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,6.9
2015,Canada,45 à 54 ans,Femmes,Accidents (blessures involontaires),14.2
2016,Canada,45 à 54 ans,Femmes,Accidents (blessures involontaires),14.2
2017,Canada,45 à 54 ans,Femmes,Accidents (blessures involontaires),16.7
2018,Canada,45 à 54 ans,Femmes,Accidents (blessures involontaires),14.0
2019,Canada,45 à 54 ans,Femmes,Accidents (blessures involontaires),13.7
2015,Canada,45 à 54 ans,Femmes,Lésions auto-infligées,10.1
2016,Canada,45 à 54 ans,Femmes,Lésions auto-infligées,8.8
2017,Canada,45 à 54 ans,Femmes,Lésions auto-infligées,8.7
2018,Canada,45 à 54 ans,Femmes,Lésions auto-infligées,7.2
2019,Canada,45 à 54 ans,Femmes,Lésions auto-infligées,7.1
2015,Canada,55 à 64 ans,Les deux sexes,Tumeurs malignes,273.4
2016,Canada,55 à 64 ans,Les deux sexes,Tumeurs malignes,262.5
2017,Canada,55 à 64 ans,Les deux sexes,Tumeurs malignes,260.9
2018,Canada,55 à 64 ans,Les deux sexes,Tumeurs malignes,248.6
2019,Canada,55 à 64 ans,Les deux sexes,Tumeurs malignes,240.6
2015,Canada,55 à 64 ans,Les deux sexes,Diabète sucré,16.9
2016,Canada,55 à 64 ans,Les deux sexes,Diabète sucré,15.7
2017,Canada,55 à 64 ans,Les deux sexes,Diabète sucré,16.2
2018,Canada,55 à 64 ans,Les deux sexes,Diabète sucré,15.1
2019,Canada,55 à 64 ans,Les deux sexes,Diabète sucré,16.3
2015,Canada,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.3
2016,Canada,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.3
2017,Canada,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.4
2018,Canada,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.2
2019,Canada,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.3
2015,Canada,55 à 64 ans,Les deux sexes,Maladies du coeur,101.1
2016,Canada,55 à 64 ans,Les deux sexes,Maladies du coeur,99.8
2017,Canada,55 à 64 ans,Les deux sexes,Maladies du coeur,98.8
2018,Canada,55 à 64 ans,Les deux sexes,Maladies du coeur,92.6
2019,Canada,55 à 64 ans,Les deux sexes,Maladies du coeur,90.4
2015,Canada,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,16.3
2016,Canada,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,16.7
2017,Canada,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,15.9
2018,Canada,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,15.8
2019,Canada,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,15.8
2015,Canada,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,7.0
2016,Canada,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,8.3
2017,Canada,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,7.2
2018,Canada,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,8.6
2019,Canada,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,8.3
2015,Canada,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,19.8
2016,Canada,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,19.3
2017,Canada,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,19.7
2018,Canada,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,20.3
2019,Canada,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,20.3
2015,Canada,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.5
2016,Canada,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.5
2017,Canada,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.3
2018,Canada,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.7
2019,Canada,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,19.4
2015,Canada,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),25.5
2016,Canada,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),25.7
2017,Canada,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),29.5
2018,Canada,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),26.7
2019,Canada,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),26.2
2015,Canada,55 à 64 ans,Les deux sexes,Lésions auto-infligées,17.2
2016,Canada,55 à 64 ans,Les deux sexes,Lésions auto-infligées,14.5
2017,Canada,55 à 64 ans,Les deux sexes,Lésions auto-infligées,15.2
2018,Canada,55 à 64 ans,Les deux sexes,Lésions auto-infligées,13.7
2019,Canada,55 à 64 ans,Les deux sexes,Lésions auto-infligées,14.9
2015,Canada,55 à 64 ans,Hommes,Tumeurs malignes,287.7
2016,Canada,55 à 64 ans,Hommes,Tumeurs malignes,278.3
2017,Canada,55 à 64 ans,Hommes,Tumeurs malignes,276.7
2018,Canada,55 à 64 ans,Hommes,Tumeurs malignes,265.9
2019,Canada,55 à 64 ans,Hommes,Tumeurs malignes,258.4
2015,Canada,55 à 64 ans,Hommes,Diabète sucré,22.3
2016,Canada,55 à 64 ans,Hommes,Diabète sucré,20.6
2017,Canada,55 à 64 ans,Hommes,Diabète sucré,22.0
2018,Canada,55 à 64 ans,Hommes,Diabète sucré,19.7
2019,Canada,55 à 64 ans,Hommes,Diabète sucré,21.8
2015,Canada,55 à 64 ans,Hommes,Maladie d'Alzheimer,0.9
2016,Canada,55 à 64 ans,Hommes,Maladie d'Alzheimer,0.9
2017,Canada,55 à 64 ans,Hommes,Maladie d'Alzheimer,1.1
2018,Canada,55 à 64 ans,Hommes,Maladie d'Alzheimer,1.0
2019,Canada,55 à 64 ans,Hommes,Maladie d'Alzheimer,1.0
2015,Canada,55 à 64 ans,Hommes,Maladies du coeur,150.1
2016,Canada,55 à 64 ans,Hommes,Maladies du coeur,150.3
2017,Canada,55 à 64 ans,Hommes,Maladies du coeur,147.5
2018,Canada,55 à 64 ans,Hommes,Maladies du coeur,139.0
2019,Canada,55 à 64 ans,Hommes,Maladies du coeur,135.7
2015,Canada,55 à 64 ans,Hommes,Maladies cérébrovasculaires,18.3
2016,Canada,55 à 64 ans,Hommes,Maladies cérébrovasculaires,20.4
2017,Canada,55 à 64 ans,Hommes,Maladies cérébrovasculaires,17.7
2018,Canada,55 à 64 ans,Hommes,Maladies cérébrovasculaires,19.0
2019,Canada,55 à 64 ans,Hommes,Maladies cérébrovasculaires,18.1
2015,Canada,55 à 64 ans,Hommes,Grippe et pneumopathie,7.6
2016,Canada,55 à 64 ans,Hommes,Grippe et pneumopathie,10.1
2017,Canada,55 à 64 ans,Hommes,Grippe et pneumopathie,7.9
2018,Canada,55 à 64 ans,Hommes,Grippe et pneumopathie,10.4
2019,Canada,55 à 64 ans,Hommes,Grippe et pneumopathie,9.5
2015,Canada,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,22.3
2016,Canada,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,21.6
2017,Canada,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,20.7
2018,Canada,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,22.2
2019,Canada,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,22.0
2015,Canada,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,27.3
2016,Canada,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,26.8
2017,Canada,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,26.4
2018,Canada,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,26.8
2019,Canada,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,26.6
2015,Canada,55 à 64 ans,Hommes,Accidents (blessures involontaires),37.2
2016,Canada,55 à 64 ans,Hommes,Accidents (blessures involontaires),37.1
2017,Canada,55 à 64 ans,Hommes,Accidents (blessures involontaires),42.5
2018,Canada,55 à 64 ans,Hommes,Accidents (blessures involontaires),39.7
2019,Canada,55 à 64 ans,Hommes,Accidents (blessures involontaires),38.7
2015,Canada,55 à 64 ans,Hommes,Lésions auto-infligées,26.6
2016,Canada,55 à 64 ans,Hommes,Lésions auto-infligées,21.9
2017,Canada,55 à 64 ans,Hommes,Lésions auto-infligées,22.7
2018,Canada,55 à 64 ans,Hommes,Lésions auto-infligées,21.3
2019,Canada,55 à 64 ans,Hommes,Lésions auto-infligées,23.3
2015,Canada,55 à 64 ans,Femmes,Tumeurs malignes,259.4
2016,Canada,55 à 64 ans,Femmes,Tumeurs malignes,247.0
2017,Canada,55 à 64 ans,Femmes,Tumeurs malignes,245.3
2018,Canada,55 à 64 ans,Femmes,Tumeurs malignes,231.7
2019,Canada,55 à 64 ans,Femmes,Tumeurs malignes,223.1
2015,Canada,55 à 64 ans,Femmes,Diabète sucré,11.6
2016,Canada,55 à 64 ans,Femmes,Diabète sucré,10.8
2017,Canada,55 à 64 ans,Femmes,Diabète sucré,10.5
2018,Canada,55 à 64 ans,Femmes,Diabète sucré,10.7
2019,Canada,55 à 64 ans,Femmes,Diabète sucré,11.0
2015,Canada,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.7
2016,Canada,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.6
2017,Canada,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.7
2018,Canada,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.4
2019,Canada,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.7
2015,Canada,55 à 64 ans,Femmes,Maladies du coeur,52.7
2016,Canada,55 à 64 ans,Femmes,Maladies du coeur,49.9
2017,Canada,55 à 64 ans,Femmes,Maladies du coeur,50.8
2018,Canada,55 à 64 ans,Femmes,Maladies du coeur,47.3
2019,Canada,55 à 64 ans,Femmes,Maladies du coeur,46.0
2015,Canada,55 à 64 ans,Femmes,Maladies cérébrovasculaires,14.3
2016,Canada,55 à 64 ans,Femmes,Maladies cérébrovasculaires,13.0
2017,Canada,55 à 64 ans,Femmes,Maladies cérébrovasculaires,14.1
2018,Canada,55 à 64 ans,Femmes,Maladies cérébrovasculaires,12.7
2019,Canada,55 à 64 ans,Femmes,Maladies cérébrovasculaires,13.5
2015,Canada,55 à 64 ans,Femmes,Grippe et pneumopathie,6.4
2016,Canada,55 à 64 ans,Femmes,Grippe et pneumopathie,6.6
2017,Canada,55 à 64 ans,Femmes,Grippe et pneumopathie,6.5
2018,Canada,55 à 64 ans,Femmes,Grippe et pneumopathie,6.9
2019,Canada,55 à 64 ans,Femmes,Grippe et pneumopathie,7.0
2015,Canada,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,17.3
2016,Canada,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,17.1
2017,Canada,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,18.7
2018,Canada,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,18.5
2019,Canada,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,18.6
2015,Canada,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,11.9
2016,Canada,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.4
2017,Canada,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.3
2018,Canada,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.8
2019,Canada,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.4
2015,Canada,55 à 64 ans,Femmes,Accidents (blessures involontaires),13.8
2016,Canada,55 à 64 ans,Femmes,Accidents (blessures involontaires),14.6
2017,Canada,55 à 64 ans,Femmes,Accidents (blessures involontaires),16.6
2018,Canada,55 à 64 ans,Femmes,Accidents (blessures involontaires),13.9
2019,Canada,55 à 64 ans,Femmes,Accidents (blessures involontaires),14.0
2015,Canada,55 à 64 ans,Femmes,Lésions auto-infligées,8.0
2016,Canada,55 à 64 ans,Femmes,Lésions auto-infligées,7.1
2017,Canada,55 à 64 ans,Femmes,Lésions auto-infligées,7.8
2018,Canada,55 à 64 ans,Femmes,Lésions auto-infligées,6.4
2019,Canada,55 à 64 ans,Femmes,Lésions auto-infligées,6.7
2015,Canada,65 à 74 ans,Les deux sexes,Tumeurs malignes,622.8
2016,Canada,65 à 74 ans,Les deux sexes,Tumeurs malignes,622.5
2017,Canada,65 à 74 ans,Les deux sexes,Tumeurs malignes,607.3
2018,Canada,65 à 74 ans,Les deux sexes,Tumeurs malignes,590.7
2019,Canada,65 à 74 ans,Les deux sexes,Tumeurs malignes,575.6
2015,Canada,65 à 74 ans,Les deux sexes,Diabète sucré,47.3
2016,Canada,65 à 74 ans,Les deux sexes,Diabète sucré,42.9
2017,Canada,65 à 74 ans,Les deux sexes,Diabète sucré,42.8
2018,Canada,65 à 74 ans,Les deux sexes,Diabète sucré,43.3
2019,Canada,65 à 74 ans,Les deux sexes,Diabète sucré,41.0
2015,Canada,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,11.5
2016,Canada,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,11.1
2017,Canada,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,11.5
2018,Canada,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,9.8
2019,Canada,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,9.0
2015,Canada,65 à 74 ans,Les deux sexes,Maladies du coeur,244.7
2016,Canada,65 à 74 ans,Les deux sexes,Maladies du coeur,240.4
2017,Canada,65 à 74 ans,Les deux sexes,Maladies du coeur,242.5
2018,Canada,65 à 74 ans,Les deux sexes,Maladies du coeur,237.1
2019,Canada,65 à 74 ans,Les deux sexes,Maladies du coeur,228.9
2015,Canada,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,52.9
2016,Canada,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,51.4
2017,Canada,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,49.9
2018,Canada,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,48.3
2019,Canada,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,50.8
2015,Canada,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,21.6
2016,Canada,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,19.6
2017,Canada,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,20.2
2018,Canada,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,23.3
2019,Canada,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,21.4
2015,Canada,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,78.6
2016,Canada,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,77.1
2017,Canada,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,79.5
2018,Canada,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,78.7
