Year,Geography,Persons in low income,Value
2015,Saskatchewan,Persons in economic families,9.9
2016,Saskatchewan,Persons in economic families,8.4
2017,Saskatchewan,Persons in economic families,9.2
2018,Saskatchewan,Persons in economic families,8.0
2019,Saskatchewan,Persons in economic families,8.8
2015,Saskatchewan,Males in economic families,8.8
2016,Saskatchewan,Males in economic families,7.8
2017,Saskatchewan,Males in economic families,8.5
2018,Saskatchewan,Males in economic families,7.2
2019,Saskatchewan,Males in economic families,9.1
2015,Saskatchewan,Females in economic families,11.0
2016,Saskatchewan,Females in economic families,9.0
2017,Saskatchewan,Females in economic families,9.9
2018,Saskatchewan,Females in economic families,8.9
2019,Saskatchewan,Females in economic families,8.5
2015,Saskatchewan,Elderly persons in economic families,
2016,Saskatchewan,Elderly persons in economic families,
2017,Saskatchewan,Elderly persons in economic families,2.6
2018,Saskatchewan,Elderly persons in economic families,2.8
2019,Saskatchewan,Elderly persons in economic families,4.2
2015,Saskatchewan,Persons under 18 years in economic families,16.9
2016,Saskatchewan,Persons under 18 years in economic families,12.0
2017,Saskatchewan,Persons under 18 years in economic families,14.4
2018,Saskatchewan,Persons under 18 years in economic families,11.5
2019,Saskatchewan,Persons under 18 years in economic families,12.0
2015,Saskatchewan,Persons under 18 years in couple families with children,12.5
2016,Saskatchewan,Persons under 18 years in couple families with children,8.2
2017,Saskatchewan,Persons under 18 years in couple families with children,9.2
2018,Saskatchewan,Persons under 18 years in couple families with children,8.0
2019,Saskatchewan,Persons under 18 years in couple families with children,7.9
2015,Saskatchewan,Persons under 18 years in female lone-parent families,43.4
2016,Saskatchewan,Persons under 18 years in female lone-parent families,54.4
2017,Saskatchewan,Persons under 18 years in female lone-parent families,53.0
2018,Saskatchewan,Persons under 18 years in female lone-parent families,48.4
2019,Saskatchewan,Persons under 18 years in female lone-parent families,39.0
2015,Saskatchewan,Persons 18 to 64 years in economic families,8.6
2016,Saskatchewan,Persons 18 to 64 years in economic families,7.9
2017,Saskatchewan,Persons 18 to 64 years in economic families,8.3
2018,Saskatchewan,Persons 18 to 64 years in economic families,7.6
2019,Saskatchewan,Persons 18 to 64 years in economic families,8.5
2015,Saskatchewan,Persons not in an economic family,27.5
2016,Saskatchewan,Persons not in an economic family,27.4
2017,Saskatchewan,Persons not in an economic family,28.0
2018,Saskatchewan,Persons not in an economic family,27.8
2019,Saskatchewan,Persons not in an economic family,31.0
2015,Saskatchewan,Males not in an economic family,23.9
2016,Saskatchewan,Males not in an economic family,25.0
2017,Saskatchewan,Males not in an economic family,29.5
2018,Saskatchewan,Males not in an economic family,29.7
2019,Saskatchewan,Males not in an economic family,33.3
2015,Saskatchewan,Females not in an economic family,31.4
2016,Saskatchewan,Females not in an economic family,30.0
2017,Saskatchewan,Females not in an economic family,26.4
2018,Saskatchewan,Females not in an economic family,25.8
2019,Saskatchewan,Females not in an economic family,28.6
2015,Saskatchewan,Elderly persons not in an economic family,17.0
2016,Saskatchewan,Elderly persons not in an economic family,15.3
2017,Saskatchewan,Elderly persons not in an economic family,12.0
2018,Saskatchewan,Elderly persons not in an economic family,8.9
2019,Saskatchewan,Elderly persons not in an economic family,10.6
2015,Saskatchewan,Non-elderly persons not in an economic family,31.1
2016,Saskatchewan,Non-elderly persons not in an economic family,32.4
2017,Saskatchewan,Non-elderly persons not in an economic family,34.3
2018,Saskatchewan,Non-elderly persons not in an economic family,35.5
2019,Saskatchewan,Non-elderly persons not in an economic family,38.2
2015,Saskatchewan,Non-elderly males not in an economic family,25.3
2016,Saskatchewan,Non-elderly males not in an economic family,27.3
2017,Saskatchewan,Non-elderly males not in an economic family,33.1
2018,Saskatchewan,Non-elderly males not in an economic family,35.2
2019,Saskatchewan,Non-elderly males not in an economic family,37.7
2015,Saskatchewan,Non-elderly females not in an economic family,39.2
2016,Saskatchewan,Non-elderly females not in an economic family,39.1
2017,Saskatchewan,Non-elderly females not in an economic family,36.1
2018,Saskatchewan,Non-elderly females not in an economic family,36.0
2019,Saskatchewan,Non-elderly females not in an economic family,39.0
2015,Alberta,All persons,10.0
2016,Alberta,All persons,10.8
2017,Alberta,All persons,9.0
2018,Alberta,All persons,9.4
2019,Alberta,All persons,8.2
2015,Alberta,Persons under 18 years,12.9
2016,Alberta,Persons under 18 years,11.4
2017,Alberta,Persons under 18 years,7.9
2018,Alberta,Persons under 18 years,9.2
2019,Alberta,Persons under 18 years,7.2
2015,Alberta,Persons 18 to 64 years,10.2
2016,Alberta,Persons 18 to 64 years,11.8
2017,Alberta,Persons 18 to 64 years,10.4
2018,Alberta,Persons 18 to 64 years,10.6
2019,Alberta,Persons 18 to 64 years,9.6
2015,Alberta,Persons 65 years and over,3.2
2016,Alberta,Persons 65 years and over,4.5
2017,Alberta,Persons 65 years and over,2.9
2018,Alberta,Persons 65 years and over,3.5
2019,Alberta,Persons 65 years and over,3.3
2015,Alberta,Males,9.5
2016,Alberta,Males,10.5
2017,Alberta,Males,8.2
2018,Alberta,Males,9.6
2019,Alberta,Males,8.5
2015,Alberta,"Males, under 18 years",10.1
2016,Alberta,"Males, under 18 years",11.2
2017,Alberta,"Males, under 18 years",7.4
2018,Alberta,"Males, under 18 years",9.8
2019,Alberta,"Males, under 18 years",8.0
2015,Alberta,"Males, 18 to 64 years",10.3
2016,Alberta,"Males, 18 to 64 years",11.2
2017,Alberta,"Males, 18 to 64 years",9.4
2018,Alberta,"Males, 18 to 64 years",10.7
2019,Alberta,"Males, 18 to 64 years",9.6
2015,Alberta,"Males, 65 years and over",
2016,Alberta,"Males, 65 years and over",4.7
2017,Alberta,"Males, 65 years and over",2.7
2018,Alberta,"Males, 65 years and over",2.5
2019,Alberta,"Males, 65 years and over",4.1
2015,Alberta,Females,10.5
2016,Alberta,Females,11.2
2017,Alberta,Females,9.7
2018,Alberta,Females,9.2
2019,Alberta,Females,7.9
2015,Alberta,"Females, under 18 years",15.9
2016,Alberta,"Females, under 18 years",11.6
2017,Alberta,"Females, under 18 years",8.4
2018,Alberta,"Females, under 18 years",8.6
2019,Alberta,"Females, under 18 years",6.5
2015,Alberta,"Females, 18 to 64 years",10.1
2016,Alberta,"Females, 18 to 64 years",12.4
2017,Alberta,"Females, 18 to 64 years",11.4
2018,Alberta,"Females, 18 to 64 years",10.4
2019,Alberta,"Females, 18 to 64 years",9.6
2015,Alberta,"Females, 65 years and over",3.5
2016,Alberta,"Females, 65 years and over",4.3
2017,Alberta,"Females, 65 years and over",3.1
2018,Alberta,"Females, 65 years and over",4.3
2019,Alberta,"Females, 65 years and over",2.7
2015,Alberta,Persons in economic families,7.9
2016,Alberta,Persons in economic families,8.3
2017,Alberta,Persons in economic families,6.7
2018,Alberta,Persons in economic families,6.5
2019,Alberta,Persons in economic families,5.8
2015,Alberta,Males in economic families,7.0
2016,Alberta,Males in economic families,8.2
2017,Alberta,Males in economic families,6.3
2018,Alberta,Males in economic families,6.4
2019,Alberta,Males in economic families,5.7
2015,Alberta,Females in economic families,8.9
2016,Alberta,Females in economic families,8.4
2017,Alberta,Females in economic families,7.1
2018,Alberta,Females in economic families,6.6
2019,Alberta,Females in economic families,5.9
2015,Alberta,Elderly persons in economic families,
2016,Alberta,Elderly persons in economic families,
2017,Alberta,Elderly persons in economic families,1.9
2018,Alberta,Elderly persons in economic families,2.7
2019,Alberta,Elderly persons in economic families,2.5
2015,Alberta,Persons under 18 years in economic families,12.8
2016,Alberta,Persons under 18 years in economic families,11.3
2017,Alberta,Persons under 18 years in economic families,7.9
2018,Alberta,Persons under 18 years in economic families,9.1
2019,Alberta,Persons under 18 years in economic families,6.9
2015,Alberta,Persons under 18 years in couple families with children,10.6
2016,Alberta,Persons under 18 years in couple families with children,10.3
2017,Alberta,Persons under 18 years in couple families with children,6.9
2018,Alberta,Persons under 18 years in couple families with children,7.7
2019,Alberta,Persons under 18 years in couple families with children,6.1
2015,Alberta,Persons under 18 years in female lone-parent families,39.1
2016,Alberta,Persons under 18 years in female lone-parent families,36.5
2017,Alberta,Persons under 18 years in female lone-parent families,27.3
2018,Alberta,Persons under 18 years in female lone-parent families,32.3
2019,Alberta,Persons under 18 years in female lone-parent families,24.4
2015,Alberta,Persons 18 to 64 years in economic families,7.0
2016,Alberta,Persons 18 to 64 years in economic families,8.1
2017,Alberta,Persons 18 to 64 years in economic families,7.0
2018,Alberta,Persons 18 to 64 years in economic families,6.1
2019,Alberta,Persons 18 to 64 years in economic families,5.9
2015,Alberta,Persons not in an economic family,21.8
2016,Alberta,Persons not in an economic family,25.2
2017,Alberta,Persons not in an economic family,21.9
2018,Alberta,Persons not in an economic family,25.8
2019,Alberta,Persons not in an economic family,22.2
2015,Alberta,Males not in an economic family,22.8
2016,Alberta,Males not in an economic family,22.9
2017,Alberta,Males not in an economic family,19.0
2018,Alberta,Males not in an economic family,25.8
2019,Alberta,Males not in an economic family,24.7
2015,Alberta,Females not in an economic family,20.6
2016,Alberta,Females not in an economic family,27.7
2017,Alberta,Females not in an economic family,24.8
2018,Alberta,Females not in an economic family,25.8
2019,Alberta,Females not in an economic family,19.7
2015,Alberta,Elderly persons not in an economic family,7.8
2016,Alberta,Elderly persons not in an economic family,10.6
2017,Alberta,Elderly persons not in an economic family,5.6
2018,Alberta,Elderly persons not in an economic family,5.9
2019,Alberta,Elderly persons not in an economic family,5.7
2015,Alberta,Non-elderly persons not in an economic family,25.1
2016,Alberta,Non-elderly persons not in an economic family,29.1
2017,Alberta,Non-elderly persons not in an economic family,26.6
2018,Alberta,Non-elderly persons not in an economic family,31.0
2019,Alberta,Non-elderly persons not in an economic family,26.9
2015,Alberta,Non-elderly males not in an economic family,24.6
2016,Alberta,Non-elderly males not in an economic family,24.6
2017,Alberta,Non-elderly males not in an economic family,21.0
2018,Alberta,Non-elderly males not in an economic family,29.0
2019,Alberta,Non-elderly males not in an economic family,27.0
2015,Alberta,Non-elderly females not in an economic family,25.7
2016,Alberta,Non-elderly females not in an economic family,35.0
2017,Alberta,Non-elderly females not in an economic family,33.5
2018,Alberta,Non-elderly females not in an economic family,34.1
2019,Alberta,Non-elderly females not in an economic family,26.8
2015,British Columbia,All persons,17.8
2016,British Columbia,All persons,15.3
2017,British Columbia,All persons,13.6
2018,British Columbia,All persons,12.1
2019,British Columbia,All persons,10.8
2015,British Columbia,Persons under 18 years,16.6
2016,British Columbia,Persons under 18 years,17.0
2017,British Columbia,Persons under 18 years,13.0
2018,British Columbia,Persons under 18 years,10.9
2019,British Columbia,Persons under 18 years,7.2
2015,British Columbia,Persons 18 to 64 years,19.8
2016,British Columbia,Persons 18 to 64 years,16.6
2017,British Columbia,Persons 18 to 64 years,15.0
2018,British Columbia,Persons 18 to 64 years,13.8
2019,British Columbia,Persons 18 to 64 years,13.3
2015,British Columbia,Persons 65 years and over,11.3
2016,British Columbia,Persons 65 years and over,8.9
2017,British Columbia,Persons 65 years and over,9.2
2018,British Columbia,Persons 65 years and over,7.7
2019,British Columbia,Persons 65 years and over,5.9
2015,British Columbia,Males,17.7
2016,British Columbia,Males,15.5
2017,British Columbia,Males,13.6
2018,British Columbia,Males,12.5
2019,British Columbia,Males,10.0
2015,British Columbia,"Males, under 18 years",14.9
2016,British Columbia,"Males, under 18 years",17.1
2017,British Columbia,"Males, under 18 years",14.3
2018,British Columbia,"Males, under 18 years",12.3
2019,British Columbia,"Males, under 18 years",6.9
2015,British Columbia,"Males, 18 to 64 years",20.2
2016,British Columbia,"Males, 18 to 64 years",17.0
2017,British Columbia,"Males, 18 to 64 years",14.7
2018,British Columbia,"Males, 18 to 64 years",14.0
2019,British Columbia,"Males, 18 to 64 years",12.4
2015,British Columbia,"Males, 65 years and over",11.0
2016,British Columbia,"Males, 65 years and over",7.8
2017,British Columbia,"Males, 65 years and over",8.8
2018,British Columbia,"Males, 65 years and over",7.2
2019,British Columbia,"Males, 65 years and over",5.1
2015,British Columbia,Females,17.8
2016,British Columbia,Females,15.1
2017,British Columbia,Females,13.7
2018,British Columbia,Females,11.8
2019,British Columbia,Females,11.6
2015,British Columbia,"Females, under 18 years",18.4
2016,British Columbia,"Females, under 18 years",17.0
2017,British Columbia,"Females, under 18 years",11.7
2018,British Columbia,"Females, under 18 years",9.3
2019,British Columbia,"Females, under 18 years",7.4
2015,British Columbia,"Females, 18 to 64 years",19.4
2016,British Columbia,"Females, 18 to 64 years",16.1
2017,British Columbia,"Females, 18 to 64 years",15.4
2018,British Columbia,"Females, 18 to 64 years",13.6
2019,British Columbia,"Females, 18 to 64 years",14.2
2015,British Columbia,"Females, 65 years and over",11.5
2016,British Columbia,"Females, 65 years and over",9.8
2017,British Columbia,"Females, 65 years and over",9.6
2018,British Columbia,"Females, 65 years and over",8.3
2019,British Columbia,"Females, 65 years and over",6.7
2015,British Columbia,Persons in economic families,12.7
2016,British Columbia,Persons in economic families,10.7
2017,British Columbia,Persons in economic families,9.5
2018,British Columbia,Persons in economic families,7.9
2019,British Columbia,Persons in economic families,6.6
2015,British Columbia,Males in economic families,11.7
2016,British Columbia,Males in economic families,10.4
2017,British Columbia,Males in economic families,9.8
2018,British Columbia,Males in economic families,8.2
2019,British Columbia,Males in economic families,6.6
2015,British Columbia,Females in economic families,13.7
2016,British Columbia,Females in economic families,11.0
2017,British Columbia,Females in economic families,9.2
2018,British Columbia,Females in economic families,7.5
2019,British Columbia,Females in economic families,6.7
2015,British Columbia,Elderly persons in economic families,6.0
2016,British Columbia,Elderly persons in economic families,4.1
2017,British Columbia,Elderly persons in economic families,5.7
2018,British Columbia,Elderly persons in economic families,3.5
2019,British Columbia,Elderly persons in economic families,3.1
2015,British Columbia,Persons under 18 years in economic families,15.9
2016,British Columbia,Persons under 18 years in economic families,16.9
2017,British Columbia,Persons under 18 years in economic families,12.8
2018,British Columbia,Persons under 18 years in economic families,10.8
2019,British Columbia,Persons under 18 years in economic families,7.0
2015,British Columbia,Persons under 18 years in couple families with children,14.5
2016,British Columbia,Persons under 18 years in couple families with children,12.0
2017,British Columbia,Persons under 18 years in couple families with children,10.4
2018,British Columbia,Persons under 18 years in couple families with children,9.2
2019,British Columbia,Persons under 18 years in couple families with children,5.0
2015,British Columbia,Persons under 18 years in female lone-parent families,36.8
2016,British Columbia,Persons under 18 years in female lone-parent families,55.7
2017,British Columbia,Persons under 18 years in female lone-parent families,34.3
2018,British Columbia,Persons under 18 years in female lone-parent families,30.7
2019,British Columbia,Persons under 18 years in female lone-parent families,27.7
2015,British Columbia,Persons 18 to 64 years in economic families,13.2
2016,British Columbia,Persons 18 to 64 years in economic families,10.2
2017,British Columbia,Persons 18 to 64 years in economic families,9.3
2018,British Columbia,Persons 18 to 64 years in economic families,8.0
2019,British Columbia,Persons 18 to 64 years in economic families,7.5
2015,British Columbia,Persons not in an economic family,41.9
2016,British Columbia,Persons not in an economic family,37.2
2017,British Columbia,Persons not in an economic family,33.3
2018,British Columbia,Persons not in an economic family,32.5
2019,British Columbia,Persons not in an economic family,30.6
2015,British Columbia,Males not in an economic family,44.5
2016,British Columbia,Males not in an economic family,39.2
2017,British Columbia,Males not in an economic family,31.1
2018,British Columbia,Males not in an economic family,32.4
2019,British Columbia,Males not in an economic family,27.3
2015,British Columbia,Females not in an economic family,39.0
2016,British Columbia,Females not in an economic family,35.1
2017,British Columbia,Females not in an economic family,35.5
2018,British Columbia,Females not in an economic family,32.5
2019,British Columbia,Females not in an economic family,33.7
2015,British Columbia,Elderly persons not in an economic family,24.9
2016,British Columbia,Elderly persons not in an economic family,22.6
2017,British Columbia,Elderly persons not in an economic family,19.2
2018,British Columbia,Elderly persons not in an economic family,19.7
2019,British Columbia,Elderly persons not in an economic family,13.6
2015,British Columbia,Non-elderly persons not in an economic family,48.5
2016,British Columbia,Non-elderly persons not in an economic family,42.5
2017,British Columbia,Non-elderly persons not in an economic family,38.6
2018,British Columbia,Non-elderly persons not in an economic family,37.4
2019,British Columbia,Non-elderly persons not in an economic family,37.4
2015,British Columbia,Non-elderly males not in an economic family,47.2
2016,British Columbia,Non-elderly males not in an economic family,41.3
2017,British Columbia,Non-elderly males not in an economic family,33.9
2018,British Columbia,Non-elderly males not in an economic family,35.5
2019,British Columbia,Non-elderly males not in an economic family,32.2
2015,British Columbia,Non-elderly females not in an economic family,50.5
2016,British Columbia,Non-elderly females not in an economic family,43.9
2017,British Columbia,Non-elderly females not in an economic family,44.7
2018,British Columbia,Non-elderly females not in an economic family,39.7
2019,British Columbia,Non-elderly females not in an economic family,43.0
2015,"Quebec, Québec",All persons,8.1
2016,"Quebec, Québec",All persons,6.7
2017,"Quebec, Québec",All persons,5.7
2018,"Quebec, Québec",All persons,8.4
2019,"Quebec, Québec",All persons,7.6
2015,"Quebec, Québec",Persons under 18 years,
2016,"Quebec, Québec",Persons under 18 years,
2017,"Quebec, Québec",Persons under 18 years,
2018,"Quebec, Québec",Persons under 18 years,
2019,"Quebec, Québec",Persons under 18 years,
2015,"Quebec, Québec",Persons 18 to 64 years,9.4
2016,"Quebec, Québec",Persons 18 to 64 years,7.3
2017,"Quebec, Québec",Persons 18 to 64 years,6.4
2018,"Quebec, Québec",Persons 18 to 64 years,9.8
2019,"Quebec, Québec",Persons 18 to 64 years,9.2
2015,"Quebec, Québec",Persons 65 years and over,9.2
2016,"Quebec, Québec",Persons 65 years and over,5.2
2017,"Quebec, Québec",Persons 65 years and over,4.6
2018,"Quebec, Québec",Persons 65 years and over,4.9
2019,"Quebec, Québec",Persons 65 years and over,8.4
2015,"Quebec, Québec",Males,8.2
2016,"Quebec, Québec",Males,5.9
2017,"Quebec, Québec",Males,6.1
2018,"Quebec, Québec",Males,9.1
2019,"Quebec, Québec",Males,8.2
2015,"Quebec, Québec","Males, under 18 years",
2016,"Quebec, Québec","Males, under 18 years",
2017,"Quebec, Québec","Males, under 18 years",
2018,"Quebec, Québec","Males, under 18 years",9.8
2019,"Quebec, Québec","Males, under 18 years",
2015,"Quebec, Québec","Males, 18 to 64 years",9.8
2016,"Quebec, Québec","Males, 18 to 64 years",7.0
2017,"Quebec, Québec","Males, 18 to 64 years",6.1
2018,"Quebec, Québec","Males, 18 to 64 years",9.9
2019,"Quebec, Québec","Males, 18 to 64 years",9.3
2015,"Quebec, Québec","Males, 65 years and over",
2016,"Quebec, Québec","Males, 65 years and over",
2017,"Quebec, Québec","Males, 65 years and over",
2018,"Quebec, Québec","Males, 65 years and over",
2019,"Quebec, Québec","Males, 65 years and over",
2015,"Quebec, Québec",Females,7.9
2016,"Quebec, Québec",Females,7.4
2017,"Quebec, Québec",Females,5.4
2018,"Quebec, Québec",Females,7.6
2019,"Quebec, Québec",Females,7.2
2015,"Quebec, Québec","Females, under 18 years",
2016,"Quebec, Québec","Females, under 18 years",
2017,"Quebec, Québec","Females, under 18 years",
2018,"Quebec, Québec","Females, under 18 years",
2019,"Quebec, Québec","Females, under 18 years",
2015,"Quebec, Québec","Females, 18 to 64 years",9.1
2016,"Quebec, Québec","Females, 18 to 64 years",7.6
2017,"Quebec, Québec","Females, 18 to 64 years",6.6
2018,"Quebec, Québec","Females, 18 to 64 years",9.8
2019,"Quebec, Québec","Females, 18 to 64 years",9.1
2015,"Quebec, Québec","Females, 65 years and over",
2016,"Quebec, Québec","Females, 65 years and over",5.7
2017,"Quebec, Québec","Females, 65 years and over",
2018,"Quebec, Québec","Females, 65 years and over",
2019,"Quebec, Québec","Females, 65 years and over",
2015,"Quebec, Québec",Persons in economic families,
2016,"Quebec, Québec",Persons in economic families,
2017,"Quebec, Québec",Persons in economic families,3.5
2018,"Quebec, Québec",Persons in economic families,5.4
2019,"Quebec, Québec",Persons in economic families,
2015,"Quebec, Québec",Males in economic families,
2016,"Quebec, Québec",Males in economic families,
2017,"Quebec, Québec",Males in economic families,4.1
2018,"Quebec, Québec",Males in economic families,6.3
2019,"Quebec, Québec",Males in economic families,
2015,"Quebec, Québec",Females in economic families,
2016,"Quebec, Québec",Females in economic families,
2017,"Quebec, Québec",Females in economic families,2.8
2018,"Quebec, Québec",Females in economic families,4.6
2019,"Quebec, Québec",Females in economic families,
2015,"Quebec, Québec",Elderly persons in economic families,
2016,"Quebec, Québec",Elderly persons in economic families,
2017,"Quebec, Québec",Elderly persons in economic families,
2018,"Quebec, Québec",Elderly persons in economic families,
2019,"Quebec, Québec",Elderly persons in economic families,
2015,"Quebec, Québec",Persons under 18 years in economic families,
2016,"Quebec, Québec",Persons under 18 years in economic families,
2017,"Quebec, Québec",Persons under 18 years in economic families,
2018,"Quebec, Québec",Persons under 18 years in economic families,
2019,"Quebec, Québec",Persons under 18 years in economic families,
2015,"Quebec, Québec",Persons under 18 years in couple families with children,
2016,"Quebec, Québec",Persons under 18 years in couple families with children,
2017,"Quebec, Québec",Persons under 18 years in couple families with children,
2018,"Quebec, Québec",Persons under 18 years in couple families with children,
2019,"Quebec, Québec",Persons under 18 years in couple families with children,
2015,"Quebec, Québec",Persons under 18 years in female lone-parent families,
2016,"Quebec, Québec",Persons under 18 years in female lone-parent families,
2017,"Quebec, Québec",Persons under 18 years in female lone-parent families,
2018,"Quebec, Québec",Persons under 18 years in female lone-parent families,
2019,"Quebec, Québec",Persons under 18 years in female lone-parent families,
2015,"Quebec, Québec",Persons 18 to 64 years in economic families,
2016,"Quebec, Québec",Persons 18 to 64 years in economic families,
2017,"Quebec, Québec",Persons 18 to 64 years in economic families,3.4
2018,"Quebec, Québec",Persons 18 to 64 years in economic families,6.0
2019,"Quebec, Québec",Persons 18 to 64 years in economic families,
2015,"Quebec, Québec",Persons not in an economic family,27.3
2016,"Quebec, Québec",Persons not in an economic family,20.8
2017,"Quebec, Québec",Persons not in an economic family,17.5
2018,"Quebec, Québec",Persons not in an economic family,21.1
2019,"Quebec, Québec",Persons not in an economic family,23.5
2015,"Quebec, Québec",Males not in an economic family,28.5
2016,"Quebec, Québec",Males not in an economic family,20.9
2017,"Quebec, Québec",Males not in an economic family,17.0
2018,"Quebec, Québec",Males not in an economic family,21.3
2019,"Quebec, Québec",Males not in an economic family,26.9
2015,"Quebec, Québec",Females not in an economic family,26.1
2016,"Quebec, Québec",Females not in an economic family,20.6
2017,"Quebec, Québec",Females not in an economic family,18.0
2018,"Quebec, Québec",Females not in an economic family,20.9
2019,"Quebec, Québec",Females not in an economic family,20.9
2015,"Quebec, Québec",Elderly persons not in an economic family,22.7
2016,"Quebec, Québec",Elderly persons not in an economic family,13.8
2017,"Quebec, Québec",Elderly persons not in an economic family,9.4
2018,"Quebec, Québec",Elderly persons not in an economic family,12.0
2019,"Quebec, Québec",Elderly persons not in an economic family,
2015,"Quebec, Québec",Non-elderly persons not in an economic family,29.5
2016,"Quebec, Québec",Non-elderly persons not in an economic family,25.1
2017,"Quebec, Québec",Non-elderly persons not in an economic family,21.9
2018,"Quebec, Québec",Non-elderly persons not in an economic family,25.5
2019,"Quebec, Québec",Non-elderly persons not in an economic family,27.9
2015,"Quebec, Québec",Non-elderly males not in an economic family,30.9
2016,"Quebec, Québec",Non-elderly males not in an economic family,22.8
2017,"Quebec, Québec",Non-elderly males not in an economic family,18.6
2018,"Quebec, Québec",Non-elderly males not in an economic family,23.6
2019,"Quebec, Québec",Non-elderly males not in an economic family,28.6
2015,"Quebec, Québec",Non-elderly females not in an economic family,27.7
2016,"Quebec, Québec",Non-elderly females not in an economic family,27.8
2017,"Quebec, Québec",Non-elderly females not in an economic family,26.0
2018,"Quebec, Québec",Non-elderly females not in an economic family,28.1
2019,"Quebec, Québec",Non-elderly females not in an economic family,27.2
2015,"Quebec, Montréal",All persons,17.5
2016,"Quebec, Montréal",All persons,12.9
2017,"Quebec, Montréal",All persons,14.0
2018,"Quebec, Montréal",All persons,11.3
2019,"Quebec, Montréal",All persons,10.3
2015,"Quebec, Montréal",Persons under 18 years,19.6
2016,"Quebec, Montréal",Persons under 18 years,13.2
2017,"Quebec, Montréal",Persons under 18 years,14.5
2018,"Quebec, Montréal",Persons under 18 years,9.1
2019,"Quebec, Montréal",Persons under 18 years,7.4
2015,"Quebec, Montréal",Persons 18 to 64 years,19.3
2016,"Quebec, Montréal",Persons 18 to 64 years,13.6
2017,"Quebec, Montréal",Persons 18 to 64 years,14.9
2018,"Quebec, Montréal",Persons 18 to 64 years,13.3
2019,"Quebec, Montréal",Persons 18 to 64 years,12.2
2015,"Quebec, Montréal",Persons 65 years and over,7.3
2016,"Quebec, Montréal",Persons 65 years and over,9.9
2017,"Quebec, Montréal",Persons 65 years and over,9.4
2018,"Quebec, Montréal",Persons 65 years and over,6.2
2019,"Quebec, Montréal",Persons 65 years and over,6.3
2015,"Quebec, Montréal",Males,17.3
2016,"Quebec, Montréal",Males,13.2
2017,"Quebec, Montréal",Males,14.1
2018,"Quebec, Montréal",Males,10.7
2019,"Quebec, Montréal",Males,11.0
2015,"Quebec, Montréal","Males, under 18 years",20.9
2016,"Quebec, Montréal","Males, under 18 years",12.1
2017,"Quebec, Montréal","Males, under 18 years",14.5
2018,"Quebec, Montréal","Males, under 18 years",9.2
2019,"Quebec, Montréal","Males, under 18 years",8.5
2015,"Quebec, Montréal","Males, 18 to 64 years",18.6
2016,"Quebec, Montréal","Males, 18 to 64 years",14.1
2017,"Quebec, Montréal","Males, 18 to 64 years",15.2
2018,"Quebec, Montréal","Males, 18 to 64 years",12.6
2019,"Quebec, Montréal","Males, 18 to 64 years",13.0
2015,"Quebec, Montréal","Males, 65 years and over",
2016,"Quebec, Montréal","Males, 65 years and over",10.2
2017,"Quebec, Montréal","Males, 65 years and over",8.3
2018,"Quebec, Montréal","Males, 65 years and over",4.6
2019,"Quebec, Montréal","Males, 65 years and over",
2015,"Quebec, Montréal",Females,17.7
2016,"Quebec, Montréal",Females,12.7
2017,"Quebec, Montréal",Females,13.9
2018,"Quebec, Montréal",Females,11.8
2019,"Quebec, Montréal",Females,9.5
2015,"Quebec, Montréal","Females, under 18 years",18.5
2016,"Quebec, Montréal","Females, under 18 years",14.5
2017,"Quebec, Montréal","Females, under 18 years",14.6
2018,"Quebec, Montréal","Females, under 18 years",9.0
2019,"Quebec, Montréal","Females, under 18 years",6.2
2015,"Quebec, Montréal","Females, 18 to 64 years",20.0
2016,"Quebec, Montréal","Females, 18 to 64 years",13.0
2017,"Quebec, Montréal","Females, 18 to 64 years",14.6
2018,"Quebec, Montréal","Females, 18 to 64 years",13.9
2019,"Quebec, Montréal","Females, 18 to 64 years",11.3
2015,"Quebec, Montréal","Females, 65 years and over",7.8
2016,"Quebec, Montréal","Females, 65 years and over",9.6
2017,"Quebec, Montréal","Females, 65 years and over",10.2
2018,"Quebec, Montréal","Females, 65 years and over",7.6
2019,"Quebec, Montréal","Females, 65 years and over",6.8
2015,"Quebec, Montréal",Persons in economic families,14.0
2016,"Quebec, Montréal",Persons in economic families,8.9
2017,"Quebec, Montréal",Persons in economic families,10.9
2018,"Quebec, Montréal",Persons in economic families,7.3
2019,"Quebec, Montréal",Persons in economic families,6.2
2015,"Quebec, Montréal",Males in economic families,14.3
2016,"Quebec, Montréal",Males in economic families,8.1
2017,"Quebec, Montréal",Males in economic families,10.9
2018,"Quebec, Montréal",Males in economic families,6.4
2019,"Quebec, Montréal",Males in economic families,6.6
2015,"Quebec, Montréal",Females in economic families,13.8
2016,"Quebec, Montréal",Females in economic families,9.6
2017,"Quebec, Montréal",Females in economic families,10.9
2018,"Quebec, Montréal",Females in economic families,8.1
2019,"Quebec, Montréal",Females in economic families,5.9
2015,"Quebec, Montréal",Elderly persons in economic families,
2016,"Quebec, Montréal",Elderly persons in economic families,
2017,"Quebec, Montréal",Elderly persons in economic families,5.2
2018,"Quebec, Montréal",Elderly persons in economic families,
2019,"Quebec, Montréal",Elderly persons in economic families,
2015,"Quebec, Montréal",Persons under 18 years in economic families,19.6
2016,"Quebec, Montréal",Persons under 18 years in economic families,12.8
2017,"Quebec, Montréal",Persons under 18 years in economic families,14.5
