Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against the person,Age not applicable,Company,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",170.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",189.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",166.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",143.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused","Total, sex of accused",205.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,152.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,190.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,153.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,141.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Males,197.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,238.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,170.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,226.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,155.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Females,252.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,107.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,252.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,278.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,343.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,"Total, age of accused",Sex unknown,1.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,"Total, sex of accused",149.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,"Total, sex of accused",189.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,"Total, sex of accused",163.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,"Total, sex of accused",132.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,"Total, sex of accused",204.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Males,147.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Males,192.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Males,151.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Males,108.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Males,172.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Females,227.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Females,168.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Females,211.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Females,170.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Females,271.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Sex unknown,107.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Sex unknown,244.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Sex unknown,278.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Sex unknown,324.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,12 to 15 years,Sex unknown,1.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,"Total, sex of accused",194.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,"Total, sex of accused",190.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,"Total, sex of accused",176.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,"Total, sex of accused",159.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,"Total, sex of accused",211.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Males,159.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Males,189.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Males,154.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Males,162.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Males,202.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Females,239.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Females,190.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Females,254.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Females,127.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Females,242.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Sex unknown,141.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Sex unknown,260.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Sex unknown,320.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Sex unknown,443.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,16 and 17 years,Sex unknown,380.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,"Total, sex of accused",0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,"Total, sex of accused",0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,"Total, sex of accused",0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,"Total, sex of accused",0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,"Total, sex of accused",0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Males,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Males,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Males,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Males,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Males,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Females,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Females,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Females,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Females,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Females,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,Company,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,Company,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,Company,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,Company,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Crimes against property,Age not applicable,Company,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused","Total, sex of accused",99.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused","Total, sex of accused",100.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused","Total, sex of accused",122.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused","Total, sex of accused",103.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused","Total, sex of accused",63.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Males,96.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Males,99.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Males,120.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Males,88.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Males,131.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Females,113.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Females,157.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Females,161.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Females,161.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Females,15.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Sex unknown,264.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Sex unknown,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Sex unknown,183.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Sex unknown,157.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,"Total, age of accused",Sex unknown,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,"Total, sex of accused",59.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,"Total, sex of accused",86.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,"Total, sex of accused",196.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,"Total, sex of accused",103.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,"Total, sex of accused",76.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Males,30.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Males,99.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Males,168.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Males,33.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Males,155.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Females,99.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Females,37.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Females,185.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Females,400.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Females,8.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Sex unknown,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Sex unknown,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Sex unknown,365.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Sex unknown,312.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,12 to 15 years,Sex unknown,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,"Total, sex of accused",120.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,"Total, sex of accused",142.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,"Total, sex of accused",85.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,"Total, sex of accused",105.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,"Total, sex of accused",48.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Males,123.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Males,99.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Males,83.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Males,105.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Males,63.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Females,120.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Females,205.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Females,136.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Females,112.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Females,29.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Sex unknown,264.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Sex unknown,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Sex unknown,1.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Sex unknown,1.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,16 and 17 years,Sex unknown,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,"Total, sex of accused",0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,"Total, sex of accused",0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,"Total, sex of accused",1.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,"Total, sex of accused",0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,"Total, sex of accused",0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Males,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Males,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Males,1.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Males,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Males,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Females,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Females,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Females,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Females,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Females,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,Company,0.0
2015/2016,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,Company,0.0
2016/2017,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,Company,0.0
2017/2018,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,Company,0.0
2018/2019,Youth courts,Newfoundland and Labrador,Administration of justice,Age not applicable,Company,0.0
2014/2015,Youth courts,Prince Edward Island,Total offences,"Total, age of accused","Total, sex of accused",33.0
2015/2016,Youth courts,Prince Edward Island,Total offences,"Total, age of accused","Total, sex of accused",50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,"Total, age of accused","Total, sex of accused",44.0
2017/2018,Youth courts,Prince Edward Island,Total offences,"Total, age of accused","Total, sex of accused",43.0
2018/2019,Youth courts,Prince Edward Island,Total offences,"Total, age of accused","Total, sex of accused",57.0
2014/2015,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Males,38.0
2015/2016,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Males,50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Males,41.0
2017/2018,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Males,41.0
2018/2019,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Males,57.0
2014/2015,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Females,11.0
2015/2016,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Females,64.0
2016/2017,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Females,42.0
2017/2018,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Females,38.0
2018/2019,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Females,36.0
2014/2015,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Sex unknown,51.0
2015/2016,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Sex unknown,60.0
2016/2017,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Sex unknown,62.0
2017/2018,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total offences,"Total, age of accused",Sex unknown,79.0
2014/2015,Youth courts,Prince Edward Island,Total offences,12 to 15 years,"Total, sex of accused",15.0
2015/2016,Youth courts,Prince Edward Island,Total offences,12 to 15 years,"Total, sex of accused",50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,12 to 15 years,"Total, sex of accused",64.0
2017/2018,Youth courts,Prince Edward Island,Total offences,12 to 15 years,"Total, sex of accused",78.0
2018/2019,Youth courts,Prince Edward Island,Total offences,12 to 15 years,"Total, sex of accused",81.0
2014/2015,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Males,18.0
2015/2016,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Males,50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Males,39.0
2017/2018,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Males,71.0
2018/2019,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Males,144.0
2014/2015,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Females,15.0
2015/2016,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Females,15.0
2016/2017,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Females,99.0
2017/2018,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Females,124.0
2018/2019,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Females,92.0
2014/2015,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Sex unknown,51.0
2015/2016,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Sex unknown,113.0
2016/2017,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Sex unknown,103.0
2017/2018,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total offences,12 to 15 years,Sex unknown,71.0
2014/2015,Youth courts,Prince Edward Island,Total offences,16 and 17 years,"Total, sex of accused",57.0
2015/2016,Youth courts,Prince Edward Island,Total offences,16 and 17 years,"Total, sex of accused",51.0
2016/2017,Youth courts,Prince Edward Island,Total offences,16 and 17 years,"Total, sex of accused",43.0
2017/2018,Youth courts,Prince Edward Island,Total offences,16 and 17 years,"Total, sex of accused",31.0
2018/2019,Youth courts,Prince Edward Island,Total offences,16 and 17 years,"Total, sex of accused",45.0
2014/2015,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Males,61.0
2015/2016,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Males,50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Males,64.0
2017/2018,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Males,29.0
2018/2019,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Males,36.0
2014/2015,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Females,8.0
2015/2016,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Females,71.0
2016/2017,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Females,22.0
2017/2018,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Females,38.0
2018/2019,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Females,36.0
2014/2015,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Sex unknown,50.0
2015/2016,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Sex unknown,50.0
2016/2017,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Sex unknown,45.0
2017/2018,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total offences,16 and 17 years,Sex unknown,99.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Other ages,"Total, sex of accused",92.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Other ages,"Total, sex of accused",33.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Other ages,"Total, sex of accused",0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Other ages,"Total, sex of accused",0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Other ages,"Total, sex of accused",64.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Other ages,Males,92.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Other ages,Males,43.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Other ages,Males,0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Other ages,Males,0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Other ages,Males,64.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Other ages,Females,0.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Other ages,Females,0.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Other ages,Females,0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Other ages,Females,0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Other ages,Females,0.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Other ages,Sex unknown,22.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Prince Edward Island,Total offences,Age not applicable,Company,0.0
2015/2016,Youth courts,Prince Edward Island,Total offences,Age not applicable,Company,0.0
2016/2017,Youth courts,Prince Edward Island,Total offences,Age not applicable,Company,0.0
2017/2018,Youth courts,Prince Edward Island,Total offences,Age not applicable,Company,0.0
2018/2019,Youth courts,Prince Edward Island,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused","Total, sex of accused",50.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused","Total, sex of accused",64.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused","Total, sex of accused",76.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused","Total, sex of accused",50.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused","Total, sex of accused",66.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Males,57.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Males,62.0
