Year,Geography,GeoCode,Economic family type,Value
2015,Manitoba,46,Economic families and persons not in an economic family,60100.0
2016,Manitoba,46,Economic families and persons not in an economic family,60800.0
2017,Manitoba,46,Economic families and persons not in an economic family,61800.0
2018,Manitoba,46,Economic families and persons not in an economic family,61300.0
2019,Manitoba,46,Economic families and persons not in an economic family,60600.0
2020,Manitoba,46,Economic families and persons not in an economic family,63000.0
2015,Manitoba,,Economic families,79300.0
2016,Manitoba,,Economic families,79800.0
2017,Manitoba,,Economic families,83100.0
2018,Manitoba,,Economic families,81100.0
2019,Manitoba,,Economic families,80200.0
2020,Manitoba,,Economic families,84900.0
2015,Manitoba,,Elderly families,65300.0
2016,Manitoba,,Elderly families,63500.0
2017,Manitoba,,Elderly families,62900.0
2018,Manitoba,,Elderly families,64900.0
2019,Manitoba,,Elderly families,64700.0
2020,Manitoba,,Elderly families,68500.0
2015,Manitoba,,Elderly couples,64000.0
2016,Manitoba,,Elderly couples,63000.0
2017,Manitoba,,Elderly couples,60200.0
2018,Manitoba,,Elderly couples,63900.0
2019,Manitoba,,Elderly couples,63700.0
2020,Manitoba,,Elderly couples,66300.0
2015,Manitoba,,Other elderly families,82900.0
2016,Manitoba,,Other elderly families,67100.0
2017,Manitoba,,Other elderly families,74000.0
2018,Manitoba,,Other elderly families,71100.0
2019,Manitoba,,Other elderly families,74900.0
2020,Manitoba,,Other elderly families,84100.0
2015,Manitoba,,Non-elderly families,83000.0
2016,Manitoba,,Non-elderly families,84600.0
2017,Manitoba,,Non-elderly families,88400.0
2018,Manitoba,,Non-elderly families,86000.0
2019,Manitoba,,Non-elderly families,84800.0
2020,Manitoba,,Non-elderly families,90700.0
2015,Manitoba,,Couples,79600.0
2016,Manitoba,,Couples,76700.0
2017,Manitoba,,Couples,82400.0
2018,Manitoba,,Couples,79100.0
2019,Manitoba,,Couples,76800.0
2020,Manitoba,,Couples,80600.0
2015,Manitoba,,Couples with children,90800.0
2016,Manitoba,,Couples with children,92500.0
2017,Manitoba,,Couples with children,92200.0
2018,Manitoba,,Couples with children,94100.0
2019,Manitoba,,Couples with children,89400.0
2020,Manitoba,,Couples with children,100500.0
2015,Manitoba,,Couples with other relatives,122000.0
2016,Manitoba,,Couples with other relatives,124600.0
2017,Manitoba,,Couples with other relatives,132900.0
2018,Manitoba,,Couples with other relatives,120600.0
2019,Manitoba,,Couples with other relatives,132100.0
2020,Manitoba,,Couples with other relatives,131400.0
2015,Manitoba,,Lone-parent families,41100.0
2016,Manitoba,,Lone-parent families,46700.0
2017,Manitoba,,Lone-parent families,51300.0
2018,Manitoba,,Lone-parent families,45400.0
2019,Manitoba,,Lone-parent families,41700.0
2020,Manitoba,,Lone-parent families,53800.0
2015,Manitoba,,Male lone-parent families,
2016,Manitoba,,Male lone-parent families,
2017,Manitoba,,Male lone-parent families,68000.0
2018,Manitoba,,Male lone-parent families,45400.0
2019,Manitoba,,Male lone-parent families,
2020,Manitoba,,Male lone-parent families,53800.0
2015,Manitoba,,Female lone-parent families,40200.0
2016,Manitoba,,Female lone-parent families,42700.0
2017,Manitoba,,Female lone-parent families,46800.0
2018,Manitoba,,Female lone-parent families,44900.0
2019,Manitoba,,Female lone-parent families,40400.0
2020,Manitoba,,Female lone-parent families,52900.0
2015,Manitoba,,Other non-elderly families,67700.0
2016,Manitoba,,Other non-elderly families,70200.0
2017,Manitoba,,Other non-elderly families,75300.0
2018,Manitoba,,Other non-elderly families,73200.0
2019,Manitoba,,Other non-elderly families,69300.0
2020,Manitoba,,Other non-elderly families,71200.0
2015,Manitoba,,Persons not in an economic family,34200.0
2016,Manitoba,,Persons not in an economic family,32200.0
2017,Manitoba,,Persons not in an economic family,31300.0
2018,Manitoba,,Persons not in an economic family,33100.0
2019,Manitoba,,Persons not in an economic family,31600.0
2020,Manitoba,,Persons not in an economic family,33900.0
2015,Manitoba,,Elderly persons not in an economic family,30400.0
2016,Manitoba,,Elderly persons not in an economic family,29400.0
2017,Manitoba,,Elderly persons not in an economic family,29900.0
2018,Manitoba,,Elderly persons not in an economic family,30700.0
2019,Manitoba,,Elderly persons not in an economic family,28700.0
2020,Manitoba,,Elderly persons not in an economic family,33600.0
2015,Manitoba,,Elderly males not in an economic family,35400.0
2016,Manitoba,,Elderly males not in an economic family,33200.0
2017,Manitoba,,Elderly males not in an economic family,30800.0
2018,Manitoba,,Elderly males not in an economic family,34900.0
2019,Manitoba,,Elderly males not in an economic family,26600.0
2020,Manitoba,,Elderly males not in an economic family,36500.0
2015,Manitoba,,Elderly females not in an economic family,28300.0
2016,Manitoba,,Elderly females not in an economic family,27800.0
2017,Manitoba,,Elderly females not in an economic family,29700.0
2018,Manitoba,,Elderly females not in an economic family,28700.0
2019,Manitoba,,Elderly females not in an economic family,29500.0
2020,Manitoba,,Elderly females not in an economic family,32400.0
2015,Manitoba,,Non-elderly persons not in an economic family,35900.0
2016,Manitoba,,Non-elderly persons not in an economic family,34300.0
2017,Manitoba,,Non-elderly persons not in an economic family,32300.0
2018,Manitoba,,Non-elderly persons not in an economic family,33900.0
2019,Manitoba,,Non-elderly persons not in an economic family,32800.0
2020,Manitoba,,Non-elderly persons not in an economic family,34600.0
2015,Manitoba,,Non-elderly males not in an economic family,37800.0
2016,Manitoba,,Non-elderly males not in an economic family,33800.0
2017,Manitoba,,Non-elderly males not in an economic family,32700.0
2018,Manitoba,,Non-elderly males not in an economic family,34700.0
2019,Manitoba,,Non-elderly males not in an economic family,34800.0
2020,Manitoba,,Non-elderly males not in an economic family,35400.0
2015,Manitoba,,Non-elderly females not in an economic family,33300.0
2016,Manitoba,,Non-elderly females not in an economic family,34900.0
2017,Manitoba,,Non-elderly females not in an economic family,31200.0
2018,Manitoba,,Non-elderly females not in an economic family,33400.0
2019,Manitoba,,Non-elderly females not in an economic family,31000.0
2020,Manitoba,,Non-elderly females not in an economic family,33600.0
2015,Saskatchewan,47,Economic families and persons not in an economic family,66000.0
2016,Saskatchewan,47,Economic families and persons not in an economic family,65600.0
2017,Saskatchewan,47,Economic families and persons not in an economic family,65600.0
2018,Saskatchewan,47,Economic families and persons not in an economic family,64500.0
2019,Saskatchewan,47,Economic families and persons not in an economic family,64400.0
2020,Saskatchewan,47,Economic families and persons not in an economic family,67700.0
2015,Saskatchewan,,Economic families,90900.0
2016,Saskatchewan,,Economic families,88500.0
2017,Saskatchewan,,Economic families,91300.0
2018,Saskatchewan,,Economic families,88700.0
2019,Saskatchewan,,Economic families,87300.0
2020,Saskatchewan,,Economic families,90700.0
2015,Saskatchewan,,Elderly families,65000.0
2016,Saskatchewan,,Elderly families,67900.0
2017,Saskatchewan,,Elderly families,64600.0
2018,Saskatchewan,,Elderly families,67700.0
2019,Saskatchewan,,Elderly families,71400.0
2020,Saskatchewan,,Elderly families,70000.0
2015,Saskatchewan,,Elderly couples,63600.0
2016,Saskatchewan,,Elderly couples,68100.0
2017,Saskatchewan,,Elderly couples,64400.0
2018,Saskatchewan,,Elderly couples,67200.0
2019,Saskatchewan,,Elderly couples,69800.0
2020,Saskatchewan,,Elderly couples,70000.0
2015,Saskatchewan,,Other elderly families,81700.0
2016,Saskatchewan,,Other elderly families,63700.0
2017,Saskatchewan,,Other elderly families,71100.0
2018,Saskatchewan,,Other elderly families,68900.0
2019,Saskatchewan,,Other elderly families,99500.0
2020,Saskatchewan,,Other elderly families,69100.0
2015,Saskatchewan,,Non-elderly families,96500.0
2016,Saskatchewan,,Non-elderly families,95200.0
2017,Saskatchewan,,Non-elderly families,98800.0
2018,Saskatchewan,,Non-elderly families,96100.0
2019,Saskatchewan,,Non-elderly families,92300.0
2020,Saskatchewan,,Non-elderly families,97500.0
2015,Saskatchewan,,Couples,85700.0
2016,Saskatchewan,,Couples,86400.0
2017,Saskatchewan,,Couples,93300.0
2018,Saskatchewan,,Couples,89700.0
2019,Saskatchewan,,Couples,78900.0
2020,Saskatchewan,,Couples,89600.0
2015,Saskatchewan,,Couples with children,104700.0
2016,Saskatchewan,,Couples with children,104900.0
2017,Saskatchewan,,Couples with children,107300.0
2018,Saskatchewan,,Couples with children,104400.0
2019,Saskatchewan,,Couples with children,101300.0
2020,Saskatchewan,,Couples with children,108900.0
2015,Saskatchewan,,Couples with other relatives,133000.0
2016,Saskatchewan,,Couples with other relatives,131700.0
2017,Saskatchewan,,Couples with other relatives,123200.0
2018,Saskatchewan,,Couples with other relatives,138300.0
2019,Saskatchewan,,Couples with other relatives,142800.0
2020,Saskatchewan,,Couples with other relatives,126700.0
2015,Saskatchewan,,Lone-parent families,48700.0
2016,Saskatchewan,,Lone-parent families,57300.0
2017,Saskatchewan,,Lone-parent families,46600.0
2018,Saskatchewan,,Lone-parent families,47100.0
2019,Saskatchewan,,Lone-parent families,53900.0
2020,Saskatchewan,,Lone-parent families,55300.0
2015,Saskatchewan,,Male lone-parent families,
2016,Saskatchewan,,Male lone-parent families,86100.0
2017,Saskatchewan,,Male lone-parent families,73500.0
2018,Saskatchewan,,Male lone-parent families,60800.0
2019,Saskatchewan,,Male lone-parent families,
2020,Saskatchewan,,Male lone-parent families,56300.0
2015,Saskatchewan,,Female lone-parent families,46500.0
2016,Saskatchewan,,Female lone-parent families,50800.0
2017,Saskatchewan,,Female lone-parent families,44900.0
2018,Saskatchewan,,Female lone-parent families,45600.0
2019,Saskatchewan,,Female lone-parent families,53300.0
2020,Saskatchewan,,Female lone-parent families,54800.0
2015,Saskatchewan,,Other non-elderly families,88300.0
2016,Saskatchewan,,Other non-elderly families,81500.0
2017,Saskatchewan,,Other non-elderly families,82900.0
2018,Saskatchewan,,Other non-elderly families,80600.0
2019,Saskatchewan,,Other non-elderly families,74200.0
2020,Saskatchewan,,Other non-elderly families,78700.0
2015,Saskatchewan,,Persons not in an economic family,36700.0
2016,Saskatchewan,,Persons not in an economic family,33000.0
2017,Saskatchewan,,Persons not in an economic family,32500.0
2018,Saskatchewan,,Persons not in an economic family,32700.0
2019,Saskatchewan,,Persons not in an economic family,32900.0
2020,Saskatchewan,,Persons not in an economic family,33700.0
2015,Saskatchewan,,Elderly persons not in an economic family,31900.0
2016,Saskatchewan,,Elderly persons not in an economic family,27200.0
2017,Saskatchewan,,Elderly persons not in an economic family,29500.0
2018,Saskatchewan,,Elderly persons not in an economic family,30800.0
2019,Saskatchewan,,Elderly persons not in an economic family,31600.0
2020,Saskatchewan,,Elderly persons not in an economic family,31700.0
2015,Saskatchewan,,Elderly males not in an economic family,36000.0
2016,Saskatchewan,,Elderly males not in an economic family,25200.0
2017,Saskatchewan,,Elderly males not in an economic family,30000.0
2018,Saskatchewan,,Elderly males not in an economic family,32400.0
2019,Saskatchewan,,Elderly males not in an economic family,34400.0
2020,Saskatchewan,,Elderly males not in an economic family,32600.0
2015,Saskatchewan,,Elderly females not in an economic family,31100.0
2016,Saskatchewan,,Elderly females not in an economic family,28800.0
2017,Saskatchewan,,Elderly females not in an economic family,29000.0
2018,Saskatchewan,,Elderly females not in an economic family,29300.0
2019,Saskatchewan,,Elderly females not in an economic family,31000.0
2020,Saskatchewan,,Elderly females not in an economic family,30900.0
2015,Saskatchewan,,Non-elderly persons not in an economic family,39100.0
2016,Saskatchewan,,Non-elderly persons not in an economic family,35700.0
2017,Saskatchewan,,Non-elderly persons not in an economic family,34200.0
2018,Saskatchewan,,Non-elderly persons not in an economic family,34500.0
2019,Saskatchewan,,Non-elderly persons not in an economic family,33900.0
2020,Saskatchewan,,Non-elderly persons not in an economic family,35900.0
2015,Saskatchewan,,Non-elderly males not in an economic family,41700.0
2016,Saskatchewan,,Non-elderly males not in an economic family,39300.0
2017,Saskatchewan,,Non-elderly males not in an economic family,35000.0
2018,Saskatchewan,,Non-elderly males not in an economic family,39500.0
2019,Saskatchewan,,Non-elderly males not in an economic family,34500.0
2020,Saskatchewan,,Non-elderly males not in an economic family,37400.0
2015,Saskatchewan,,Non-elderly females not in an economic family,34800.0
2016,Saskatchewan,,Non-elderly females not in an economic family,29900.0
2017,Saskatchewan,,Non-elderly females not in an economic family,33800.0
2018,Saskatchewan,,Non-elderly females not in an economic family,29900.0
2019,Saskatchewan,,Non-elderly females not in an economic family,32500.0
2020,Saskatchewan,,Non-elderly females not in an economic family,33300.0
2015,Alberta,48,Economic families and persons not in an economic family,79300.0
2016,Alberta,48,Economic families and persons not in an economic family,75800.0
2017,Alberta,48,Economic families and persons not in an economic family,75300.0
2018,Alberta,48,Economic families and persons not in an economic family,76400.0
2019,Alberta,48,Economic families and persons not in an economic family,74400.0
2020,Alberta,48,Economic families and persons not in an economic family,77700.0
2015,Alberta,,Economic families,104600.0
2016,Alberta,,Economic families,100200.0
2017,Alberta,,Economic families,104200.0
2018,Alberta,,Economic families,102500.0
2019,Alberta,,Economic families,102400.0
2020,Alberta,,Economic families,104000.0
2015,Alberta,,Elderly families,71400.0
2016,Alberta,,Elderly families,73600.0
2017,Alberta,,Elderly families,75400.0
2018,Alberta,,Elderly families,69100.0
2019,Alberta,,Elderly families,71400.0
2020,Alberta,,Elderly families,78800.0
2015,Alberta,,Elderly couples,69100.0
2016,Alberta,,Elderly couples,72200.0
2017,Alberta,,Elderly couples,70800.0
2018,Alberta,,Elderly couples,68000.0
2019,Alberta,,Elderly couples,71000.0
2020,Alberta,,Elderly couples,74400.0
2015,Alberta,,Other elderly families,77700.0
2016,Alberta,,Other elderly families,98200.0
2017,Alberta,,Other elderly families,97700.0
2018,Alberta,,Other elderly families,78900.0
2019,Alberta,,Other elderly families,72100.0
2020,Alberta,,Other elderly families,102700.0
2015,Alberta,,Non-elderly families,109400.0
2016,Alberta,,Non-elderly families,105800.0
2017,Alberta,,Non-elderly families,109200.0
2018,Alberta,,Non-elderly families,109700.0
2019,Alberta,,Non-elderly families,112200.0
2020,Alberta,,Non-elderly families,111300.0
2015,Alberta,,Couples,107800.0
2016,Alberta,,Couples,90400.0
2017,Alberta,,Couples,98100.0
2018,Alberta,,Couples,99700.0
2019,Alberta,,Couples,94800.0
2020,Alberta,,Couples,99300.0
2015,Alberta,,Couples with children,115100.0
2016,Alberta,,Couples with children,111500.0
2017,Alberta,,Couples with children,112300.0
2018,Alberta,,Couples with children,118900.0
2019,Alberta,,Couples with children,118800.0
2020,Alberta,,Couples with children,120100.0
2015,Alberta,,Couples with other relatives,148600.0
2016,Alberta,,Couples with other relatives,151600.0
2017,Alberta,,Couples with other relatives,145300.0
2018,Alberta,,Couples with other relatives,133400.0
2019,Alberta,,Couples with other relatives,156600.0
2020,Alberta,,Couples with other relatives,147000.0
2015,Alberta,,Lone-parent families,59000.0
2016,Alberta,,Lone-parent families,73900.0
2017,Alberta,,Lone-parent families,63600.0
2018,Alberta,,Lone-parent families,71200.0
2019,Alberta,,Lone-parent families,73200.0
2020,Alberta,,Lone-parent families,75100.0
2015,Alberta,,Male lone-parent families,81500.0
2016,Alberta,,Male lone-parent families,81600.0
2017,Alberta,,Male lone-parent families,80800.0
2018,Alberta,,Male lone-parent families,85800.0
2019,Alberta,,Male lone-parent families,81200.0
2020,Alberta,,Male lone-parent families,108100.0
2015,Alberta,,Female lone-parent families,49500.0
2016,Alberta,,Female lone-parent families,59900.0
2017,Alberta,,Female lone-parent families,57400.0
2018,Alberta,,Female lone-parent families,69200.0
2019,Alberta,,Female lone-parent families,64800.0
2020,Alberta,,Female lone-parent families,68900.0
2015,Alberta,,Other non-elderly families,91700.0
2016,Alberta,,Other non-elderly families,100100.0
2017,Alberta,,Other non-elderly families,99700.0
2018,Alberta,,Other non-elderly families,93300.0
2019,Alberta,,Other non-elderly families,84900.0
2020,Alberta,,Other non-elderly families,88600.0
2015,Alberta,,Persons not in an economic family,41500.0
2016,Alberta,,Persons not in an economic family,37500.0
2017,Alberta,,Persons not in an economic family,38500.0
2018,Alberta,,Persons not in an economic family,37600.0
2019,Alberta,,Persons not in an economic family,38300.0
2020,Alberta,,Persons not in an economic family,37600.0
2015,Alberta,,Elderly persons not in an economic family,34700.0
2016,Alberta,,Elderly persons not in an economic family,28100.0
2017,Alberta,,Elderly persons not in an economic family,33100.0
2018,Alberta,,Elderly persons not in an economic family,33000.0
2019,Alberta,,Elderly persons not in an economic family,31400.0
2020,Alberta,,Elderly persons not in an economic family,31400.0
2015,Alberta,,Elderly males not in an economic family,37800.0
2016,Alberta,,Elderly males not in an economic family,27200.0
2017,Alberta,,Elderly males not in an economic family,33000.0
2018,Alberta,,Elderly males not in an economic family,34000.0
2019,Alberta,,Elderly males not in an economic family,31500.0
2020,Alberta,,Elderly males not in an economic family,32400.0
2015,Alberta,,Elderly females not in an economic family,32000.0
2016,Alberta,,Elderly females not in an economic family,28300.0
2017,Alberta,,Elderly females not in an economic family,33500.0
2018,Alberta,,Elderly females not in an economic family,31800.0
2019,Alberta,,Elderly females not in an economic family,30900.0
2020,Alberta,,Elderly females not in an economic family,30500.0
2015,Alberta,,Non-elderly persons not in an economic family,44700.0
2016,Alberta,,Non-elderly persons not in an economic family,41700.0
2017,Alberta,,Non-elderly persons not in an economic family,41100.0
2018,Alberta,,Non-elderly persons not in an economic family,39400.0
2019,Alberta,,Non-elderly persons not in an economic family,40200.0
2020,Alberta,,Non-elderly persons not in an economic family,40500.0
2015,Alberta,,Non-elderly males not in an economic family,48500.0
2016,Alberta,,Non-elderly males not in an economic family,46500.0
2017,Alberta,,Non-elderly males not in an economic family,44100.0
2018,Alberta,,Non-elderly males not in an economic family,42300.0
2019,Alberta,,Non-elderly males not in an economic family,43900.0
2020,Alberta,,Non-elderly males not in an economic family,43200.0
2015,Alberta,,Non-elderly females not in an economic family,39300.0
2016,Alberta,,Non-elderly females not in an economic family,38300.0
2017,Alberta,,Non-elderly females not in an economic family,36600.0
2018,Alberta,,Non-elderly females not in an economic family,36600.0
2019,Alberta,,Non-elderly females not in an economic family,37800.0
2020,Alberta,,Non-elderly females not in an economic family,38100.0
2015,British Columbia,59,Economic families and persons not in an economic family,57600.0
2016,British Columbia,59,Economic families and persons not in an economic family,58700.0
2017,British Columbia,59,Economic families and persons not in an economic family,63000.0
2018,British Columbia,59,Economic families and persons not in an economic family,60900.0
2019,British Columbia,59,Economic families and persons not in an economic family,63000.0
2020,British Columbia,59,Economic families and persons not in an economic family,67500.0
2015,British Columbia,,Economic families,86100.0
2016,British Columbia,,Economic families,86900.0
2017,British Columbia,,Economic families,88600.0
2018,British Columbia,,Economic families,92300.0
2019,British Columbia,,Economic families,90000.0
2020,British Columbia,,Economic families,94300.0
2015,British Columbia,,Elderly families,63400.0
2016,British Columbia,,Elderly families,64900.0
2017,British Columbia,,Elderly families,69000.0
2018,British Columbia,,Elderly families,71100.0
2019,British Columbia,,Elderly families,67200.0
2020,British Columbia,,Elderly families,72800.0
2015,British Columbia,,Elderly couples,63400.0
2016,British Columbia,,Elderly couples,65600.0
2017,British Columbia,,Elderly couples,66800.0
2018,British Columbia,,Elderly couples,67700.0
2019,British Columbia,,Elderly couples,67200.0
2020,British Columbia,,Elderly couples,69900.0
2015,British Columbia,,Other elderly families,63400.0
2016,British Columbia,,Other elderly families,63200.0
2017,British Columbia,,Other elderly families,71100.0
2018,British Columbia,,Other elderly families,93100.0
2019,British Columbia,,Other elderly families,65500.0
2020,British Columbia,,Other elderly families,100400.0
2015,British Columbia,,Non-elderly families,96500.0
2016,British Columbia,,Non-elderly families,92800.0
2017,British Columbia,,Non-elderly families,95100.0
2018,British Columbia,,Non-elderly families,99100.0
2019,British Columbia,,Non-elderly families,96000.0
2020,British Columbia,,Non-elderly families,100700.0
2015,British Columbia,,Couples,89100.0
2016,British Columbia,,Couples,83900.0
2017,British Columbia,,Couples,88600.0
2018,British Columbia,,Couples,90300.0
2019,British Columbia,,Couples,89300.0
2020,British Columbia,,Couples,85800.0
2015,British Columbia,,Couples with children,104400.0
2016,British Columbia,,Couples with children,105100.0
2017,British Columbia,,Couples with children,107300.0
2018,British Columbia,,Couples with children,111100.0
2019,British Columbia,,Couples with children,105000.0
2020,British Columbia,,Couples with children,111800.0
2015,British Columbia,,Couples with other relatives,130200.0
2016,British Columbia,,Couples with other relatives,131800.0
2017,British Columbia,,Couples with other relatives,132100.0
2018,British Columbia,,Couples with other relatives,129200.0
2019,British Columbia,,Couples with other relatives,137200.0
2020,British Columbia,,Couples with other relatives,144600.0
2015,British Columbia,,Lone-parent families,55800.0
2016,British Columbia,,Lone-parent families,40400.0
2017,British Columbia,,Lone-parent families,51400.0
2018,British Columbia,,Lone-parent families,61700.0
2019,British Columbia,,Lone-parent families,55600.0
2020,British Columbia,,Lone-parent families,63200.0
2015,British Columbia,,Male lone-parent families,65700.0
2016,British Columbia,,Male lone-parent families,52900.0
2017,British Columbia,,Male lone-parent families,61700.0
2018,British Columbia,,Male lone-parent families,72400.0
2019,British Columbia,,Male lone-parent families,55500.0
2020,British Columbia,,Male lone-parent families,62100.0
2015,British Columbia,,Female lone-parent families,51800.0
2016,British Columbia,,Female lone-parent families,36500.0
2017,British Columbia,,Female lone-parent families,51300.0
2018,British Columbia,,Female lone-parent families,60900.0
2019,British Columbia,,Female lone-parent families,59300.0
2020,British Columbia,,Female lone-parent families,64300.0
2015,British Columbia,,Other non-elderly families,64700.0
2016,British Columbia,,Other non-elderly families,76300.0
2017,British Columbia,,Other non-elderly families,72100.0
2018,British Columbia,,Other non-elderly families,73300.0
2019,British Columbia,,Other non-elderly families,84500.0
2020,British Columbia,,Other non-elderly families,86500.0
2015,British Columbia,,Persons not in an economic family,25900.0
2016,British Columbia,,Persons not in an economic family,29700.0
2017,British Columbia,,Persons not in an economic family,30600.0
2018,British Columbia,,Persons not in an economic family,31600.0
2019,British Columbia,,Persons not in an economic family,32200.0
2020,British Columbia,,Persons not in an economic family,36700.0
2015,British Columbia,,Elderly persons not in an economic family,26500.0
2016,British Columbia,,Elderly persons not in an economic family,29000.0
2017,British Columbia,,Elderly persons not in an economic family,30000.0
2018,British Columbia,,Elderly persons not in an economic family,31100.0
2019,British Columbia,,Elderly persons not in an economic family,32000.0
2020,British Columbia,,Elderly persons not in an economic family,36300.0
2015,British Columbia,,Elderly males not in an economic family,24500.0
2016,British Columbia,,Elderly males not in an economic family,29500.0
2017,British Columbia,,Elderly males not in an economic family,35100.0
2018,British Columbia,,Elderly males not in an economic family,31300.0
2019,British Columbia,,Elderly males not in an economic family,39200.0
2020,British Columbia,,Elderly males not in an economic family,42900.0
2015,British Columbia,,Elderly females not in an economic family,26800.0
2016,British Columbia,,Elderly females not in an economic family,27600.0
2017,British Columbia,,Elderly females not in an economic family,29300.0
2018,British Columbia,,Elderly females not in an economic family,30500.0
2019,British Columbia,,Elderly females not in an economic family,28700.0
2020,British Columbia,,Elderly females not in an economic family,33100.0
2015,British Columbia,,Non-elderly persons not in an economic family,25500.0
2016,British Columbia,,Non-elderly persons not in an economic family,29900.0
2017,British Columbia,,Non-elderly persons not in an economic family,31000.0
2018,British Columbia,,Non-elderly persons not in an economic family,32100.0
2019,British Columbia,,Non-elderly persons not in an economic family,32200.0
2020,British Columbia,,Non-elderly persons not in an economic family,36700.0
2015,British Columbia,,Non-elderly males not in an economic family,25900.0
2016,British Columbia,,Non-elderly males not in an economic family,30900.0
2017,British Columbia,,Non-elderly males not in an economic family,33500.0
2018,British Columbia,,Non-elderly males not in an economic family,33700.0
2019,British Columbia,,Non-elderly males not in an economic family,33700.0
2020,British Columbia,,Non-elderly males not in an economic family,38800.0
2015,British Columbia,,Non-elderly females not in an economic family,25500.0
2016,British Columbia,,Non-elderly females not in an economic family,29000.0
2017,British Columbia,,Non-elderly females not in an economic family,27400.0
2018,British Columbia,,Non-elderly females not in an economic family,29800.0
2019,British Columbia,,Non-elderly females not in an economic family,27700.0
2020,British Columbia,,Non-elderly females not in an economic family,35200.0
2015,"Québec, Quebec",,Economic families and persons not in an economic family,51400.0
2016,"Québec, Quebec",,Economic families and persons not in an economic family,55200.0
2017,"Québec, Quebec",,Economic families and persons not in an economic family,65700.0
2018,"Québec, Quebec",,Economic families and persons not in an economic family,58100.0
2019,"Québec, Quebec",,Economic families and persons not in an economic family,57900.0
2020,"Québec, Quebec",,Economic families and persons not in an economic family,65500.0
2015,"Québec, Quebec",,Economic families,78200.0
2016,"Québec, Quebec",,Economic families,82900.0
2017,"Québec, Quebec",,Economic families,85800.0
2018,"Québec, Quebec",,Economic families,85000.0
2019,"Québec, Quebec",,Economic families,90600.0
2020,"Québec, Quebec",,Economic families,92600.0
2015,"Québec, Quebec",,Elderly families,62700.0
2016,"Québec, Quebec",,Elderly families,57100.0
2017,"Québec, Quebec",,Elderly families,64900.0
2018,"Québec, Quebec",,Elderly families,65800.0
2019,"Québec, Quebec",,Elderly families,65400.0
2020,"Québec, Quebec",,Elderly families,67600.0
2015,"Québec, Quebec",,Elderly couples,62100.0
2016,"Québec, Quebec",,Elderly couples,52800.0
2017,"Québec, Quebec",,Elderly couples,63500.0
2018,"Québec, Quebec",,Elderly couples,65400.0
2019,"Québec, Quebec",,Elderly couples,65400.0
2020,"Québec, Quebec",,Elderly couples,69500.0
2015,"Québec, Quebec",,Other elderly families,
2016,"Québec, Quebec",,Other elderly families,
2017,"Québec, Quebec",,Other elderly families,
2018,"Québec, Quebec",,Other elderly families,
2019,"Québec, Quebec",,Other elderly families,
2020,"Québec, Quebec",,Other elderly families,
2015,"Québec, Quebec",,Non-elderly families,87500.0
2016,"Québec, Quebec",,Non-elderly families,91300.0
2017,"Québec, Quebec",,Non-elderly families,91300.0
2018,"Québec, Quebec",,Non-elderly families,89400.0
2019,"Québec, Quebec",,Non-elderly families,98000.0
2020,"Québec, Quebec",,Non-elderly families,101200.0
2015,"Québec, Quebec",,Couples,80400.0
2016,"Québec, Quebec",,Couples,76200.0
2017,"Québec, Quebec",,Couples,80100.0
2018,"Québec, Quebec",,Couples,78600.0
2019,"Québec, Quebec",,Couples,83700.0
2020,"Québec, Quebec",,Couples,90900.0
2015,"Québec, Quebec",,Couples with children,107200.0
2016,"Québec, Quebec",,Couples with children,109500.0
2017,"Québec, Quebec",,Couples with children,106300.0
2018,"Québec, Quebec",,Couples with children,107000.0
2019,"Québec, Quebec",,Couples with children,113300.0
2020,"Québec, Quebec",,Couples with children,115100.0
2015,"Québec, Quebec",,Couples with other relatives,
2016,"Québec, Quebec",,Couples with other relatives,
2017,"Québec, Quebec",,Couples with other relatives,116300.0
2018,"Québec, Quebec",,Couples with other relatives,122800.0
2019,"Québec, Quebec",,Couples with other relatives,
2020,"Québec, Quebec",,Couples with other relatives,124800.0
2015,"Québec, Quebec",,Lone-parent families,64800.0
2016,"Québec, Quebec",,Lone-parent families,53600.0
2017,"Québec, Quebec",,Lone-parent families,63200.0
2018,"Québec, Quebec",,Lone-parent families,58000.0
2019,"Québec, Quebec",,Lone-parent families,76500.0
2020,"Québec, Quebec",,Lone-parent families,79500.0
2015,"Québec, Quebec",,Male lone-parent families,
2016,"Québec, Quebec",,Male lone-parent families,
2017,"Québec, Quebec",,Male lone-parent families,
2018,"Québec, Quebec",,Male lone-parent families,
2019,"Québec, Quebec",,Male lone-parent families,
2020,"Québec, Quebec",,Male lone-parent families,
2015,"Québec, Quebec",,Female lone-parent families,
2016,"Québec, Quebec",,Female lone-parent families,50900.0
2017,"Québec, Quebec",,Female lone-parent families,70400.0
2018,"Québec, Quebec",,Female lone-parent families,51300.0
2019,"Québec, Quebec",,Female lone-parent families,
2020,"Québec, Quebec",,Female lone-parent families,79500.0
2015,"Québec, Quebec",,Other non-elderly families,
2016,"Québec, Quebec",,Other non-elderly families,
2017,"Québec, Quebec",,Other non-elderly families,73800.0
2018,"Québec, Quebec",,Other non-elderly families,64400.0
2019,"Québec, Quebec",,Other non-elderly families,
2020,"Québec, Quebec",,Other non-elderly families,90500.0
2015,"Québec, Quebec",,Persons not in an economic family,30500.0
2016,"Québec, Quebec",,Persons not in an economic family,30400.0
