Year,Units,Geography,Core public infrastructure assets,Type of municipality by population size,Value
2018,Number,Ontario,Solid waste,"Rural municipalities, population 5,000 or more",24.0
2018,Number,Ontario,Stormwater,All municipalities,190.0
2018,Number,Ontario,Stormwater,All urban municipalities,68.0
2018,Number,Ontario,Stormwater,"Urban municipalities, population 1 to 4,999",2.0
2018,Number,Ontario,Stormwater,"Urban municipalities, population 5,000 to 29,999",28.0
2018,Number,Ontario,Stormwater,"Urban municipalities, population 30,000 or more",37.0
2018,Number,Ontario,Stormwater,All rural municipalities,122.0
2018,Number,Ontario,Stormwater,"Rural municipalities, population 1 to 4,999",48.0
2018,Number,Ontario,Stormwater,"Rural municipalities, population 5,000 or more",74.0
2018,Number,Ontario,Wastewater,All municipalities,137.0
2018,Number,Ontario,Wastewater,All urban municipalities,52.0
2018,Number,Ontario,Wastewater,"Urban municipalities, population 1 to 4,999",2.0
2018,Number,Ontario,Wastewater,"Urban municipalities, population 5,000 to 29,999",27.0
2018,Number,Ontario,Wastewater,"Urban municipalities, population 30,000 or more",22.0
2018,Number,Ontario,Wastewater,All rural municipalities,86.0
2018,Number,Ontario,Wastewater,"Rural municipalities, population 1 to 4,999",35.0
2018,Number,Ontario,Wastewater,"Rural municipalities, population 5,000 or more",51.0
2018,Number,Prince Edward Island,Potable water,All municipalities,18.0
2018,Number,Prince Edward Island,Potable water,All urban municipalities,4.0
2018,Number,Prince Edward Island,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Prince Edward Island,Potable water,"Urban municipalities, population 5,000 to 29,999",3.0
2018,Number,Prince Edward Island,Potable water,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Prince Edward Island,Potable water,All rural municipalities,14.0
2018,Number,Prince Edward Island,Potable water,"Rural municipalities, population 1 to 4,999",11.0
2018,Number,Prince Edward Island,Potable water,"Rural municipalities, population 5,000 or more",2.0
2018,Number,Prince Edward Island,Solid waste,All municipalities,0.0
2018,Number,Prince Edward Island,Solid waste,All urban municipalities,0.0
2018,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Prince Edward Island,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Prince Edward Island,Solid waste,All rural municipalities,0.0
2018,Number,Prince Edward Island,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2018,Number,Prince Edward Island,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Prince Edward Island,Stormwater,All municipalities,15.0
2018,Number,Prince Edward Island,Stormwater,All urban municipalities,3.0
2018,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 5,000 to 29,999",1.0
2018,Number,Prince Edward Island,Stormwater,"Urban municipalities, population 30,000 or more",1.0
2018,Number,Prince Edward Island,Stormwater,All rural municipalities,12.0
2018,Number,Prince Edward Island,Stormwater,"Rural municipalities, population 1 to 4,999",12.0
2018,Number,Prince Edward Island,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Prince Edward Island,Wastewater,All municipalities,29.0
2018,Number,Prince Edward Island,Wastewater,All urban municipalities,3.0
2018,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 5,000 to 29,999",3.0
2018,Number,Prince Edward Island,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Prince Edward Island,Wastewater,All rural municipalities,26.0
2018,Number,Prince Edward Island,Wastewater,"Rural municipalities, population 1 to 4,999",24.0
2018,Number,Prince Edward Island,Wastewater,"Rural municipalities, population 5,000 or more",2.0
2018,Number,Quebec,Potable water,All municipalities,394.0
2018,Number,Quebec,Potable water,All urban municipalities,102.0
2018,Number,Quebec,Potable water,"Urban municipalities, population 1 to 4,999",28.0
2018,Number,Quebec,Potable water,"Urban municipalities, population 5,000 to 29,999",52.0
2018,Number,Quebec,Potable water,"Urban municipalities, population 30,000 or more",22.0
2018,Number,Quebec,Potable water,All rural municipalities,292.0
2018,Number,Quebec,Potable water,"Rural municipalities, population 1 to 4,999",259.0
2018,Number,Quebec,Potable water,"Rural municipalities, population 5,000 or more",33.0
2018,Number,Quebec,Solid waste,All municipalities,97.0
2018,Number,Quebec,Solid waste,All urban municipalities,31.0
2018,Number,Quebec,Solid waste,"Urban municipalities, population 1 to 4,999",8.0
2018,Number,Quebec,Solid waste,"Urban municipalities, population 5,000 to 29,999",17.0
2018,Number,Quebec,Solid waste,"Urban municipalities, population 30,000 or more",6.0
2018,Number,Quebec,Solid waste,All rural municipalities,66.0
2018,Number,Quebec,Solid waste,"Rural municipalities, population 1 to 4,999",59.0
2018,Number,Quebec,Solid waste,"Rural municipalities, population 5,000 or more",7.0
2018,Number,Quebec,Stormwater,All municipalities,430.0
2018,Number,Quebec,Stormwater,All urban municipalities,111.0
2018,Number,Quebec,Stormwater,"Urban municipalities, population 1 to 4,999",29.0
2018,Number,Quebec,Stormwater,"Urban municipalities, population 5,000 to 29,999",59.0
2018,Number,Quebec,Stormwater,"Urban municipalities, population 30,000 or more",24.0
2018,Number,Quebec,Stormwater,All rural municipalities,318.0
2018,Number,Quebec,Stormwater,"Rural municipalities, population 1 to 4,999",280.0
2018,Number,Quebec,Stormwater,"Rural municipalities, population 5,000 or more",38.0
2018,Number,Quebec,Wastewater,All municipalities,418.0
2018,Number,Quebec,Wastewater,All urban municipalities,101.0
2018,Number,Quebec,Wastewater,"Urban municipalities, population 1 to 4,999",26.0
2018,Number,Quebec,Wastewater,"Urban municipalities, population 5,000 to 29,999",53.0
2018,Number,Quebec,Wastewater,"Urban municipalities, population 30,000 or more",22.0
2018,Number,Quebec,Wastewater,All rural municipalities,317.0
2018,Number,Quebec,Wastewater,"Rural municipalities, population 1 to 4,999",285.0
2018,Number,Quebec,Wastewater,"Rural municipalities, population 5,000 or more",32.0
2018,Number,Saskatchewan,Potable water,All municipalities,150.0
2018,Number,Saskatchewan,Potable water,All urban municipalities,49.0
2018,Number,Saskatchewan,Potable water,"Urban municipalities, population 1 to 4,999",40.0
2018,Number,Saskatchewan,Potable water,"Urban municipalities, population 5,000 to 29,999",7.0
2018,Number,Saskatchewan,Potable water,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Saskatchewan,Potable water,All rural municipalities,101.0
2018,Number,Saskatchewan,Potable water,"Rural municipalities, population 1 to 4,999",101.0
2018,Number,Saskatchewan,Potable water,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Saskatchewan,Solid waste,All municipalities,101.0
2018,Number,Saskatchewan,Solid waste,All urban municipalities,29.0
2018,Number,Saskatchewan,Solid waste,"Urban municipalities, population 1 to 4,999",23.0
2018,Number,Saskatchewan,Solid waste,"Urban municipalities, population 5,000 to 29,999",5.0
2018,Number,Saskatchewan,Solid waste,"Urban municipalities, population 30,000 or more",2.0
2018,Number,Saskatchewan,Solid waste,All rural municipalities,72.0
2018,Number,Saskatchewan,Solid waste,"Rural municipalities, population 1 to 4,999",72.0
2018,Number,Saskatchewan,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Saskatchewan,Stormwater,All municipalities,110.0
2018,Number,Saskatchewan,Stormwater,All urban municipalities,36.0
2018,Number,Saskatchewan,Stormwater,"Urban municipalities, population 1 to 4,999",25.0
2018,Number,Saskatchewan,Stormwater,"Urban municipalities, population 5,000 to 29,999",7.0
2018,Number,Saskatchewan,Stormwater,"Urban municipalities, population 30,000 or more",4.0
2018,Number,Saskatchewan,Stormwater,All rural municipalities,74.0
2018,Number,Saskatchewan,Stormwater,"Rural municipalities, population 1 to 4,999",74.0
2018,Number,Saskatchewan,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Saskatchewan,Wastewater,All municipalities,161.0
2018,Number,Saskatchewan,Wastewater,All urban municipalities,44.0
2018,Number,Saskatchewan,Wastewater,"Urban municipalities, population 1 to 4,999",34.0
2018,Number,Saskatchewan,Wastewater,"Urban municipalities, population 5,000 to 29,999",7.0
2018,Number,Saskatchewan,Wastewater,"Urban municipalities, population 30,000 or more",3.0
2018,Number,Saskatchewan,Wastewater,All rural municipalities,117.0
2018,Number,Saskatchewan,Wastewater,"Rural municipalities, population 1 to 4,999",117.0
2018,Number,Saskatchewan,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Yukon,Potable water,All municipalities,1.0
2018,Number,Yukon,Potable water,All urban municipalities,0.0
2018,Number,Yukon,Potable water,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Yukon,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Yukon,Potable water,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Yukon,Potable water,All rural municipalities,1.0
2018,Number,Yukon,Potable water,"Rural municipalities, population 1 to 4,999",1.0
2018,Number,Yukon,Potable water,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Yukon,Solid waste,All municipalities,2.0
2018,Number,Yukon,Solid waste,All urban municipalities,0.0
2018,Number,Yukon,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Yukon,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Yukon,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Yukon,Solid waste,All rural municipalities,2.0
2018,Number,Yukon,Solid waste,"Rural municipalities, population 1 to 4,999",2.0
2018,Number,Yukon,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Yukon,Stormwater,All municipalities,2.0
2018,Number,Yukon,Stormwater,All urban municipalities,0.0
2018,Number,Yukon,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Yukon,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Yukon,Stormwater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Yukon,Stormwater,All rural municipalities,2.0
2018,Number,Yukon,Stormwater,"Rural municipalities, population 1 to 4,999",2.0
2018,Number,Yukon,Stormwater,"Rural municipalities, population 5,000 or more",0.0
2018,Number,Yukon,Wastewater,All municipalities,2.0
2018,Number,Yukon,Wastewater,All urban municipalities,0.0
2018,Number,Yukon,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2018,Number,Yukon,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2018,Number,Yukon,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2018,Number,Yukon,Wastewater,All rural municipalities,2.0
2018,Number,Yukon,Wastewater,"Rural municipalities, population 1 to 4,999",2.0
2018,Number,Yukon,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Alberta,Potable water,All municipalities,28.26
2016,Percentage,Alberta,Potable water,All urban municipalities,35.59
2016,Percentage,Alberta,Potable water,"Urban municipalities, population 1 to 4,999",20.0
2016,Percentage,Alberta,Potable water,"Urban municipalities, population 5,000 to 29,999",29.63
2016,Percentage,Alberta,Potable water,"Urban municipalities, population 30,000 or more",66.67
2016,Percentage,Alberta,Potable water,All rural municipalities,24.8
2016,Percentage,Alberta,Potable water,"Rural municipalities, population 1 to 4,999",27.16
2016,Percentage,Alberta,Potable water,"Rural municipalities, population 5,000 or more",20.0
2016,Percentage,Alberta,Solid waste,All municipalities,21.37
2016,Percentage,Alberta,Solid waste,All urban municipalities,30.23
2016,Percentage,Alberta,Solid waste,"Urban municipalities, population 1 to 4,999",9.09
2016,Percentage,Alberta,Solid waste,"Urban municipalities, population 5,000 to 29,999",30.0
2016,Percentage,Alberta,Solid waste,"Urban municipalities, population 30,000 or more",50.0
2016,Percentage,Alberta,Solid waste,All rural municipalities,17.05
2016,Percentage,Alberta,Solid waste,"Rural municipalities, population 1 to 4,999",21.82
2016,Percentage,Alberta,Solid waste,"Rural municipalities, population 5,000 or more",6.25
2016,Percentage,Alberta,Stormwater,All municipalities,45.4
2016,Percentage,Alberta,Stormwater,All urban municipalities,46.03
2016,Percentage,Alberta,Stormwater,"Urban municipalities, population 1 to 4,999",27.27
2016,Percentage,Alberta,Stormwater,"Urban municipalities, population 5,000 to 29,999",51.85
2016,Percentage,Alberta,Stormwater,"Urban municipalities, population 30,000 or more",69.23
2016,Percentage,Alberta,Stormwater,All rural municipalities,44.55
2016,Percentage,Alberta,Stormwater,"Rural municipalities, population 1 to 4,999",40.98
2016,Percentage,Alberta,Stormwater,"Rural municipalities, population 5,000 or more",51.28
2016,Percentage,Alberta,Wastewater,All municipalities,31.02
2016,Percentage,Alberta,Wastewater,All urban municipalities,38.1
2016,Percentage,Alberta,Wastewater,"Urban municipalities, population 1 to 4,999",29.17
2016,Percentage,Alberta,Wastewater,"Urban municipalities, population 5,000 to 29,999",40.74
2016,Percentage,Alberta,Wastewater,"Urban municipalities, population 30,000 or more",50.0
2016,Percentage,Alberta,Wastewater,All rural municipalities,28.23
2016,Percentage,Alberta,Wastewater,"Rural municipalities, population 1 to 4,999",24.36
2016,Percentage,Alberta,Wastewater,"Rural municipalities, population 5,000 or more",34.78
2016,Percentage,British Columbia,Potable water,All municipalities,54.17
2016,Percentage,British Columbia,Potable water,All urban municipalities,64.06
2016,Percentage,British Columbia,Potable water,"Urban municipalities, population 1 to 4,999",41.67
2016,Percentage,British Columbia,Potable water,"Urban municipalities, population 5,000 to 29,999",62.96
2016,Percentage,British Columbia,Potable water,"Urban municipalities, population 30,000 or more",73.08
2016,Percentage,British Columbia,Potable water,All rural municipalities,42.86
2016,Percentage,British Columbia,Potable water,"Rural municipalities, population 1 to 4,999",42.5
2016,Percentage,British Columbia,Potable water,"Rural municipalities, population 5,000 or more",43.75
2016,Percentage,British Columbia,Solid waste,All municipalities,22.89
2016,Percentage,British Columbia,Solid waste,All urban municipalities,25.0
2016,Percentage,British Columbia,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,British Columbia,Solid waste,"Urban municipalities, population 5,000 to 29,999",22.22
2016,Percentage,British Columbia,Solid waste,"Urban municipalities, population 30,000 or more",36.36
2016,Percentage,British Columbia,Solid waste,All rural municipalities,20.59
2016,Percentage,British Columbia,Solid waste,"Rural municipalities, population 1 to 4,999",20.83
2016,Percentage,British Columbia,Solid waste,"Rural municipalities, population 5,000 or more",30.0
2016,Percentage,British Columbia,Stormwater,All municipalities,76.56
2016,Percentage,British Columbia,Stormwater,All urban municipalities,85.92
2016,Percentage,British Columbia,Stormwater,"Urban municipalities, population 1 to 4,999",72.73
2016,Percentage,British Columbia,Stormwater,"Urban municipalities, population 5,000 to 29,999",93.75
2016,Percentage,British Columbia,Stormwater,"Urban municipalities, population 30,000 or more",85.71
2016,Percentage,British Columbia,Stormwater,All rural municipalities,64.91
2016,Percentage,British Columbia,Stormwater,"Rural municipalities, population 1 to 4,999",62.5
2016,Percentage,British Columbia,Stormwater,"Rural municipalities, population 5,000 or more",70.59
2016,Percentage,British Columbia,Wastewater,All municipalities,54.33
2016,Percentage,British Columbia,Wastewater,All urban municipalities,58.57
2016,Percentage,British Columbia,Wastewater,"Urban municipalities, population 1 to 4,999",30.0
2016,Percentage,British Columbia,Wastewater,"Urban municipalities, population 5,000 to 29,999",62.5
2016,Percentage,British Columbia,Wastewater,"Urban municipalities, population 30,000 or more",64.29
2016,Percentage,British Columbia,Wastewater,All rural municipalities,47.37
2016,Percentage,British Columbia,Wastewater,"Rural municipalities, population 1 to 4,999",53.66
2016,Percentage,British Columbia,Wastewater,"Rural municipalities, population 5,000 or more",31.25
2016,Percentage,Canada,Potable water,All municipalities,29.45
2016,Percentage,Canada,Potable water,All urban municipalities,32.43
2016,Percentage,Canada,Potable water,"Urban municipalities, population 1 to 4,999",22.11
2016,Percentage,Canada,Potable water,"Urban municipalities, population 5,000 to 29,999",36.05
2016,Percentage,Canada,Potable water,"Urban municipalities, population 30,000 or more",41.67
2016,Percentage,Canada,Potable water,All rural municipalities,27.61
2016,Percentage,Canada,Potable water,"Rural municipalities, population 1 to 4,999",26.54
2016,Percentage,Canada,Potable water,"Rural municipalities, population 5,000 or more",31.08
2016,Percentage,Canada,Solid waste,All municipalities,15.27
2016,Percentage,Canada,Solid waste,All urban municipalities,18.18
2016,Percentage,Canada,Solid waste,"Urban municipalities, population 1 to 4,999",11.76
2016,Percentage,Canada,Solid waste,"Urban municipalities, population 5,000 to 29,999",19.38
2016,Percentage,Canada,Solid waste,"Urban municipalities, population 30,000 or more",23.23
2016,Percentage,Canada,Solid waste,All rural municipalities,13.67
2016,Percentage,Canada,Solid waste,"Rural municipalities, population 1 to 4,999",16.1
2016,Percentage,Canada,Solid waste,"Rural municipalities, population 5,000 or more",6.92
2016,Percentage,Canada,Stormwater,All municipalities,51.11
2016,Percentage,Canada,Stormwater,All urban municipalities,59.42
2016,Percentage,Canada,Stormwater,"Urban municipalities, population 1 to 4,999",37.91
2016,Percentage,Canada,Stormwater,"Urban municipalities, population 5,000 to 29,999",64.03
2016,Percentage,Canada,Stormwater,"Urban municipalities, population 30,000 or more",77.18
2016,Percentage,Canada,Stormwater,All rural municipalities,45.44
2016,Percentage,Canada,Stormwater,"Rural municipalities, population 1 to 4,999",44.87
2016,Percentage,Canada,Stormwater,"Rural municipalities, population 5,000 or more",46.98
2016,Percentage,Canada,Wastewater,All municipalities,35.37
2016,Percentage,Canada,Wastewater,All urban municipalities,39.44
2016,Percentage,Canada,Wastewater,"Urban municipalities, population 1 to 4,999",28.21
2016,Percentage,Canada,Wastewater,"Urban municipalities, population 5,000 to 29,999",42.15
2016,Percentage,Canada,Wastewater,"Urban municipalities, population 30,000 or more",50.36
2016,Percentage,Canada,Wastewater,All rural municipalities,33.02
2016,Percentage,Canada,Wastewater,"Rural municipalities, population 1 to 4,999",32.6
2016,Percentage,Canada,Wastewater,"Rural municipalities, population 5,000 or more",34.08
2016,Percentage,Manitoba,Potable water,All municipalities,28.26
2016,Percentage,Manitoba,Potable water,All urban municipalities,31.82
2016,Percentage,Manitoba,Potable water,"Urban municipalities, population 1 to 4,999",14.29
2016,Percentage,Manitoba,Potable water,"Urban municipalities, population 5,000 to 29,999",38.46
2016,Percentage,Manitoba,Potable water,"Urban municipalities, population 30,000 or more",50.0
2016,Percentage,Manitoba,Potable water,All rural municipalities,27.14
2016,Percentage,Manitoba,Potable water,"Rural municipalities, population 1 to 4,999",27.87
2016,Percentage,Manitoba,Potable water,"Rural municipalities, population 5,000 or more",25.0
2016,Percentage,Manitoba,Solid waste,All municipalities,14.81
2016,Percentage,Manitoba,Solid waste,All urban municipalities,27.78
2016,Percentage,Manitoba,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,Manitoba,Solid waste,"Urban municipalities, population 5,000 to 29,999",41.67
2016,Percentage,Manitoba,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,Manitoba,Solid waste,All rural municipalities,0.0
2016,Percentage,Manitoba,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Manitoba,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Manitoba,Stormwater,All municipalities,50.5
2016,Percentage,Manitoba,Stormwater,All urban municipalities,66.67
2016,Percentage,Manitoba,Stormwater,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,Manitoba,Stormwater,"Urban municipalities, population 5,000 to 29,999",80.0
2016,Percentage,Manitoba,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Manitoba,Stormwater,All rural municipalities,48.24
2016,Percentage,Manitoba,Stormwater,"Rural municipalities, population 1 to 4,999",49.32
2016,Percentage,Manitoba,Stormwater,"Rural municipalities, population 5,000 or more",41.67
2016,Percentage,Manitoba,Wastewater,All municipalities,31.62
2016,Percentage,Manitoba,Wastewater,All urban municipalities,28.57
2016,Percentage,Manitoba,Wastewater,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,Manitoba,Wastewater,"Urban municipalities, population 5,000 to 29,999",38.46
2016,Percentage,Manitoba,Wastewater,"Urban municipalities, population 30,000 or more",50.0
2016,Percentage,Manitoba,Wastewater,All rural municipalities,32.29
2016,Percentage,Manitoba,Wastewater,"Rural municipalities, population 1 to 4,999",31.76
2016,Percentage,Manitoba,Wastewater,"Rural municipalities, population 5,000 or more",33.33
2016,Percentage,New Brunswick,Potable water,All municipalities,43.14
2016,Percentage,New Brunswick,Potable water,All urban municipalities,39.13
2016,Percentage,New Brunswick,Potable water,"Urban municipalities, population 1 to 4,999",41.67
2016,Percentage,New Brunswick,Potable water,"Urban municipalities, population 5,000 to 29,999",50.0
2016,Percentage,New Brunswick,Potable water,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,New Brunswick,Potable water,All rural municipalities,46.43
2016,Percentage,New Brunswick,Potable water,"Rural municipalities, population 1 to 4,999",45.83
2016,Percentage,New Brunswick,Potable water,"Rural municipalities, population 5,000 or more",20.0
2016,Percentage,New Brunswick,Solid waste,All municipalities,5.0
2016,Percentage,New Brunswick,Solid waste,All urban municipalities,0.0
2016,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,New Brunswick,Solid waste,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,New Brunswick,Solid waste,All rural municipalities,7.69
2016,Percentage,New Brunswick,Solid waste,"Rural municipalities, population 1 to 4,999",10.0
2016,Percentage,New Brunswick,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,New Brunswick,Stormwater,All municipalities,59.02
2016,Percentage,New Brunswick,Stormwater,All urban municipalities,55.56
2016,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 1 to 4,999",50.0
2016,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 5,000 to 29,999",75.0
2016,Percentage,New Brunswick,Stormwater,"Urban municipalities, population 30,000 or more",66.67
2016,Percentage,New Brunswick,Stormwater,All rural municipalities,61.76
2016,Percentage,New Brunswick,Stormwater,"Rural municipalities, population 1 to 4,999",65.52
2016,Percentage,New Brunswick,Stormwater,"Rural municipalities, population 5,000 or more",60.0
2016,Percentage,New Brunswick,Wastewater,All municipalities,43.55
2016,Percentage,New Brunswick,Wastewater,All urban municipalities,46.43
2016,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 1 to 4,999",41.18
2016,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 5,000 to 29,999",75.0
2016,Percentage,New Brunswick,Wastewater,"Urban municipalities, population 30,000 or more",0.0
2016,Percentage,New Brunswick,Wastewater,All rural municipalities,44.12
2016,Percentage,New Brunswick,Wastewater,"Rural municipalities, population 1 to 4,999",50.0
2016,Percentage,New Brunswick,Wastewater,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Newfoundland and Labrador,Potable water,All municipalities,35.48
2016,Percentage,Newfoundland and Labrador,Potable water,All urban municipalities,23.08
2016,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 1 to 4,999",18.75
2016,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 5,000 to 29,999",22.22
2016,Percentage,Newfoundland and Labrador,Potable water,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Newfoundland and Labrador,Potable water,All rural municipalities,44.44
2016,Percentage,Newfoundland and Labrador,Potable water,"Rural municipalities, population 1 to 4,999",36.67
2016,Percentage,Newfoundland and Labrador,Potable water,"Rural municipalities, population 5,000 or more",83.33
2016,Percentage,Newfoundland and Labrador,Solid waste,All municipalities,18.92
2016,Percentage,Newfoundland and Labrador,Solid waste,All urban municipalities,25.0
2016,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 1 to 4,999",25.0
2016,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 5,000 to 29,999",14.29
2016,Percentage,Newfoundland and Labrador,Solid waste,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Newfoundland and Labrador,Solid waste,All rural municipalities,0.0
2016,Percentage,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Newfoundland and Labrador,Solid waste,"Rural municipalities, population 5,000 or more",0.0
2016,Percentage,Newfoundland and Labrador,Stormwater,All municipalities,71.43
2016,Percentage,Newfoundland and Labrador,Stormwater,All urban municipalities,66.67
2016,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 1 to 4,999",64.29
2016,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 5,000 to 29,999",66.67
2016,Percentage,Newfoundland and Labrador,Stormwater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Newfoundland and Labrador,Stormwater,All rural municipalities,75.0
2016,Percentage,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 1 to 4,999",73.08
2016,Percentage,Newfoundland and Labrador,Stormwater,"Rural municipalities, population 5,000 or more",83.33
2016,Percentage,Newfoundland and Labrador,Wastewater,All municipalities,41.94
2016,Percentage,Newfoundland and Labrador,Wastewater,All urban municipalities,33.33
2016,Percentage,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 1 to 4,999",35.71
2016,Percentage,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 5,000 to 29,999",22.22
2016,Percentage,Newfoundland and Labrador,Wastewater,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Newfoundland and Labrador,Wastewater,All rural municipalities,47.37
2016,Percentage,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 1 to 4,999",43.75
2016,Percentage,Newfoundland and Labrador,Wastewater,"Rural municipalities, population 5,000 or more",66.67
2016,Percentage,Northwest Territories,Potable water,All municipalities,16.67
2016,Percentage,Northwest Territories,Potable water,All urban municipalities,0.0
2016,Percentage,Northwest Territories,Potable water,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Northwest Territories,Potable water,All rural municipalities,20.0
2016,Percentage,Northwest Territories,Potable water,"Rural municipalities, population 1 to 4,999",20.0
2016,Percentage,Northwest Territories,Solid waste,All municipalities,16.67
2016,Percentage,Northwest Territories,Solid waste,All urban municipalities,0.0
2016,Percentage,Northwest Territories,Solid waste,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Northwest Territories,Solid waste,All rural municipalities,20.0
2016,Percentage,Northwest Territories,Solid waste,"Rural municipalities, population 1 to 4,999",20.0
2016,Percentage,Northwest Territories,Stormwater,All municipalities,0.0
2016,Percentage,Northwest Territories,Stormwater,All urban municipalities,0.0
2016,Percentage,Northwest Territories,Stormwater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Northwest Territories,Stormwater,All rural municipalities,0.0
2016,Percentage,Northwest Territories,Stormwater,"Rural municipalities, population 1 to 4,999",0.0
2016,Percentage,Northwest Territories,Wastewater,All municipalities,16.67
2016,Percentage,Northwest Territories,Wastewater,All urban municipalities,0.0
2016,Percentage,Northwest Territories,Wastewater,"Urban municipalities, population 5,000 to 29,999",0.0
2016,Percentage,Northwest Territories,Wastewater,All rural municipalities,20.0
2016,Percentage,Northwest Territories,Wastewater,"Rural municipalities, population 1 to 4,999",20.0
2016,Percentage,Nova Scotia,Potable water,All municipalities,56.67
2016,Percentage,Nova Scotia,Potable water,All urban municipalities,55.56
2016,Percentage,Nova Scotia,Potable water,"Urban municipalities, population 1 to 4,999",33.33
2016,Percentage,Nova Scotia,Potable water,"Urban municipalities, population 5,000 to 29,999",50.0
2016,Percentage,Nova Scotia,Potable water,"Urban municipalities, population 30,000 or more",100.0
2016,Percentage,Nova Scotia,Potable water,All rural municipalities,57.14
2016,Percentage,Nova Scotia,Potable water,"Rural municipalities, population 1 to 4,999",60.0
2016,Percentage,Nova Scotia,Potable water,"Rural municipalities, population 5,000 or more",50.0
