Year,Geography,Age group,Sex,Household income,Highest level of education,Series,GeoCode,Value
2024,Prince Edward Island,"Total, 18 years and over",Females,,,Aged 18 years and older,11,69.8
2024,Prince Edward Island,18 to 34 years,Both sexes,,,Aged 18 years and older,11,71.9
2024,Prince Edward Island,35 to 49 years,Both sexes,,,Aged 18 years and older,11,70.2
2024,Prince Edward Island,50 to 64 years,Both sexes,,,Aged 18 years and older,11,66.0
2024,Prince Edward Island,50 to 64 years,Males,,,Aged 18 years and older,11,76.2
2024,Prince Edward Island,50 to 64 years,Females,,,Aged 18 years and older,11,56.7
2024,Prince Edward Island,65 years and over,Both sexes,,,Aged 18 years and older,11,80.1
2024,Prince Edward Island,65 years and over,Males,,,Aged 18 years and older,11,80.4
2024,Prince Edward Island,65 years and over,Females,,,Aged 18 years and older,11,79.8
2024,Nova Scotia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,12,63.1
2024,Nova Scotia,"Total, 18 years and over",Males,,,Aged 18 years and older,12,62.7
2024,Nova Scotia,"Total, 18 years and over",Females,,,Aged 18 years and older,12,63.6
2024,Nova Scotia,18 to 34 years,Both sexes,,,Aged 18 years and older,12,58.0
2024,Nova Scotia,18 to 34 years,Males,,,Aged 18 years and older,12,58.4
2024,Nova Scotia,18 to 34 years,Females,,,Aged 18 years and older,12,57.5
2024,Nova Scotia,35 to 49 years,Both sexes,,,Aged 18 years and older,12,56.7
2024,Nova Scotia,35 to 49 years,Males,,,Aged 18 years and older,12,53.4
2024,Nova Scotia,35 to 49 years,Females,,,Aged 18 years and older,12,59.7
2024,Nova Scotia,50 to 64 years,Both sexes,,,Aged 18 years and older,12,63.3
2024,Nova Scotia,50 to 64 years,Males,,,Aged 18 years and older,12,67.2
2024,Nova Scotia,50 to 64 years,Females,,,Aged 18 years and older,12,59.5
2024,Nova Scotia,65 years and over,Both sexes,,,Aged 18 years and older,12,73.7
2024,Nova Scotia,65 years and over,Males,,,Aged 18 years and older,12,71.0
2024,Nova Scotia,65 years and over,Females,,,Aged 18 years and older,12,76.1
2024,New Brunswick,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,13,63.9
2024,New Brunswick,"Total, 18 years and over",Males,,,Aged 18 years and older,13,62.1
2024,New Brunswick,"Total, 18 years and over",Females,,,Aged 18 years and older,13,65.6
2024,New Brunswick,18 to 34 years,Both sexes,,,Aged 18 years and older,13,55.6
2024,New Brunswick,18 to 34 years,Males,,,Aged 18 years and older,13,50.3
2024,New Brunswick,18 to 34 years,Females,,,Aged 18 years and older,13,61.1
2024,New Brunswick,35 to 49 years,Both sexes,,,Aged 18 years and older,13,57.2
2024,New Brunswick,35 to 49 years,Males,,,Aged 18 years and older,13,54.1
2024,New Brunswick,35 to 49 years,Females,,,Aged 18 years and older,13,60.1
2024,New Brunswick,50 to 64 years,Both sexes,,,Aged 18 years and older,13,66.3
2024,New Brunswick,50 to 64 years,Males,,,Aged 18 years and older,13,67.5
2024,New Brunswick,50 to 64 years,Females,,,Aged 18 years and older,13,65.2
2024,New Brunswick,65 years and over,Both sexes,,,Aged 18 years and older,13,74.6
2024,New Brunswick,65 years and over,Males,,,Aged 18 years and older,13,75.3
2024,New Brunswick,65 years and over,Females,,,Aged 18 years and older,13,74.0
2024,Quebec,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,24,57.0
2024,Quebec,"Total, 18 years and over",Males,,,Aged 18 years and older,24,56.2
2024,Quebec,"Total, 18 years and over",Females,,,Aged 18 years and older,24,57.9
2024,Quebec,18 to 34 years,Both sexes,,,Aged 18 years and older,24,52.5
2024,Quebec,18 to 34 years,Males,,,Aged 18 years and older,24,52.4
2024,Quebec,18 to 34 years,Females,,,Aged 18 years and older,24,52.5
2024,Quebec,35 to 49 years,Both sexes,,,Aged 18 years and older,24,56.0
2024,Quebec,35 to 49 years,Males,,,Aged 18 years and older,24,52.5
2024,Quebec,35 to 49 years,Females,,,Aged 18 years and older,24,59.7
2024,Quebec,50 to 64 years,Both sexes,,,Aged 18 years and older,24,55.0
2024,Quebec,50 to 64 years,Males,,,Aged 18 years and older,24,54.6
2024,Quebec,50 to 64 years,Females,,,Aged 18 years and older,24,55.4
2024,Quebec,65 years and over,Both sexes,,,Aged 18 years and older,24,64.6
2024,Quebec,65 years and over,Males,,,Aged 18 years and older,24,66.1
2024,Quebec,65 years and over,Females,,,Aged 18 years and older,24,63.4
2024,Ontario,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,35,61.9
2024,Ontario,"Total, 18 years and over",Males,,,Aged 18 years and older,35,62.4
2024,Ontario,"Total, 18 years and over",Females,,,Aged 18 years and older,35,61.4
2024,Ontario,18 to 34 years,Both sexes,,,Aged 18 years and older,35,57.2
2024,Ontario,18 to 34 years,Males,,,Aged 18 years and older,35,58.8
2024,Ontario,18 to 34 years,Females,,,Aged 18 years and older,35,55.4
2024,Ontario,35 to 49 years,Both sexes,,,Aged 18 years and older,35,60.7
2024,Ontario,35 to 49 years,Males,,,Aged 18 years and older,35,61.1
2024,Ontario,35 to 49 years,Females,,,Aged 18 years and older,35,60.3
2024,Ontario,50 to 64 years,Both sexes,,,Aged 18 years and older,35,60.9
2024,Ontario,50 to 64 years,Males,,,Aged 18 years and older,35,61.5
2024,Ontario,50 to 64 years,Females,,,Aged 18 years and older,35,60.3
2024,Ontario,65 years and over,Both sexes,,,Aged 18 years and older,35,71.0
2024,Ontario,65 years and over,Males,,,Aged 18 years and older,35,70.5
2024,Ontario,65 years and over,Females,,,Aged 18 years and older,35,71.4
2024,Manitoba,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,46,65.1
2024,Manitoba,"Total, 18 years and over",Males,,,Aged 18 years and older,46,63.9
2024,Manitoba,"Total, 18 years and over",Females,,,Aged 18 years and older,46,66.2
2024,Manitoba,18 to 34 years,Both sexes,,,Aged 18 years and older,46,64.5
2024,Manitoba,18 to 34 years,Males,,,Aged 18 years and older,46,64.1
2024,Manitoba,18 to 34 years,Females,,,Aged 18 years and older,46,64.9
2024,Manitoba,35 to 49 years,Both sexes,,,Aged 18 years and older,46,60.6
2024,Manitoba,35 to 49 years,Males,,,Aged 18 years and older,46,55.4
2024,Manitoba,35 to 49 years,Females,,,Aged 18 years and older,46,65.6
2024,Manitoba,50 to 64 years,Both sexes,,,Aged 18 years and older,46,64.5
2024,Manitoba,50 to 64 years,Males,,,Aged 18 years and older,46,64.0
2024,Manitoba,50 to 64 years,Females,,,Aged 18 years and older,46,65.0
2024,Manitoba,65 years and over,Both sexes,,,Aged 18 years and older,46,71.8
2024,Manitoba,65 years and over,Males,,,Aged 18 years and older,46,74.0
2024,Manitoba,65 years and over,Females,,,Aged 18 years and older,46,69.9
2024,Saskatchewan,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,47,65.1
2024,Saskatchewan,"Total, 18 years and over",Males,,,Aged 18 years and older,47,63.2
2024,Saskatchewan,"Total, 18 years and over",Females,,,Aged 18 years and older,47,66.9
2024,Saskatchewan,18 to 34 years,Both sexes,,,Aged 18 years and older,47,55.7
2024,Saskatchewan,18 to 34 years,Males,,,Aged 18 years and older,47,53.1
2024,Saskatchewan,18 to 34 years,Females,,,Aged 18 years and older,47,58.4
2024,Saskatchewan,35 to 49 years,Both sexes,,,Aged 18 years and older,47,59.6
2024,Saskatchewan,35 to 49 years,Males,,,Aged 18 years and older,47,58.2
2024,Saskatchewan,35 to 49 years,Females,,,Aged 18 years and older,47,61.0
2024,Saskatchewan,50 to 64 years,Both sexes,,,Aged 18 years and older,47,71.2
2024,Saskatchewan,50 to 64 years,Males,,,Aged 18 years and older,47,68.6
2024,Saskatchewan,50 to 64 years,Females,,,Aged 18 years and older,47,73.8
2024,Saskatchewan,65 years and over,Both sexes,,,Aged 18 years and older,47,77.8
2024,Saskatchewan,65 years and over,Males,,,Aged 18 years and older,47,78.0
2024,Saskatchewan,65 years and over,Females,,,Aged 18 years and older,47,77.6
2024,Alberta,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,48,59.7
2024,Alberta,"Total, 18 years and over",Males,,,Aged 18 years and older,48,58.7
2024,Alberta,"Total, 18 years and over",Females,,,Aged 18 years and older,48,60.6
2024,Alberta,18 to 34 years,Both sexes,,,Aged 18 years and older,48,53.4
2024,Alberta,18 to 34 years,Males,,,Aged 18 years and older,48,54.8
2024,Alberta,18 to 34 years,Females,,,Aged 18 years and older,48,52.1
2024,Alberta,35 to 49 years,Both sexes,,,Aged 18 years and older,48,58.5
2024,Alberta,35 to 49 years,Males,,,Aged 18 years and older,48,55.1
2024,Alberta,35 to 49 years,Females,,,Aged 18 years and older,48,62.0
2024,Alberta,50 to 64 years,Both sexes,,,Aged 18 years and older,48,61.4
2024,Alberta,50 to 64 years,Males,,,Aged 18 years and older,48,60.3
2024,Alberta,50 to 64 years,Females,,,Aged 18 years and older,48,62.4
2024,Alberta,65 years and over,Both sexes,,,Aged 18 years and older,48,69.2
2024,Alberta,65 years and over,Males,,,Aged 18 years and older,48,69.0
2024,Alberta,65 years and over,Females,,,Aged 18 years and older,48,69.3
2024,British Columbia,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,59,61.7
2024,British Columbia,"Total, 18 years and over",Males,,,Aged 18 years and older,59,60.7
2024,British Columbia,"Total, 18 years and over",Females,,,Aged 18 years and older,59,62.6
2024,British Columbia,18 to 34 years,Both sexes,,,Aged 18 years and older,59,56.0
2024,British Columbia,18 to 34 years,Males,,,Aged 18 years and older,59,54.8
2024,British Columbia,18 to 34 years,Females,,,Aged 18 years and older,59,57.2
2024,British Columbia,35 to 49 years,Both sexes,,,Aged 18 years and older,59,59.6
2024,British Columbia,35 to 49 years,Males,,,Aged 18 years and older,59,57.4
2024,British Columbia,35 to 49 years,Females,,,Aged 18 years and older,59,61.7
2024,British Columbia,50 to 64 years,Both sexes,,,Aged 18 years and older,59,62.9
2024,British Columbia,50 to 64 years,Males,,,Aged 18 years and older,59,62.9
2024,British Columbia,50 to 64 years,Females,,,Aged 18 years and older,59,62.8
2024,British Columbia,65 years and over,Both sexes,,,Aged 18 years and older,59,69.8
2024,British Columbia,65 years and over,Males,,,Aged 18 years and older,59,70.2
2024,British Columbia,65 years and over,Females,,,Aged 18 years and older,59,69.5
2015,Canada,"Total, 18 years and over",,First quintile,,Aged 18 years and older,,64.1
2015,Canada,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,,66.1
2015,Canada,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,,66.0
2015,Canada,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,,67.5
2015,Canada,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,,69.5
2015,Canada,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,,66.7
2015,Canada,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,,65.7
2015,Canada,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,,67.2
2015,Newfoundland and Labrador,"Total, 18 years and over",,First quintile,,Aged 18 years and older,10,73.1
2015,Newfoundland and Labrador,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,10,75.6
2015,Newfoundland and Labrador,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,10,83.3
2015,Newfoundland and Labrador,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,10,82.3
2015,Newfoundland and Labrador,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,10,77.1
2015,Newfoundland and Labrador,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,10,83.1
2015,Newfoundland and Labrador,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,10,85.4
2015,Newfoundland and Labrador,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,10,76.9
2015,Prince Edward Island,"Total, 18 years and over",,First quintile,,Aged 18 years and older,11,66.9
2015,Prince Edward Island,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,11,80.5
2015,Prince Edward Island,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,11,72.6
2015,Prince Edward Island,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,11,82.5
2015,Prince Edward Island,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,11,76.7
2015,Prince Edward Island,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,11,73.2
2015,Prince Edward Island,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,11,82.0
2015,Prince Edward Island,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,11,75.0
2015,Nova Scotia,"Total, 18 years and over",,First quintile,,Aged 18 years and older,12,71.3
2015,Nova Scotia,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,12,70.5
2015,Nova Scotia,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,12,79.4
2015,Nova Scotia,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,12,81.1
2015,Nova Scotia,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,12,74.3
2015,Nova Scotia,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,12,75.8
2015,Nova Scotia,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,12,72.3
2015,Nova Scotia,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,12,76.0
2015,New Brunswick,"Total, 18 years and over",,First quintile,,Aged 18 years and older,13,57.4
2015,New Brunswick,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,13,69.0
2015,New Brunswick,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,13,70.5
2015,New Brunswick,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,13,77.8
2015,New Brunswick,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,13,71.1
2015,New Brunswick,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,13,75.0
2015,New Brunswick,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,13,66.1
2015,New Brunswick,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,13,69.8
2015,Quebec,"Total, 18 years and over",,First quintile,,Aged 18 years and older,24,57.5
2015,Quebec,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,24,57.2
2015,Quebec,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,24,54.6
2015,Quebec,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,24,56.0
2015,Quebec,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,24,56.6
2015,Quebec,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,24,60.8
2015,Quebec,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,24,56.1
2015,Quebec,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,24,56.1
2015,Ontario,"Total, 18 years and over",,First quintile,,Aged 18 years and older,35,67.5
2015,Ontario,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,35,68.0
2015,Ontario,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,35,68.4
2015,Ontario,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,35,70.4
2015,Ontario,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,35,72.7
2015,Ontario,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,35,68.9
2015,Ontario,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,35,67.2
2015,Ontario,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,35,70.1
2015,Manitoba,"Total, 18 years and over",,First quintile,,Aged 18 years and older,46,67.3
2015,Manitoba,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,46,72.1
2015,Manitoba,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,46,69.7
2015,Manitoba,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,46,71.4
2015,Manitoba,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,46,71.4
2015,Manitoba,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,46,70.0
2015,Manitoba,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,46,68.0
2015,Manitoba,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,46,71.3
2015,Saskatchewan,"Total, 18 years and over",,First quintile,,Aged 18 years and older,47,63.2
2015,Saskatchewan,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,47,78.8
2015,Saskatchewan,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,47,70.9
2015,Saskatchewan,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,47,72.0
2015,Saskatchewan,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,47,73.9
2015,Saskatchewan,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,47,69.2
2015,Saskatchewan,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,47,68.1
2015,Saskatchewan,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,47,73.3
2015,Alberta,"Total, 18 years and over",,First quintile,,Aged 18 years and older,48,64.2
2015,Alberta,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,48,67.3
2015,Alberta,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,48,67.0
2015,Alberta,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,48,68.3
2015,Alberta,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,48,69.8
2015,Alberta,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,48,67.1
2015,Alberta,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,48,63.4
2015,Alberta,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,48,69.7
2015,British Columbia,"Total, 18 years and over",,First quintile,,Aged 18 years and older,59,65.0
2015,British Columbia,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,59,70.3
2015,British Columbia,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,59,72.8
2015,British Columbia,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,59,70.0
2015,British Columbia,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,59,72.9
2015,British Columbia,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,59,67.2
2015,British Columbia,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,59,71.0
2015,British Columbia,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,59,70.6
2016,Canada,"Total, 18 years and over",,First quintile,,Aged 18 years and older,,62.8
2016,Canada,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,,66.4
2016,Canada,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,,67.4
2016,Canada,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,,68.8
2016,Canada,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,,71.8
2016,Canada,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,,67.6
2016,Canada,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,,66.8
2016,Canada,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,,67.7
2016,Newfoundland and Labrador,"Total, 18 years and over",,First quintile,,Aged 18 years and older,10,74.4
2016,Newfoundland and Labrador,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,10,75.3
2016,Newfoundland and Labrador,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,10,80.7
2016,Newfoundland and Labrador,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,10,80.5
2016,Newfoundland and Labrador,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,10,79.3
2016,Newfoundland and Labrador,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,10,84.4
2016,Newfoundland and Labrador,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,10,80.6
2016,Newfoundland and Labrador,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,10,76.3
2016,Prince Edward Island,"Total, 18 years and over",,First quintile,,Aged 18 years and older,11,57.2
2016,Prince Edward Island,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,11,72.9
2016,Prince Edward Island,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,11,77.0
2016,Prince Edward Island,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,11,76.4
2016,Prince Edward Island,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,11,80.9
2016,Prince Edward Island,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,11,70.4
2016,Prince Edward Island,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,11,72.5
2016,Prince Edward Island,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,11,72.4
2016,Nova Scotia,"Total, 18 years and over",,First quintile,,Aged 18 years and older,12,64.9
2016,Nova Scotia,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,12,74.3
2016,Nova Scotia,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,12,74.3
2016,Nova Scotia,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,12,73.1
2016,Nova Scotia,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,12,75.9
2016,Nova Scotia,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,12,69.8
2016,Nova Scotia,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,12,70.1
2016,Nova Scotia,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,12,73.6
2016,New Brunswick,"Total, 18 years and over",,First quintile,,Aged 18 years and older,13,60.2
2016,New Brunswick,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,13,75.7
2016,New Brunswick,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,13,73.9
2016,New Brunswick,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,13,70.8
2016,New Brunswick,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,13,67.1
2016,New Brunswick,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,13,68.3
2016,New Brunswick,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,13,74.6
2016,New Brunswick,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,13,68.9
2016,Quebec,"Total, 18 years and over",,First quintile,,Aged 18 years and older,24,58.7
2016,Quebec,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,24,57.8
2016,Quebec,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,24,56.7
2016,Quebec,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,24,59.4
2016,Quebec,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,24,59.4
2016,Quebec,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,24,61.3
2016,Quebec,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,24,59.7
2016,Quebec,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,24,57.7
2016,Ontario,"Total, 18 years and over",,First quintile,,Aged 18 years and older,35,62.7
2016,Ontario,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,35,69.9
2016,Ontario,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,35,71.7
2016,Ontario,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,35,71.6
2016,Ontario,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,35,74.6
2016,Ontario,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,35,71.0
2016,Ontario,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,35,68.6
2016,Ontario,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,35,70.6
2016,Manitoba,"Total, 18 years and over",,First quintile,,Aged 18 years and older,46,64.1
2016,Manitoba,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,46,68.9
2016,Manitoba,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,46,69.4
2016,Manitoba,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,46,65.6
2016,Manitoba,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,46,73.7
2016,Manitoba,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,46,72.3
2016,Manitoba,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,46,63.2
2016,Manitoba,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,46,69.7
2016,Saskatchewan,"Total, 18 years and over",,First quintile,,Aged 18 years and older,47,66.6
2016,Saskatchewan,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,47,66.4
2016,Saskatchewan,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,47,72.5
2016,Saskatchewan,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,47,77.9
2016,Saskatchewan,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,47,75.1
2016,Saskatchewan,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,47,71.3
2016,Saskatchewan,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,47,70.5
2016,Saskatchewan,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,47,74.1
2016,Alberta,"Total, 18 years and over",,First quintile,,Aged 18 years and older,48,65.8
2016,Alberta,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,48,68.5
2016,Alberta,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,48,65.7
2016,Alberta,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,48,68.6
2016,Alberta,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,48,71.0
2016,Alberta,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,48,73.3
2016,Alberta,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,48,64.2
2016,Alberta,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,48,68.9
2016,British Columbia,"Total, 18 years and over",,First quintile,,Aged 18 years and older,59,67.5
2016,British Columbia,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,59,67.6
2016,British Columbia,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,59,70.7
2016,British Columbia,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,59,72.4
2016,British Columbia,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,59,76.8
2016,British Columbia,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,59,65.4
2016,British Columbia,"Total, 18 years and over",,,"Secondary school graduation, no post-secondary education",Aged 18 years and older,59,69.8
2016,British Columbia,"Total, 18 years and over",,,Post-secondary certificate/diploma or university degree,Aged 18 years and older,59,71.6
2017,Canada,"Total, 18 years and over",,First quintile,,Aged 18 years and older,,64.7
2017,Canada,"Total, 18 years and over",,Second quintile,,Aged 18 years and older,,67.6
2017,Canada,"Total, 18 years and over",,Third quintile,,Aged 18 years and older,,68.9
2017,Canada,"Total, 18 years and over",,Fourth quintile,,Aged 18 years and older,,68.4
2017,Canada,"Total, 18 years and over",,Fifth quintile,,Aged 18 years and older,,71.0
2017,Canada,"Total, 18 years and over",,,Less than secondary school graduation,Aged 18 years and older,,68.5
