Year,Geography,Type of intimate partner violence,Age group,Indigenous group,Visible minority,Immigrant status,Disability,Highest degree earned,Household income,Location of residence,Marital status,GeoCode,Value
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,35,2.3
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,35,3.24
2018,Ontario,Physical violence,,,,,,,"$20,000 to $59,999",,,35,2.21
2018,Ontario,Physical violence,,,,,,,"$60,000 to $99,999",,,35,3.03
2018,Ontario,Physical violence,,,,,,,"$100,000 to $149,999",,,35,2.27
2018,Ontario,Physical violence,,,,,,,"$150,000 or more",,,35,2.06
2018,Ontario,Sexual violence,,,,,,,"$20,000 to $59,999",,,35,1.51
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,,25.44
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,,13.36
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,,11.77
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,,14.24
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,,12.27
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,,24.2
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,,12.81
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,,11.77
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,,14.12
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,,12.15
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,"Less than $20,000",,,,10.43
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,,4.11
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,,4.07
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,,2.45
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,,2.72
2018,Prairie provinces,Physical violence,,,,,,,"$20,000 to $59,999",,,,3.61
2018,Prairie provinces,Physical violence,,,,,,,"$60,000 to $99,999",,,,3.28
2018,Prairie provinces,Physical violence,,,,,,,"$100,000 to $149,999",,,,2.07
2018,Prairie provinces,Physical violence,,,,,,,"$150,000 or more",,,,1.63
2018,Prairie provinces,Sexual violence,,,,,,,"$20,000 to $59,999",,,,1.73
2018,Prairie provinces,Sexual violence,,,,,,,"$60,000 to $99,999",,,,1.46
2018,Prairie provinces,Sexual violence,,,,,,,"$150,000 or more",,,,1.32
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,59,8.6
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,59,16.61
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,59,9.27
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,59,12.51
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,59,10.79
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,59,8.6
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,59,16.61
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,59,9.18
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,59,12.51
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,59,10.79
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,59,6.49
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,59,1.47
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,"$100,000 to $149,999",,,59,1.95
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,59,3.67
2018,British Columbia,Physical violence,,,,,,,"$20,000 to $59,999",,,59,5.44
2018,British Columbia,Physical violence,,,,,,,"$60,000 to $99,999",,,59,1.38
2018,British Columbia,Physical violence,,,,,,,"$100,000 to $149,999",,,59,1.81
2018,Territories,"Total, any type of intimate partner violence",,,,,,,"Less than $20,000",,,,26.07
2018,Territories,"Total, any type of intimate partner violence",,,,,,,"$20,000 to $59,999",,,,20.66
2018,Territories,"Total, any type of intimate partner violence",,,,,,,"$60,000 to $99,999",,,,12.74
2018,Territories,"Total, any type of intimate partner violence",,,,,,,"$100,000 to $149,999",,,,12.82
2018,Territories,"Total, any type of intimate partner violence",,,,,,,"$150,000 or more",,,,8.6
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,"Less than $20,000",,,,26.07
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,"$20,000 to $59,999",,,,19.06
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,"$60,000 to $99,999",,,,12.74
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,"$100,000 to $149,999",,,,12.82
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,"$150,000 or more",,,,8.15
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,"Less than $20,000",,,,15.6
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,"$20,000 to $59,999",,,,12.28
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,"$60,000 to $99,999",,,,5.66
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,"$150,000 or more",,,,4.46
2018,Territories,Physical violence,,,,,,,"Less than $20,000",,,,15.6
2018,Territories,Physical violence,,,,,,,"$20,000 to $59,999",,,,10.45
2018,Territories,Physical violence,,,,,,,"$60,000 to $99,999",,,,5.66
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,Rural,,,12.08
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,Urban,,,12.34
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,,12.01
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,,12.09
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,,Rural,,,2.34
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,,3.27
2018,Canada,Physical violence,,,,,,,,Rural,,,2.12
2018,Canada,Physical violence,,,,,,,,Urban,,,2.44
2018,Canada,Sexual violence,,,,,,,,Rural,,,0.57
2018,Canada,Sexual violence,,,,,,,,Urban,,,1.31
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,,Rural,,,9.73
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,,Urban,,,12.39
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,,9.44
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,,12.2
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,,Rural,,,3.46
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,,3.79
2018,Atlantic provinces,Physical violence,,,,,,,,Rural,,,3.01
2018,Atlantic provinces,Physical violence,,,,,,,,Urban,,,2.82
2018,Atlantic provinces,Sexual violence,,,,,,,,Urban,,,1.52
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,,Rural,,24,9.11
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,,Urban,,24,13.95
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,24,9.11
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,24,13.58
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,24,2.97
2018,Quebec,Physical violence,,,,,,,,Urban,,24,1.93
2018,Quebec,Sexual violence,,,,,,,,Urban,,24,1.4
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,,Rural,,35,13.7
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,,Urban,,35,11.19
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,35,13.7
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,35,10.93
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,,Rural,,35,2.33
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,35,3.44
2018,Ontario,Physical violence,,,,,,,,Rural,,35,2.05
2018,Ontario,Physical violence,,,,,,,,Urban,,35,2.66
2018,Ontario,Sexual violence,,,,,,,,Urban,,35,1.35
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,,Rural,,,14.77
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,,Urban,,,13.77
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,,14.45
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,,13.52
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,,Rural,,,3.14
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,,3.51
2018,Prairie provinces,Physical violence,,,,,,,,Urban,,,2.62
2018,Prairie provinces,Sexual violence,,,,,,,,Urban,,,1.39
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,,Rural,,59,16.75
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,,Urban,,59,11.27
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,,Rural,,59,16.75
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,,Urban,,59,11.24
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,,Urban,,59,2.81
2018,British Columbia,Physical violence,,,,,,,,Urban,,59,2.27
2018,British Columbia,Sexual violence,,,,,,,,Urban,,59,0.9
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,,9.73
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,,19.68
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,,Widowed,,7.03
2018,Canada,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",,19.09
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,,9.67
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,,19.47
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,,Widowed,,6.64
2018,Canada,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",,18.38
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,,1.99
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,,6.55
2018,Canada,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",,6.33
2018,Canada,Physical violence,,,,,,,,,Married or common-law,,1.7
2018,Canada,Physical violence,,,,,,,,,Separated or divorced,,5.9
2018,Canada,Physical violence,,,,,,,,,"Single, never married",,4.13
2018,Canada,Sexual violence,,,,,,,,,Married or common-law,,0.52
2018,Canada,Sexual violence,,,,,,,,,Separated or divorced,,2.13
2018,Canada,Sexual violence,,,,,,,,,"Single, never married",,3.28
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,,8.1
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,,24.13
2018,Atlantic provinces,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",,16.96
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,,7.97
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,,24.13
2018,Atlantic provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",,16.56
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,,2.12
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,,8.08
2018,Atlantic provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",,6.34
2018,Atlantic provinces,Physical violence,,,,,,,,,Married or common-law,,1.78
2018,Atlantic provinces,Physical violence,,,,,,,,,Separated or divorced,,7.02
2018,Atlantic provinces,Physical violence,,,,,,,,,"Single, never married",,4.57
2018,Atlantic provinces,Sexual violence,,,,,,,,,Married or common-law,,0.6
2018,Atlantic provinces,Sexual violence,,,,,,,,,"Single, never married",,3.27
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,24,10.53
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,24,18.29
2018,Quebec,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",24,18.33
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,24,10.46
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,24,17.93
2018,Quebec,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",24,17.34
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,24,1.47
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,24,5.33
2018,Quebec,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",24,5.2
2018,Quebec,Physical violence,,,,,,,,,Married or common-law,24,1.3
2018,Quebec,Physical violence,,,,,,,,,"Single, never married",24,2.35
2018,Quebec,Sexual violence,,,,,,,,,"Single, never married",24,4.1
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,35,8.98
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,35,18.12
2018,Ontario,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",35,19.31
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,35,8.97
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,35,17.82
2018,Ontario,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",35,18.36
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,35,2.21
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,35,6.04
2018,Ontario,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",35,6.01
2018,Ontario,Physical violence,,,,,,,,,Married or common-law,35,1.85
2018,Ontario,Physical violence,,,,,,,,,Separated or divorced,35,5.4
2018,Ontario,Physical violence,,,,,,,,,"Single, never married",35,4.15
2018,Ontario,Sexual violence,,,,,,,,,Married or common-law,35,0.64
2018,Ontario,Sexual violence,,,,,,,,,"Single, never married",35,2.67
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,,10.64
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,,24.76
2018,Prairie provinces,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",,21.85
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,,10.44
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,,24.66
2018,Prairie provinces,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",,21.48
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,,1.75
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,,8.58
2018,Prairie provinces,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",,9.57
2018,Prairie provinces,Physical violence,,,,,,,,,Married or common-law,,1.53
2018,Prairie provinces,Physical violence,,,,,,,,,Separated or divorced,,8.32
2018,Prairie provinces,Physical violence,,,,,,,,,"Single, never married",,6.32
2018,Prairie provinces,Sexual violence,,,,,,,,,Married or common-law,,0.43
2018,Prairie provinces,Sexual violence,,,,,,,,,"Single, never married",,5.11
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,59,10.18
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,59,17.64
2018,British Columbia,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",59,17.45
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,59,10.18
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,59,17.64
2018,British Columbia,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",59,17.34
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,59,2.42
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,59,6.27
2018,British Columbia,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",59,5.1
2018,British Columbia,Physical violence,,,,,,,,,Married or common-law,59,2.04
2018,British Columbia,Physical violence,,,,,,,,,"Single, never married",59,4.26
2018,British Columbia,Sexual violence,,,,,,,,,Married or common-law,59,0.74
2018,Territories,"Total, any type of intimate partner violence",,,,,,,,,Married or common-law,,12.07
2018,Territories,"Total, any type of intimate partner violence",,,,,,,,,Separated or divorced,,21.84
2018,Territories,"Total, any type of intimate partner violence",,,,,,,,,"Single, never married",,22.22
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,,,Married or common-law,,11.09
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,,,Separated or divorced,,21.84
2018,Territories,"Emotional, psychological violence or financial exploitation",,,,,,,,,"Single, never married",,22.22
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,,,Married or common-law,,5.8
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,,,Separated or divorced,,10.64
2018,Territories,"Total, physical or sexual intimate partner violence",,,,,,,,,"Single, never married",,12.21
2018,Territories,Physical violence,,,,,,,,,Married or common-law,,4.94
2018,Territories,Physical violence,,,,,,,,,Separated or divorced,,8.71
2018,Territories,Physical violence,,,,,,,,,"Single, never married",,10.03
2018,Territories,Sexual violence,,,,,,,,,Married or common-law,,1.52
2018,Territories,Sexual violence,,,,,,,,,"Single, never married",,6.5
