Year,data.Geography,data.Type of work,data.National Occupational Classification (NOC),data.Age,Value
2017,data.New Brunswick,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.78
2018,data.New Brunswick,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.96
2019,data.New Brunswick,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,0.44
2020,data.New Brunswick,data.Both full- and part-time employees,data.Management occupations [0],data.55 years and over,1.04
2015,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.99
2016,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.93
2017,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.91
2018,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.91
2019,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.91
2020,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 years and over,0.87
2015,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.22
2016,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.93
2017,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.93
2018,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.82
2019,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,1.0
2020,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.15 to 24 years,0.84
2015,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.92
2016,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.88
2017,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.91
2018,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.83
2019,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.92
2020,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.25 to 54 years,0.86
2015,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.99
2016,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.94
2017,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.91
2018,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.93
2019,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.88
2020,data.New Brunswick,data.Both full- and part-time employees,data.Business - finance and administration occupations [1],data.55 years and over,0.9
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.9
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.82
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.98
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.86
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.82
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 years and over,0.99
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,0.69
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.15 to 24 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.9
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.8
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,1.01
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.86
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.86
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.25 to 54 years,0.99
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.88
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.78
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.77
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural and applied sciences and related occupations [2],data.55 years and over,0.94
2015,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.0
2016,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.09
2017,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.04
2018,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,0.99
2019,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.0
2020,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 years and over,1.12
2015,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.15 to 24 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.02
2016,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.18
2017,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.2
2018,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.02
2019,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.0
2020,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.25 to 54 years,1.24
2015,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.99
2016,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.88
2017,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,1.15
2018,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.89
2019,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.94
2020,data.New Brunswick,data.Both full- and part-time employees,data.Health occupations [3],data.55 years and over,0.94
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.69
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.71
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.71
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.76
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.73
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 years and over,0.84
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.05
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.17
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,1.01
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.9
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.15 to 24 years,0.82
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.75
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.82
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.78
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.79
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.75
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.25 to 54 years,0.89
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.69
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.53
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.5
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.64
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.55
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],data.55 years and over,0.88
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.78
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,1.0
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,1.05
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,1.04
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,1.04
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 years and over,0.8
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.09
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.08
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,0.92
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,1.08
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.15 to 24 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.81
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,0.96
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,1.37
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,1.13
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,1.0
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.25 to 54 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],data.55 years and over,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.87
2016,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.91
2017,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.93
2018,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.93
2019,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.9
2020,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 years and over,0.93
2015,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2016,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,0.99
2017,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2018,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,0.98
2019,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2020,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.15 to 24 years,1.0
2015,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.8
2016,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.88
2017,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.94
2018,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.91
2019,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.83
2020,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.25 to 54 years,0.91
2015,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.82
2016,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.93
2017,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.99
2018,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.96
2019,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.9
2020,data.New Brunswick,data.Both full- and part-time employees,data.Sales and service occupations [6],data.55 years and over,0.82
2015,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.86
2016,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.82
2017,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.96
2018,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.85
2019,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.88
2020,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 years and over,0.87
2015,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.15 to 24 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.9
2016,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.86
2017,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.95
2018,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.82
2019,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.86
2020,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.25 to 54 years,0.87
2015,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.88
2019,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],data.55 years and over,0.87
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.81
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.86
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.82
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.8
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.83
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 years and over,0.83
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.15 to 24 years,0.87
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.77
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.83
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.82
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.93
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.25 to 54 years,0.92
2015,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,0.79
2020,data.New Brunswick,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],data.55 years and over,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.71
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.77
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.78
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.84
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.77
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 years and over,0.8
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.15 to 24 years,
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.67
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.74
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.76
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.77
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.71
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.25 to 54 years,0.8
2015,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.72
2016,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.72
2017,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.72
2018,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.76
2019,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.71
2020,data.New Brunswick,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],data.55 years and over,0.78
2015,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.91
2016,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.96
2017,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.95
2018,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.96
2019,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.95
2020,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 years and over,0.97
2015,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,1.0
2016,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.94
2017,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2018,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.93
2019,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,0.94
2020,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.15 to 24 years,1.0
2015,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.89
2016,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.96
2017,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.96
2018,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.96
2019,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.93
2020,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.25 to 54 years,0.97
2015,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.88
2016,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.89
2017,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.89
2018,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.92
2019,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.87
2020,data.New Brunswick,data.Full-time employees,data.Total employees - all occupations,data.55 years and over,0.9
2015,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.79
2016,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.91
2017,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.92
2018,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.87
2019,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,0.86
2020,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 years and over,1.03
2015,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2016,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2017,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2018,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2019,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2020,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.15 to 24 years,
2015,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.78
2016,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.94
2017,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.94
2018,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.85
2019,data.New Brunswick,data.Full-time employees,data.Management occupations [0],data.25 to 54 years,0.95
