Year,data.Geography,data.Sex,data.Age group,Value
2016,data.Quebec,data.Females,data.25 to 44 years,29.97
2017,data.Quebec,data.Females,data.25 to 44 years,29.91
2018,data.Quebec,data.Females,data.25 to 44 years,27.63
2019,data.Quebec,data.Females,data.25 to 44 years,20.67
2020,data.Quebec,data.Females,data.25 to 44 years,20.92
2015,data.Quebec,data.Females,data.45 years and over,24.45
2016,data.Quebec,data.Females,data.45 years and over,22.04
2017,data.Quebec,data.Females,data.45 years and over,21.01
2018,data.Quebec,data.Females,data.45 years and over,18.07
2019,data.Quebec,data.Females,data.45 years and over,13.96
2020,data.Quebec,data.Females,data.45 years and over,16.71
2015,data.Quebec,data.Females,data.25 to 54 years,34.64
2016,data.Quebec,data.Females,data.25 to 54 years,30.23
2017,data.Quebec,data.Females,data.25 to 54 years,29.61
2018,data.Quebec,data.Females,data.25 to 54 years,27.29
2019,data.Quebec,data.Females,data.25 to 54 years,20.78
2020,data.Quebec,data.Females,data.25 to 54 years,22.2
2015,data.Quebec,data.Females,data.55 years and over,18.31
2016,data.Quebec,data.Females,data.55 years and over,16.07
2017,data.Quebec,data.Females,data.55 years and over,15.83
2018,data.Quebec,data.Females,data.55 years and over,12.32
2019,data.Quebec,data.Females,data.55 years and over,
2020,data.Quebec,data.Females,data.55 years and over,12.4
2015,data.Quebec,data.Females,data.55 to 64 years,21.84
2016,data.Quebec,data.Females,data.55 to 64 years,
2017,data.Quebec,data.Females,data.55 to 64 years,19.85
2018,data.Quebec,data.Females,data.55 to 64 years,14.22
2019,data.Quebec,data.Females,data.55 to 64 years,
2020,data.Quebec,data.Females,data.55 to 64 years,15.65
2015,data.Quebec,data.Females,data.65 years and over,
2016,data.Quebec,data.Females,data.65 years and over,
2017,data.Quebec,data.Females,data.65 years and over,
2018,data.Quebec,data.Females,data.65 years and over,
2019,data.Quebec,data.Females,data.65 years and over,
2020,data.Quebec,data.Females,data.65 years and over,
2015,data.Ontario,data.Both sexes,data.15 years and over,29.96
2016,data.Ontario,data.Both sexes,data.15 years and over,27.4
2017,data.Ontario,data.Both sexes,data.15 years and over,26.6
2018,data.Ontario,data.Both sexes,data.15 years and over,24.02
2019,data.Ontario,data.Both sexes,data.15 years and over,22.44
2020,data.Ontario,data.Both sexes,data.15 years and over,26.27
2015,data.Ontario,data.Both sexes,data.15 to 24 years,22.09
2016,data.Ontario,data.Both sexes,data.15 to 24 years,19.95
2017,data.Ontario,data.Both sexes,data.15 to 24 years,20.3
2018,data.Ontario,data.Both sexes,data.15 to 24 years,17.35
2019,data.Ontario,data.Both sexes,data.15 to 24 years,17.2
2020,data.Ontario,data.Both sexes,data.15 to 24 years,20.3
2015,data.Ontario,data.Both sexes,data.25 years and over,34.54
2016,data.Ontario,data.Both sexes,data.25 years and over,31.48
2017,data.Ontario,data.Both sexes,data.25 years and over,30.18
2018,data.Ontario,data.Both sexes,data.25 years and over,27.85
2019,data.Ontario,data.Both sexes,data.25 years and over,25.44
2020,data.Ontario,data.Both sexes,data.25 years and over,29.15
2015,data.Ontario,data.Both sexes,data.25 to 44 years,42.59
2016,data.Ontario,data.Both sexes,data.25 to 44 years,38.41
2017,data.Ontario,data.Both sexes,data.25 to 44 years,37.78
2018,data.Ontario,data.Both sexes,data.25 to 44 years,34.69
2019,data.Ontario,data.Both sexes,data.25 to 44 years,32.96
2020,data.Ontario,data.Both sexes,data.25 to 44 years,35.61
2015,data.Ontario,data.Both sexes,data.45 years and over,28.78
2016,data.Ontario,data.Both sexes,data.45 years and over,26.64
2017,data.Ontario,data.Both sexes,data.45 years and over,24.68
2018,data.Ontario,data.Both sexes,data.45 years and over,22.86
2019,data.Ontario,data.Both sexes,data.45 years and over,20.36
2020,data.Ontario,data.Both sexes,data.45 years and over,24.71
2015,data.Ontario,data.Both sexes,data.25 to 54 years,41.99
2016,data.Ontario,data.Both sexes,data.25 to 54 years,38.79
2017,data.Ontario,data.Both sexes,data.25 to 54 years,37.87
2018,data.Ontario,data.Both sexes,data.25 to 54 years,34.45
2019,data.Ontario,data.Both sexes,data.25 to 54 years,32.2
2020,data.Ontario,data.Both sexes,data.25 to 54 years,35.52
2015,data.Ontario,data.Both sexes,data.55 years and over,21.05
2016,data.Ontario,data.Both sexes,data.55 years and over,19.53
2017,data.Ontario,data.Both sexes,data.55 years and over,17.43
2018,data.Ontario,data.Both sexes,data.55 years and over,17.21
2019,data.Ontario,data.Both sexes,data.55 years and over,15.43
2020,data.Ontario,data.Both sexes,data.55 years and over,19.84
2015,data.Ontario,data.Both sexes,data.55 to 64 years,27.26
2016,data.Ontario,data.Both sexes,data.55 to 64 years,26.19
2017,data.Ontario,data.Both sexes,data.55 to 64 years,23.51
2018,data.Ontario,data.Both sexes,data.55 to 64 years,22.89
2019,data.Ontario,data.Both sexes,data.55 to 64 years,21.32
2020,data.Ontario,data.Both sexes,data.55 to 64 years,25.91
2015,data.Ontario,data.Both sexes,data.65 years and over,
2016,data.Ontario,data.Both sexes,data.65 years and over,
2017,data.Ontario,data.Both sexes,data.65 years and over,
2018,data.Ontario,data.Both sexes,data.65 years and over,
2019,data.Ontario,data.Both sexes,data.65 years and over,
2020,data.Ontario,data.Both sexes,data.65 years and over,
2015,data.Ontario,data.Males,data.15 years and over,29.99
2016,data.Ontario,data.Males,data.15 years and over,28.22
2017,data.Ontario,data.Males,data.15 years and over,27.08
2018,data.Ontario,data.Males,data.15 years and over,25.65
2019,data.Ontario,data.Males,data.15 years and over,24.52
2020,data.Ontario,data.Males,data.15 years and over,28.88
2015,data.Ontario,data.Males,data.15 to 24 years,22.11
2016,data.Ontario,data.Males,data.15 to 24 years,20.51
2017,data.Ontario,data.Males,data.15 to 24 years,20.95
2018,data.Ontario,data.Males,data.15 to 24 years,17.66
2019,data.Ontario,data.Males,data.15 to 24 years,17.04
2020,data.Ontario,data.Males,data.15 to 24 years,20.4
2015,data.Ontario,data.Males,data.25 years and over,36.47
2016,data.Ontario,data.Males,data.25 years and over,34.08
2017,data.Ontario,data.Males,data.25 years and over,32.13
2018,data.Ontario,data.Males,data.25 years and over,32.22
2019,data.Ontario,data.Males,data.25 years and over,30.13
2020,data.Ontario,data.Males,data.25 years and over,34.21
2015,data.Ontario,data.Males,data.25 to 44 years,49.44
2016,data.Ontario,data.Males,data.25 to 44 years,48.42
2017,data.Ontario,data.Males,data.25 to 44 years,43.46
2018,data.Ontario,data.Males,data.25 to 44 years,44.65
2019,data.Ontario,data.Males,data.25 to 44 years,43.95
2020,data.Ontario,data.Males,data.25 to 44 years,46.55
2015,data.Ontario,data.Males,data.45 years and over,28.99
2016,data.Ontario,data.Males,data.45 years and over,26.39
2017,data.Ontario,data.Males,data.45 years and over,25.61
2018,data.Ontario,data.Males,data.45 years and over,24.25
2019,data.Ontario,data.Males,data.45 years and over,21.83
2020,data.Ontario,data.Males,data.45 years and over,27.08
2015,data.Ontario,data.Males,data.25 to 54 years,49.47
2016,data.Ontario,data.Males,data.25 to 54 years,47.43
2017,data.Ontario,data.Males,data.25 to 54 years,46.07
2018,data.Ontario,data.Males,data.25 to 54 years,45.17
2019,data.Ontario,data.Males,data.25 to 54 years,42.28
2020,data.Ontario,data.Males,data.25 to 54 years,47.09
2015,data.Ontario,data.Males,data.55 years and over,21.16
2016,data.Ontario,data.Males,data.55 years and over,19.31
2017,data.Ontario,data.Males,data.55 years and over,16.08
2018,data.Ontario,data.Males,data.55 years and over,17.77
2019,data.Ontario,data.Males,data.55 years and over,17.13
2020,data.Ontario,data.Males,data.55 years and over,20.69
2015,data.Ontario,data.Males,data.55 to 64 years,
2016,data.Ontario,data.Males,data.55 to 64 years,27.89
2017,data.Ontario,data.Males,data.55 to 64 years,26.18
2018,data.Ontario,data.Males,data.55 to 64 years,27.36
2019,data.Ontario,data.Males,data.55 to 64 years,26.55
2020,data.Ontario,data.Males,data.55 to 64 years,29.47
2015,data.Ontario,data.Males,data.65 years and over,
2016,data.Ontario,data.Males,data.65 years and over,
2017,data.Ontario,data.Males,data.65 years and over,
2018,data.Ontario,data.Males,data.65 years and over,
2019,data.Ontario,data.Males,data.65 years and over,
2020,data.Ontario,data.Males,data.65 years and over,
2015,data.Ontario,data.Females,data.15 years and over,29.98
2016,data.Ontario,data.Females,data.15 years and over,26.96
2017,data.Ontario,data.Females,data.15 years and over,26.34
2018,data.Ontario,data.Females,data.15 years and over,23.11
2019,data.Ontario,data.Females,data.15 years and over,21.22
2020,data.Ontario,data.Females,data.15 years and over,24.78
2015,data.Ontario,data.Females,data.15 to 24 years,22.16
2016,data.Ontario,data.Females,data.15 to 24 years,19.53
2017,data.Ontario,data.Females,data.15 to 24 years,19.81
2018,data.Ontario,data.Females,data.15 to 24 years,17.1
2019,data.Ontario,data.Females,data.15 to 24 years,17.28
2020,data.Ontario,data.Females,data.15 to 24 years,20.13
2015,data.Ontario,data.Females,data.25 years and over,33.71
2016,data.Ontario,data.Females,data.25 years and over,30.29
2017,data.Ontario,data.Females,data.25 years and over,29.3
2018,data.Ontario,data.Females,data.25 years and over,25.85
2019,data.Ontario,data.Females,data.25 years and over,23.09
2020,data.Ontario,data.Females,data.25 years and over,26.64
2015,data.Ontario,data.Females,data.25 to 44 years,40.18
2016,data.Ontario,data.Females,data.25 to 44 years,34.79
2017,data.Ontario,data.Females,data.25 to 44 years,35.75
2018,data.Ontario,data.Females,data.25 to 44 years,30.68
2019,data.Ontario,data.Females,data.25 to 44 years,28.06
2020,data.Ontario,data.Females,data.25 to 44 years,30.96
2015,data.Ontario,data.Females,data.45 years and over,28.71
2016,data.Ontario,data.Females,data.45 years and over,26.77
2017,data.Ontario,data.Females,data.45 years and over,24.2
2018,data.Ontario,data.Females,data.45 years and over,22.19
2019,data.Ontario,data.Females,data.45 years and over,19.64
2020,data.Ontario,data.Females,data.45 years and over,23.45
2015,data.Ontario,data.Females,data.25 to 54 years,39.49
2016,data.Ontario,data.Females,data.25 to 54 years,35.71
2017,data.Ontario,data.Females,data.25 to 54 years,34.94
2018,data.Ontario,data.Females,data.25 to 54 years,30.52
2019,data.Ontario,data.Females,data.25 to 54 years,28.14
2020,data.Ontario,data.Females,data.25 to 54 years,30.91
2015,data.Ontario,data.Females,data.55 years and over,21.04
2016,data.Ontario,data.Females,data.55 years and over,19.62
2017,data.Ontario,data.Females,data.55 years and over,18.22
2018,data.Ontario,data.Females,data.55 years and over,16.97
2019,data.Ontario,data.Females,data.55 years and over,14.27
2020,data.Ontario,data.Females,data.55 years and over,19.28
2015,data.Ontario,data.Females,data.55 to 64 years,26.0
2016,data.Ontario,data.Females,data.55 to 64 years,25.39
2017,data.Ontario,data.Females,data.55 to 64 years,22.35
2018,data.Ontario,data.Females,data.55 to 64 years,20.8
2019,data.Ontario,data.Females,data.55 to 64 years,18.9
2020,data.Ontario,data.Females,data.55 to 64 years,24.18
2015,data.Ontario,data.Females,data.65 years and over,
2016,data.Ontario,data.Females,data.65 years and over,
2017,data.Ontario,data.Females,data.65 years and over,
2018,data.Ontario,data.Females,data.65 years and over,
2019,data.Ontario,data.Females,data.65 years and over,
2020,data.Ontario,data.Females,data.65 years and over,
2015,data.Manitoba,data.Both sexes,data.15 years and over,24.32
2016,data.Manitoba,data.Both sexes,data.15 years and over,23.55
2017,data.Manitoba,data.Both sexes,data.15 years and over,22.64
2018,data.Manitoba,data.Both sexes,data.15 years and over,22.91
2019,data.Manitoba,data.Both sexes,data.15 years and over,21.63
2020,data.Manitoba,data.Both sexes,data.15 years and over,22.78
2015,data.Manitoba,data.Both sexes,data.15 to 24 years,20.99
2016,data.Manitoba,data.Both sexes,data.15 to 24 years,22.4
2017,data.Manitoba,data.Both sexes,data.15 to 24 years,20.31
2018,data.Manitoba,data.Both sexes,data.15 to 24 years,19.22
2019,data.Manitoba,data.Both sexes,data.15 to 24 years,20.31
2020,data.Manitoba,data.Both sexes,data.15 to 24 years,20.8
2015,data.Manitoba,data.Both sexes,data.25 years and over,26.11
2016,data.Manitoba,data.Both sexes,data.25 years and over,24.18
2017,data.Manitoba,data.Both sexes,data.25 years and over,23.98
2018,data.Manitoba,data.Both sexes,data.25 years and over,24.97
2019,data.Manitoba,data.Both sexes,data.25 years and over,22.46
2020,data.Manitoba,data.Both sexes,data.25 years and over,23.95
2015,data.Manitoba,data.Both sexes,data.25 to 44 years,32.17
2016,data.Manitoba,data.Both sexes,data.25 to 44 years,31.12
2017,data.Manitoba,data.Both sexes,data.25 to 44 years,30.23
2018,data.Manitoba,data.Both sexes,data.25 to 44 years,31.36
2019,data.Manitoba,data.Both sexes,data.25 to 44 years,27.47
2020,data.Manitoba,data.Both sexes,data.25 to 44 years,28.73
2015,data.Manitoba,data.Both sexes,data.45 years and over,21.32
2016,data.Manitoba,data.Both sexes,data.45 years and over,18.57
2017,data.Manitoba,data.Both sexes,data.45 years and over,19.32
2018,data.Manitoba,data.Both sexes,data.45 years and over,19.91
2019,data.Manitoba,data.Both sexes,data.45 years and over,18.6
2020,data.Manitoba,data.Both sexes,data.45 years and over,19.91
2015,data.Manitoba,data.Both sexes,data.25 to 54 years,32.46
2016,data.Manitoba,data.Both sexes,data.25 to 54 years,30.68
2017,data.Manitoba,data.Both sexes,data.25 to 54 years,30.49
2018,data.Manitoba,data.Both sexes,data.25 to 54 years,31.59
2019,data.Manitoba,data.Both sexes,data.25 to 54 years,28.38
2020,data.Manitoba,data.Both sexes,data.25 to 54 years,28.2
2015,data.Manitoba,data.Both sexes,data.55 years and over,
2016,data.Manitoba,data.Both sexes,data.55 years and over,
2017,data.Manitoba,data.Both sexes,data.55 years and over,
2018,data.Manitoba,data.Both sexes,data.55 years and over,14.73
2019,data.Manitoba,data.Both sexes,data.55 years and over,
2020,data.Manitoba,data.Both sexes,data.55 years and over,
2015,data.Manitoba,data.Both sexes,data.55 to 64 years,
2016,data.Manitoba,data.Both sexes,data.55 to 64 years,
2017,data.Manitoba,data.Both sexes,data.55 to 64 years,
2018,data.Manitoba,data.Both sexes,data.55 to 64 years,
2019,data.Manitoba,data.Both sexes,data.55 to 64 years,
2020,data.Manitoba,data.Both sexes,data.55 to 64 years,
2015,data.Manitoba,data.Both sexes,data.65 years and over,
2016,data.Manitoba,data.Both sexes,data.65 years and over,
2017,data.Manitoba,data.Both sexes,data.65 years and over,
2018,data.Manitoba,data.Both sexes,data.65 years and over,
2019,data.Manitoba,data.Both sexes,data.65 years and over,
2020,data.Manitoba,data.Both sexes,data.65 years and over,
2015,data.Manitoba,data.Males,data.15 years and over,27.89
2016,data.Manitoba,data.Males,data.15 years and over,25.95
2017,data.Manitoba,data.Males,data.15 years and over,25.36
2018,data.Manitoba,data.Males,data.15 years and over,24.53
2019,data.Manitoba,data.Males,data.15 years and over,23.94
2020,data.Manitoba,data.Males,data.15 years and over,24.32
2015,data.Manitoba,data.Males,data.15 to 24 years,23.73
2016,data.Manitoba,data.Males,data.15 to 24 years,
2017,data.Manitoba,data.Males,data.15 to 24 years,21.99
2018,data.Manitoba,data.Males,data.15 to 24 years,
2019,data.Manitoba,data.Males,data.15 to 24 years,
2020,data.Manitoba,data.Males,data.15 to 24 years,23.46
2015,data.Manitoba,data.Males,data.25 years and over,31.22
2016,data.Manitoba,data.Males,data.25 years and over,26.53
2017,data.Manitoba,data.Males,data.25 years and over,28.25
2018,data.Manitoba,data.Males,data.25 years and over,30.67
2019,data.Manitoba,data.Males,data.25 years and over,26.79
2020,data.Manitoba,data.Males,data.25 years and over,25.29
2015,data.Manitoba,data.Males,data.25 to 44 years,
2016,data.Manitoba,data.Males,data.25 to 44 years,
2017,data.Manitoba,data.Males,data.25 to 44 years,
2018,data.Manitoba,data.Males,data.25 to 44 years,
2019,data.Manitoba,data.Males,data.25 to 44 years,
2020,data.Manitoba,data.Males,data.25 to 44 years,
2015,data.Manitoba,data.Males,data.45 years and over,
2016,data.Manitoba,data.Males,data.45 years and over,
2017,data.Manitoba,data.Males,data.45 years and over,
2018,data.Manitoba,data.Males,data.45 years and over,
2019,data.Manitoba,data.Males,data.45 years and over,
2020,data.Manitoba,data.Males,data.45 years and over,
2015,data.Manitoba,data.Males,data.25 to 54 years,45.05
2016,data.Manitoba,data.Males,data.25 to 54 years,39.84
2017,data.Manitoba,data.Males,data.25 to 54 years,
2018,data.Manitoba,data.Males,data.25 to 54 years,
2019,data.Manitoba,data.Males,data.25 to 54 years,41.94
2020,data.Manitoba,data.Males,data.25 to 54 years,
2015,data.Manitoba,data.Males,data.55 years and over,
2016,data.Manitoba,data.Males,data.55 years and over,
2017,data.Manitoba,data.Males,data.55 years and over,
2018,data.Manitoba,data.Males,data.55 years and over,
2019,data.Manitoba,data.Males,data.55 years and over,
2020,data.Manitoba,data.Males,data.55 years and over,
2015,data.Manitoba,data.Males,data.55 to 64 years,
2016,data.Manitoba,data.Males,data.55 to 64 years,
2017,data.Manitoba,data.Males,data.55 to 64 years,
2018,data.Manitoba,data.Males,data.55 to 64 years,
2019,data.Manitoba,data.Males,data.55 to 64 years,
2020,data.Manitoba,data.Males,data.55 to 64 years,
2015,data.Manitoba,data.Males,data.65 years and over,
2016,data.Manitoba,data.Males,data.65 years and over,
2017,data.Manitoba,data.Males,data.65 years and over,
2018,data.Manitoba,data.Males,data.65 years and over,
2019,data.Manitoba,data.Males,data.65 years and over,
2020,data.Manitoba,data.Males,data.65 years and over,
2015,data.Manitoba,data.Females,data.15 years and over,22.56
2016,data.Manitoba,data.Females,data.15 years and over,22.18
2017,data.Manitoba,data.Females,data.15 years and over,21.26
2018,data.Manitoba,data.Females,data.15 years and over,21.97
2019,data.Manitoba,data.Females,data.15 years and over,20.53
2020,data.Manitoba,data.Females,data.15 years and over,22.21
2015,data.Manitoba,data.Females,data.15 to 24 years,19.43
2016,data.Manitoba,data.Females,data.15 to 24 years,20.93
2017,data.Manitoba,data.Females,data.15 to 24 years,18.7
2018,data.Manitoba,data.Females,data.15 to 24 years,20.22
2019,data.Manitoba,data.Females,data.15 to 24 years,20.3
2020,data.Manitoba,data.Females,data.15 to 24 years,18.93
2015,data.Manitoba,data.Females,data.25 years and over,24.29
2016,data.Manitoba,data.Females,data.25 years and over,22.77
2017,data.Manitoba,data.Females,data.25 years and over,22.46
2018,data.Manitoba,data.Females,data.25 years and over,22.63
2019,data.Manitoba,data.Females,data.25 years and over,20.28
2020,data.Manitoba,data.Females,data.25 years and over,23.3
2015,data.Manitoba,data.Females,data.25 to 44 years,28.2
2016,data.Manitoba,data.Females,data.25 to 44 years,28.4
2017,data.Manitoba,data.Females,data.25 to 44 years,27.41
2018,data.Manitoba,data.Females,data.25 to 44 years,26.52
2019,data.Manitoba,data.Females,data.25 to 44 years,22.71
2020,data.Manitoba,data.Females,data.25 to 44 years,26.2
2015,data.Manitoba,data.Females,data.45 years and over,20.47
2016,data.Manitoba,data.Females,data.45 years and over,18.09
2017,data.Manitoba,data.Females,data.45 years and over,18.54
2018,data.Manitoba,data.Females,data.45 years and over,19.3
2019,data.Manitoba,data.Females,data.45 years and over,18.46
2020,data.Manitoba,data.Females,data.45 years and over,20.44
2015,data.Manitoba,data.Females,data.25 to 54 years,28.87
2016,data.Manitoba,data.Females,data.25 to 54 years,27.97
2017,data.Manitoba,data.Females,data.25 to 54 years,26.65
2018,data.Manitoba,data.Females,data.25 to 54 years,27.2
2019,data.Manitoba,data.Females,data.25 to 54 years,24.35
2020,data.Manitoba,data.Females,data.25 to 54 years,25.87
2015,data.Manitoba,data.Females,data.55 years and over,
2016,data.Manitoba,data.Females,data.55 years and over,
2017,data.Manitoba,data.Females,data.55 years and over,
2018,data.Manitoba,data.Females,data.55 years and over,
2019,data.Manitoba,data.Females,data.55 years and over,
2020,data.Manitoba,data.Females,data.55 years and over,
2015,data.Manitoba,data.Females,data.55 to 64 years,
2016,data.Manitoba,data.Females,data.55 to 64 years,
2017,data.Manitoba,data.Females,data.55 to 64 years,
2018,data.Manitoba,data.Females,data.55 to 64 years,
2019,data.Manitoba,data.Females,data.55 to 64 years,
2020,data.Manitoba,data.Females,data.55 to 64 years,
2015,data.Manitoba,data.Females,data.65 years and over,
2016,data.Manitoba,data.Females,data.65 years and over,
2017,data.Manitoba,data.Females,data.65 years and over,
2018,data.Manitoba,data.Females,data.65 years and over,
2019,data.Manitoba,data.Females,data.65 years and over,
2020,data.Manitoba,data.Females,data.65 years and over,
2015,data.Saskatchewan,data.Both sexes,data.15 years and over,20.0
2016,data.Saskatchewan,data.Both sexes,data.15 years and over,20.66
2017,data.Saskatchewan,data.Both sexes,data.15 years and over,23.77
2018,data.Saskatchewan,data.Both sexes,data.15 years and over,23.21
2019,data.Saskatchewan,data.Both sexes,data.15 years and over,21.69
2020,data.Saskatchewan,data.Both sexes,data.15 years and over,25.76
2015,data.Saskatchewan,data.Both sexes,data.15 to 24 years,
2016,data.Saskatchewan,data.Both sexes,data.15 to 24 years,17.68
2017,data.Saskatchewan,data.Both sexes,data.15 to 24 years,20.48
2018,data.Saskatchewan,data.Both sexes,data.15 to 24 years,19.64
2019,data.Saskatchewan,data.Both sexes,data.15 to 24 years,17.61
2020,data.Saskatchewan,data.Both sexes,data.15 to 24 years,26.79
2015,data.Saskatchewan,data.Both sexes,data.25 years and over,22.39
2016,data.Saskatchewan,data.Both sexes,data.25 years and over,22.14
2017,data.Saskatchewan,data.Both sexes,data.25 years and over,25.23
2018,data.Saskatchewan,data.Both sexes,data.25 years and over,25.07
2019,data.Saskatchewan,data.Both sexes,data.25 years and over,23.41
2020,data.Saskatchewan,data.Both sexes,data.25 years and over,25.63
2015,data.Saskatchewan,data.Both sexes,data.25 to 44 years,29.18
2016,data.Saskatchewan,data.Both sexes,data.25 to 44 years,28.32
2017,data.Saskatchewan,data.Both sexes,data.25 to 44 years,32.84
2018,data.Saskatchewan,data.Both sexes,data.25 to 44 years,32.73
2019,data.Saskatchewan,data.Both sexes,data.25 to 44 years,31.02
2020,data.Saskatchewan,data.Both sexes,data.25 to 44 years,33.91
2015,data.Saskatchewan,data.Both sexes,data.45 years and over,
2016,data.Saskatchewan,data.Both sexes,data.45 years and over,17.78
2017,data.Saskatchewan,data.Both sexes,data.45 years and over,20.51
2018,data.Saskatchewan,data.Both sexes,data.45 years and over,19.55
2019,data.Saskatchewan,data.Both sexes,data.45 years and over,18.14
2020,data.Saskatchewan,data.Both sexes,data.45 years and over,19.37
2015,data.Saskatchewan,data.Both sexes,data.25 to 54 years,28.29
2016,data.Saskatchewan,data.Both sexes,data.25 to 54 years,28.89
2017,data.Saskatchewan,data.Both sexes,data.25 to 54 years,32.22
2018,data.Saskatchewan,data.Both sexes,data.25 to 54 years,33.51
2019,data.Saskatchewan,data.Both sexes,data.25 to 54 years,31.33
2020,data.Saskatchewan,data.Both sexes,data.25 to 54 years,33.25
2015,data.Saskatchewan,data.Both sexes,data.55 years and over,
2016,data.Saskatchewan,data.Both sexes,data.55 years and over,
2017,data.Saskatchewan,data.Both sexes,data.55 years and over,
2018,data.Saskatchewan,data.Both sexes,data.55 years and over,
2019,data.Saskatchewan,data.Both sexes,data.55 years and over,
2020,data.Saskatchewan,data.Both sexes,data.55 years and over,
2015,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2016,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2017,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2018,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2019,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2020,data.Saskatchewan,data.Both sexes,data.55 to 64 years,
2015,data.Saskatchewan,data.Both sexes,data.65 years and over,
2016,data.Saskatchewan,data.Both sexes,data.65 years and over,
2017,data.Saskatchewan,data.Both sexes,data.65 years and over,
2018,data.Saskatchewan,data.Both sexes,data.65 years and over,
2019,data.Saskatchewan,data.Both sexes,data.65 years and over,
2020,data.Saskatchewan,data.Both sexes,data.65 years and over,
2015,data.Saskatchewan,data.Males,data.15 years and over,
2016,data.Saskatchewan,data.Males,data.15 years and over,24.84
2017,data.Saskatchewan,data.Males,data.15 years and over,25.98
2018,data.Saskatchewan,data.Males,data.15 years and over,24.56
2019,data.Saskatchewan,data.Males,data.15 years and over,23.32
2020,data.Saskatchewan,data.Males,data.15 years and over,30.56
2015,data.Saskatchewan,data.Males,data.15 to 24 years,
2016,data.Saskatchewan,data.Males,data.15 to 24 years,
2017,data.Saskatchewan,data.Males,data.15 to 24 years,
2018,data.Saskatchewan,data.Males,data.15 to 24 years,
2019,data.Saskatchewan,data.Males,data.15 to 24 years,
2020,data.Saskatchewan,data.Males,data.15 to 24 years,
2015,data.Saskatchewan,data.Males,data.25 years and over,
2016,data.Saskatchewan,data.Males,data.25 years and over,
2017,data.Saskatchewan,data.Males,data.25 years and over,
2018,data.Saskatchewan,data.Males,data.25 years and over,29.8
2019,data.Saskatchewan,data.Males,data.25 years and over,27.27
2020,data.Saskatchewan,data.Males,data.25 years and over,31.39
2015,data.Saskatchewan,data.Males,data.25 to 44 years,
2016,data.Saskatchewan,data.Males,data.25 to 44 years,
2017,data.Saskatchewan,data.Males,data.25 to 44 years,
2018,data.Saskatchewan,data.Males,data.25 to 44 years,
2019,data.Saskatchewan,data.Males,data.25 to 44 years,
2020,data.Saskatchewan,data.Males,data.25 to 44 years,
2015,data.Saskatchewan,data.Males,data.45 years and over,
2016,data.Saskatchewan,data.Males,data.45 years and over,
2017,data.Saskatchewan,data.Males,data.45 years and over,
2018,data.Saskatchewan,data.Males,data.45 years and over,
2019,data.Saskatchewan,data.Males,data.45 years and over,
2020,data.Saskatchewan,data.Males,data.45 years and over,
2015,data.Saskatchewan,data.Males,data.25 to 54 years,
2016,data.Saskatchewan,data.Males,data.25 to 54 years,
2017,data.Saskatchewan,data.Males,data.25 to 54 years,
2018,data.Saskatchewan,data.Males,data.25 to 54 years,
2019,data.Saskatchewan,data.Males,data.25 to 54 years,
2020,data.Saskatchewan,data.Males,data.25 to 54 years,51.38
2015,data.Saskatchewan,data.Males,data.55 years and over,
2016,data.Saskatchewan,data.Males,data.55 years and over,
2017,data.Saskatchewan,data.Males,data.55 years and over,
2018,data.Saskatchewan,data.Males,data.55 years and over,
2019,data.Saskatchewan,data.Males,data.55 years and over,
2020,data.Saskatchewan,data.Males,data.55 years and over,
2015,data.Saskatchewan,data.Males,data.55 to 64 years,
2016,data.Saskatchewan,data.Males,data.55 to 64 years,
2017,data.Saskatchewan,data.Males,data.55 to 64 years,
2018,data.Saskatchewan,data.Males,data.55 to 64 years,
2019,data.Saskatchewan,data.Males,data.55 to 64 years,
2020,data.Saskatchewan,data.Males,data.55 to 64 years,
2015,data.Saskatchewan,data.Males,data.65 years and over,
2016,data.Saskatchewan,data.Males,data.65 years and over,
2017,data.Saskatchewan,data.Males,data.65 years and over,
2018,data.Saskatchewan,data.Males,data.65 years and over,
2019,data.Saskatchewan,data.Males,data.65 years and over,
2020,data.Saskatchewan,data.Males,data.65 years and over,
2015,data.Saskatchewan,data.Females,data.15 years and over,18.61
2016,data.Saskatchewan,data.Females,data.15 years and over,18.75
2017,data.Saskatchewan,data.Females,data.15 years and over,22.67
2018,data.Saskatchewan,data.Females,data.15 years and over,22.37
2019,data.Saskatchewan,data.Females,data.15 years and over,20.64
2020,data.Saskatchewan,data.Females,data.15 years and over,23.29
2015,data.Saskatchewan,data.Females,data.15 to 24 years,
2016,data.Saskatchewan,data.Females,data.15 to 24 years,
2017,data.Saskatchewan,data.Females,data.15 to 24 years,21.03
2018,data.Saskatchewan,data.Females,data.15 to 24 years,21.47
2019,data.Saskatchewan,data.Females,data.15 to 24 years,18.75
2020,data.Saskatchewan,data.Females,data.15 to 24 years,25.3
2015,data.Saskatchewan,data.Females,data.25 years and over,19.47
2016,data.Saskatchewan,data.Females,data.25 years and over,19.6
2017,data.Saskatchewan,data.Females,data.25 years and over,23.57
