Year,Geography,Persons in low income,GeoCode,Value
2022,Nova Scotia,"Males, under 18 years",12,14.9
2023,Nova Scotia,"Males, under 18 years",12,15.6
2015,Nova Scotia,Persons 18 to 64 years,12,17.6
2016,Nova Scotia,Persons 18 to 64 years,12,18.1
2017,Nova Scotia,Persons 18 to 64 years,12,16.4
2018,Nova Scotia,Persons 18 to 64 years,12,14.9
2019,Nova Scotia,Persons 18 to 64 years,12,13.6
2020,Nova Scotia,Persons 18 to 64 years,12,9.5
2021,Nova Scotia,Persons 18 to 64 years,12,9.1
2022,Nova Scotia,Persons 18 to 64 years,12,13.8
2023,Nova Scotia,Persons 18 to 64 years,12,13.9
2015,Nova Scotia,Persons 65 years and over,12,10.4
2016,Nova Scotia,Persons 65 years and over,12,7.9
2017,Nova Scotia,Persons 65 years and over,12,6.9
2018,Nova Scotia,Persons 65 years and over,12,8.8
2019,Nova Scotia,Persons 65 years and over,12,8.0
2020,Nova Scotia,Persons 65 years and over,12,4.5
2021,Nova Scotia,Persons 65 years and over,12,9.1
2022,Nova Scotia,Persons 65 years and over,12,10.4
2023,Nova Scotia,Persons 65 years and over,12,8.6
2015,Nova Scotia,Persons under 18 years,12,20.6
2016,Nova Scotia,Persons under 18 years,12,19.9
2017,Nova Scotia,Persons under 18 years,12,20.0
2018,Nova Scotia,Persons under 18 years,12,15.8
2019,Nova Scotia,Persons under 18 years,12,10.9
2020,Nova Scotia,Persons under 18 years,12,5.5
2021,Nova Scotia,Persons under 18 years,12,6.1
2022,Nova Scotia,Persons under 18 years,12,14.0
2023,Nova Scotia,Persons under 18 years,12,15.2
2018,Nunavut,All persons,62,43.2
2019,Nunavut,All persons,62,38.7
2020,Nunavut,All persons,62,37.5
2021,Nunavut,All persons,62,39.7
2018,Nunavut,Persons 18 to 64 years,62,36.2
2019,Nunavut,Persons 18 to 64 years,62,35.5
2020,Nunavut,Persons 18 to 64 years,62,32.0
2021,Nunavut,Persons 18 to 64 years,62,36.1
2018,Nunavut,Persons 65 years and over,62,43.1
2019,Nunavut,Persons 65 years and over,62,26.8
2018,Nunavut,Persons under 18 years,62,53.9
2019,Nunavut,Persons under 18 years,62,45.0
2020,Nunavut,Persons under 18 years,62,47.9
2021,Nunavut,Persons under 18 years,62,46.5
2015,Ontario,All persons,35,15.1
2016,Ontario,All persons,35,13.7
2017,Ontario,All persons,35,12.3
2018,Ontario,All persons,35,11.8
2019,Ontario,All persons,35,10.9
2020,Ontario,All persons,35,6.8
2021,Ontario,All persons,35,7.7
2022,Ontario,All persons,35,10.9
2023,Ontario,All persons,35,11.1
2015,Ontario,Females,35,15.4
2016,Ontario,Females,35,14.7
2017,Ontario,Females,35,12.4
2018,Ontario,Females,35,11.4
2019,Ontario,Females,35,11.7
2020,Ontario,Females,35,6.7
2021,Ontario,Females,35,7.8
2022,Ontario,Females,35,11.0
2023,Ontario,Females,35,11.1
2015,Ontario,"Females, 18 to 64 years",35,16.7
2016,Ontario,"Females, 18 to 64 years",35,16.0
2017,Ontario,"Females, 18 to 64 years",35,14.1
2018,Ontario,"Females, 18 to 64 years",35,13.1
2019,Ontario,"Females, 18 to 64 years",35,12.9
2020,Ontario,"Females, 18 to 64 years",35,8.0
2021,Ontario,"Females, 18 to 64 years",35,8.8
2022,Ontario,"Females, 18 to 64 years",35,12.3
2023,Ontario,"Females, 18 to 64 years",35,12.8
2015,Ontario,"Females, 65 years and over",35,7.2
2016,Ontario,"Females, 65 years and over",35,7.2
2017,Ontario,"Females, 65 years and over",35,5.8
2018,Ontario,"Females, 65 years and over",35,5.8
2019,Ontario,"Females, 65 years and over",35,6.8
2020,Ontario,"Females, 65 years and over",35,3.3
2021,Ontario,"Females, 65 years and over",35,5.4
2022,Ontario,"Females, 65 years and over",35,7.2
2023,Ontario,"Females, 65 years and over",35,5.1
2015,Ontario,"Females, under 18 years",35,18.2
2016,Ontario,"Females, under 18 years",35,17.5
2017,Ontario,"Females, under 18 years",35,12.7
2018,Ontario,"Females, under 18 years",35,11.3
2019,Ontario,"Females, under 18 years",35,12.1
2020,Ontario,"Females, under 18 years",35,5.7
2021,Ontario,"Females, under 18 years",35,7.0
2022,Ontario,"Females, under 18 years",35,10.7
2023,Ontario,"Females, under 18 years",35,11.8
2015,Ontario,Males,35,14.7
2016,Ontario,Males,35,12.6
2017,Ontario,Males,35,12.3
2018,Ontario,Males,35,12.2
2019,Ontario,Males,35,10.1
2020,Ontario,Males,35,6.9
2021,Ontario,Males,35,7.6
2022,Ontario,Males,35,10.7
2023,Ontario,Males,35,11.2
2015,Ontario,"Males, 18 to 64 years",35,16.0
2016,Ontario,"Males, 18 to 64 years",35,14.0
2017,Ontario,"Males, 18 to 64 years",35,14.1
2018,Ontario,"Males, 18 to 64 years",35,13.6
2019,Ontario,"Males, 18 to 64 years",35,11.2
2020,Ontario,"Males, 18 to 64 years",35,8.2
2021,Ontario,"Males, 18 to 64 years",35,8.6
2022,Ontario,"Males, 18 to 64 years",35,11.7
2023,Ontario,"Males, 18 to 64 years",35,12.4
2015,Ontario,"Males, 65 years and over",35,4.7
2016,Ontario,"Males, 65 years and over",35,6.0
2017,Ontario,"Males, 65 years and over",35,5.3
2018,Ontario,"Males, 65 years and over",35,5.6
2019,Ontario,"Males, 65 years and over",35,5.1
2020,Ontario,"Males, 65 years and over",35,3.2
2021,Ontario,"Males, 65 years and over",35,4.8
2022,Ontario,"Males, 65 years and over",35,6.0
2023,Ontario,"Males, 65 years and over",35,5.5
2015,Ontario,"Males, under 18 years",35,17.8
2016,Ontario,"Males, under 18 years",35,12.9
2017,Ontario,"Males, under 18 years",35,11.7
2018,Ontario,"Males, under 18 years",35,12.7
2019,Ontario,"Males, under 18 years",35,10.8
2020,Ontario,"Males, under 18 years",35,5.5
2021,Ontario,"Males, under 18 years",35,6.6
2022,Ontario,"Males, under 18 years",35,11.6
2023,Ontario,"Males, under 18 years",35,12.2
2015,Ontario,Persons 18 to 64 years,35,16.4
2016,Ontario,Persons 18 to 64 years,35,15.0
2017,Ontario,Persons 18 to 64 years,35,14.1
2018,Ontario,Persons 18 to 64 years,35,13.3
2019,Ontario,Persons 18 to 64 years,35,12.1
2020,Ontario,Persons 18 to 64 years,35,8.1
2021,Ontario,Persons 18 to 64 years,35,8.7
2022,Ontario,Persons 18 to 64 years,35,12.0
2023,Ontario,Persons 18 to 64 years,35,12.6
2015,Ontario,Persons 65 years and over,35,6.1
2016,Ontario,Persons 65 years and over,35,6.7
2017,Ontario,Persons 65 years and over,35,5.6
2018,Ontario,Persons 65 years and over,35,5.7
2019,Ontario,Persons 65 years and over,35,6.0
2020,Ontario,Persons 65 years and over,35,3.3
2021,Ontario,Persons 65 years and over,35,5.1
2022,Ontario,Persons 65 years and over,35,6.7
2023,Ontario,Persons 65 years and over,35,5.3
2015,Ontario,Persons under 18 years,35,18.0
2016,Ontario,Persons under 18 years,35,15.2
2017,Ontario,Persons under 18 years,35,12.2
2018,Ontario,Persons under 18 years,35,12.0
2019,Ontario,Persons under 18 years,35,11.5
2020,Ontario,Persons under 18 years,35,5.6
2021,Ontario,Persons under 18 years,35,6.8
2022,Ontario,Persons under 18 years,35,11.2
2023,Ontario,Persons under 18 years,35,12.0
2015,"Ottawa-Gatineau, Ontario/Quebec",All persons,,13.4
2016,"Ottawa-Gatineau, Ontario/Quebec",All persons,,10.7
2017,"Ottawa-Gatineau, Ontario/Quebec",All persons,,10.9
2018,"Ottawa-Gatineau, Ontario/Quebec",All persons,,11.4
2019,"Ottawa-Gatineau, Ontario/Quebec",All persons,,8.4
2020,"Ottawa-Gatineau, Ontario/Quebec",All persons,,5.5
2021,"Ottawa-Gatineau, Ontario/Quebec",All persons,,6.5
2022,"Ottawa-Gatineau, Ontario/Quebec",All persons,,9.1
2023,"Ottawa-Gatineau, Ontario/Quebec",All persons,,8.7
2015,"Ottawa-Gatineau, Ontario/Quebec",Females,,14.4
2016,"Ottawa-Gatineau, Ontario/Quebec",Females,,10.7
2017,"Ottawa-Gatineau, Ontario/Quebec",Females,,10.8
2018,"Ottawa-Gatineau, Ontario/Quebec",Females,,10.4
2019,"Ottawa-Gatineau, Ontario/Quebec",Females,,8.0
2020,"Ottawa-Gatineau, Ontario/Quebec",Females,,4.8
2021,"Ottawa-Gatineau, Ontario/Quebec",Females,,7.1
2022,"Ottawa-Gatineau, Ontario/Quebec",Females,,9.0
2023,"Ottawa-Gatineau, Ontario/Quebec",Females,,8.8
2015,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,16.1
2016,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,12.3
2017,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,13.1
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,11.9
2019,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,8.9
2020,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,6.0
2021,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,8.1
2022,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,10.7
2023,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,11.7
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,5.4
2019,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,6.9
2021,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,4.9
2022,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,4.8
2023,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,2.7
2015,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,14.7
2016,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,11.2
2017,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,7.1
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,9.7
2022,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,7.6
2023,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,5.2
2015,"Ottawa-Gatineau, Ontario/Quebec",Males,,12.3
2016,"Ottawa-Gatineau, Ontario/Quebec",Males,,10.7
2017,"Ottawa-Gatineau, Ontario/Quebec",Males,,11.0
2018,"Ottawa-Gatineau, Ontario/Quebec",Males,,12.4
2019,"Ottawa-Gatineau, Ontario/Quebec",Males,,8.8
2020,"Ottawa-Gatineau, Ontario/Quebec",Males,,6.2
2021,"Ottawa-Gatineau, Ontario/Quebec",Males,,6.0
2022,"Ottawa-Gatineau, Ontario/Quebec",Males,,9.2
2023,"Ottawa-Gatineau, Ontario/Quebec",Males,,8.6
2015,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,13.9
2016,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,12.7
2017,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,12.1
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,14.4
2019,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,9.6
2020,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,8.3
2021,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,7.6
2022,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,11.0
2023,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,9.8
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",,5.3
2022,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",,5.4
2023,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",,5.0
2015,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,13.6
2017,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,10.7
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,10.7
2019,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,8.6
2022,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,7.2
2023,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,7.8
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,15.0
2016,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,12.5
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,12.6
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,13.2
2019,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,9.3
2020,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,7.1
2021,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,7.9
2022,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,10.9
2023,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,10.8
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,5.8
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,5.4
2019,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,6.0
2020,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,3.4
2021,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,3.8
2022,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,5.1
2023,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,3.8
2015,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,14.2
2016,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,9.6
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,8.9
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,10.2
2019,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,7.5
2022,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,7.4
2023,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,6.6
2015,Prairie provinces,All persons,,10.8
2016,Prairie provinces,All persons,,10.7
2017,Prairie provinces,All persons,,9.6
2018,Prairie provinces,All persons,,9.6
2019,Prairie provinces,All persons,,9.1
2020,Prairie provinces,All persons,,6.0
2021,Prairie provinces,All persons,,8.2
2022,Prairie provinces,All persons,,10.3
2023,Prairie provinces,All persons,,9.9
2015,Prairie provinces,Females,,11.3
2016,Prairie provinces,Females,,11.0
2017,Prairie provinces,Females,,10.2
2018,Prairie provinces,Females,,9.6
2019,Prairie provinces,Females,,8.9
2020,Prairie provinces,Females,,5.8
2021,Prairie provinces,Females,,8.5
2022,Prairie provinces,Females,,10.7
2023,Prairie provinces,Females,,10.2
2015,Prairie provinces,"Females, 18 to 64 years",,11.1
2016,Prairie provinces,"Females, 18 to 64 years",,12.1
2017,Prairie provinces,"Females, 18 to 64 years",,11.4
2018,Prairie provinces,"Females, 18 to 64 years",,10.6
2019,Prairie provinces,"Females, 18 to 64 years",,10.2
2020,Prairie provinces,"Females, 18 to 64 years",,6.9
2021,Prairie provinces,"Females, 18 to 64 years",,9.0
2022,Prairie provinces,"Females, 18 to 64 years",,11.1
2023,Prairie provinces,"Females, 18 to 64 years",,11.3
2015,Prairie provinces,"Females, 65 years and over",,5.1
2016,Prairie provinces,"Females, 65 years and over",,5.1
2017,Prairie provinces,"Females, 65 years and over",,4.3
2018,Prairie provinces,"Females, 65 years and over",,5.2
2019,Prairie provinces,"Females, 65 years and over",,3.9
2020,Prairie provinces,"Females, 65 years and over",,3.3
2021,Prairie provinces,"Females, 65 years and over",,6.5
2022,Prairie provinces,"Females, 65 years and over",,6.1
2023,Prairie provinces,"Females, 65 years and over",,4.7
2015,Prairie provinces,"Females, under 18 years",,15.7
2016,Prairie provinces,"Females, under 18 years",,11.9
2017,Prairie provinces,"Females, under 18 years",,10.5
2018,Prairie provinces,"Females, under 18 years",,9.7
2019,Prairie provinces,"Females, under 18 years",,8.6
2020,Prairie provinces,"Females, under 18 years",,4.6
2021,Prairie provinces,"Females, under 18 years",,8.4
2022,Prairie provinces,"Females, under 18 years",,12.6
2023,Prairie provinces,"Females, under 18 years",,11.1
2015,Prairie provinces,Males,,10.3
2016,Prairie provinces,Males,,10.4
2017,Prairie provinces,Males,,9.0
2018,Prairie provinces,Males,,9.6
2019,Prairie provinces,Males,,9.3
2020,Prairie provinces,Males,,6.1
2021,Prairie provinces,Males,,8.0
2022,Prairie provinces,Males,,9.9
2023,Prairie provinces,Males,,9.6
2015,Prairie provinces,"Males, 18 to 64 years",,10.5
2016,Prairie provinces,"Males, 18 to 64 years",,10.9
2017,Prairie provinces,"Males, 18 to 64 years",,10.0
2018,Prairie provinces,"Males, 18 to 64 years",,10.6
2019,Prairie provinces,"Males, 18 to 64 years",,10.1
2020,Prairie provinces,"Males, 18 to 64 years",,7.2
2021,Prairie provinces,"Males, 18 to 64 years",,8.7
2022,Prairie provinces,"Males, 18 to 64 years",,10.5
2023,Prairie provinces,"Males, 18 to 64 years",,10.0
2015,Prairie provinces,"Males, 65 years and over",,3.4
2016,Prairie provinces,"Males, 65 years and over",,4.7
2017,Prairie provinces,"Males, 65 years and over",,3.5
2018,Prairie provinces,"Males, 65 years and over",,3.1
2019,Prairie provinces,"Males, 65 years and over",,5.0
2020,Prairie provinces,"Males, 65 years and over",,2.2
2021,Prairie provinces,"Males, 65 years and over",,5.0
2022,Prairie provinces,"Males, 65 years and over",,5.1
2023,Prairie provinces,"Males, 65 years and over",,4.0
2015,Prairie provinces,"Males, under 18 years",,13.2
2016,Prairie provinces,"Males, under 18 years",,12.2
2017,Prairie provinces,"Males, under 18 years",,9.3
2018,Prairie provinces,"Males, under 18 years",,10.5
2019,Prairie provinces,"Males, under 18 years",,9.7
2020,Prairie provinces,"Males, under 18 years",,5.4
2021,Prairie provinces,"Males, under 18 years",,7.8
2022,Prairie provinces,"Males, under 18 years",,11.4
2023,Prairie provinces,"Males, under 18 years",,12.3
2015,Prairie provinces,Persons 18 to 64 years,,10.8
2016,Prairie provinces,Persons 18 to 64 years,,11.4
2017,Prairie provinces,Persons 18 to 64 years,,10.7
2018,Prairie provinces,Persons 18 to 64 years,,10.6
2019,Prairie provinces,Persons 18 to 64 years,,10.2
2020,Prairie provinces,Persons 18 to 64 years,,7.0
2021,Prairie provinces,Persons 18 to 64 years,,8.9
2022,Prairie provinces,Persons 18 to 64 years,,10.8
2023,Prairie provinces,Persons 18 to 64 years,,10.6
2015,Prairie provinces,Persons 65 years and over,,4.3
2016,Prairie provinces,Persons 65 years and over,,4.9
2017,Prairie provinces,Persons 65 years and over,,3.9
2018,Prairie provinces,Persons 65 years and over,,4.2
2019,Prairie provinces,Persons 65 years and over,,4.4
2020,Prairie provinces,Persons 65 years and over,,2.8
2021,Prairie provinces,Persons 65 years and over,,5.8
2022,Prairie provinces,Persons 65 years and over,,5.6
2023,Prairie provinces,Persons 65 years and over,,4.4
2015,Prairie provinces,Persons under 18 years,,14.4
2016,Prairie provinces,Persons under 18 years,,12.0
2017,Prairie provinces,Persons under 18 years,,9.9
2018,Prairie provinces,Persons under 18 years,,10.1
2019,Prairie provinces,Persons under 18 years,,9.2
2020,Prairie provinces,Persons under 18 years,,5.0
2021,Prairie provinces,Persons under 18 years,,8.1
2022,Prairie provinces,Persons under 18 years,,12.0
2023,Prairie provinces,Persons under 18 years,,11.7
2015,Prince Edward Island,All persons,11,15.7
2016,Prince Edward Island,All persons,11,13.9
2017,Prince Edward Island,All persons,11,15.4
2018,Prince Edward Island,All persons,11,13.4
2019,Prince Edward Island,All persons,11,12.3
2020,Prince Edward Island,All persons,11,7.6
2021,Prince Edward Island,All persons,11,7.4
2022,Prince Edward Island,All persons,11,9.8
2023,Prince Edward Island,All persons,11,11.3
2015,Prince Edward Island,Females,11,16.3
2016,Prince Edward Island,Females,11,15.9
2017,Prince Edward Island,Females,11,15.4
2018,Prince Edward Island,Females,11,13.4
2019,Prince Edward Island,Females,11,12.8
2020,Prince Edward Island,Females,11,7.2
2021,Prince Edward Island,Females,11,8.4
2022,Prince Edward Island,Females,11,10.2
2023,Prince Edward Island,Females,11,11.8
2015,Prince Edward Island,"Females, 18 to 64 years",11,15.6
2016,Prince Edward Island,"Females, 18 to 64 years",11,15.4
2017,Prince Edward Island,"Females, 18 to 64 years",11,17.3
2018,Prince Edward Island,"Females, 18 to 64 years",11,13.9
2019,Prince Edward Island,"Females, 18 to 64 years",11,14.9
2020,Prince Edward Island,"Females, 18 to 64 years",11,8.3
2021,Prince Edward Island,"Females, 18 to 64 years",11,10.3
2022,Prince Edward Island,"Females, 18 to 64 years",11,10.8
2023,Prince Edward Island,"Females, 18 to 64 years",11,13.6
2015,Prince Edward Island,"Females, 65 years and over",11,16.6
2016,Prince Edward Island,"Females, 65 years and over",11,12.3
2017,Prince Edward Island,"Females, 65 years and over",11,9.6
2018,Prince Edward Island,"Females, 65 years and over",11,14.2
2019,Prince Edward Island,"Females, 65 years and over",11,8.2
2020,Prince Edward Island,"Females, 65 years and over",11,3.2
2021,Prince Edward Island,"Females, 65 years and over",11,6.6
2022,Prince Edward Island,"Females, 65 years and over",11,9.4
2023,Prince Edward Island,"Females, 65 years and over",11,5.3
2015,Prince Edward Island,"Females, under 18 years",11,18.3
2016,Prince Edward Island,"Females, under 18 years",11,21.4
2017,Prince Edward Island,"Females, under 18 years",11,15.4
2018,Prince Edward Island,"Females, under 18 years",11,10.9
2019,Prince Edward Island,"Females, under 18 years",11,11.0
2020,Prince Edward Island,"Females, under 18 years",11,8.3
2022,Prince Edward Island,"Females, under 18 years",11,9.3
2023,Prince Edward Island,"Females, under 18 years",11,13.2
2015,Prince Edward Island,Males,11,15.0
2016,Prince Edward Island,Males,11,11.7
2017,Prince Edward Island,Males,11,15.3
2018,Prince Edward Island,Males,11,13.4
2019,Prince Edward Island,Males,11,11.7
2020,Prince Edward Island,Males,11,7.9
2021,Prince Edward Island,Males,11,6.3
2022,Prince Edward Island,Males,11,9.3
2023,Prince Edward Island,Males,11,10.8
2015,Prince Edward Island,"Males, 18 to 64 years",11,16.1
2016,Prince Edward Island,"Males, 18 to 64 years",11,12.7
2017,Prince Edward Island,"Males, 18 to 64 years",11,15.0
2018,Prince Edward Island,"Males, 18 to 64 years",11,14.7
2019,Prince Edward Island,"Males, 18 to 64 years",11,11.5
2020,Prince Edward Island,"Males, 18 to 64 years",11,9.1
2021,Prince Edward Island,"Males, 18 to 64 years",11,7.3
2022,Prince Edward Island,"Males, 18 to 64 years",11,10.3
2023,Prince Edward Island,"Males, 18 to 64 years",11,11.5
2015,Prince Edward Island,"Males, 65 years and over",11,9.3
2017,Prince Edward Island,"Males, 65 years and over",11,12.0
2018,Prince Edward Island,"Males, 65 years and over",11,8.5
2020,Prince Edward Island,"Males, 65 years and over",11,6.0
2022,Prince Edward Island,"Males, 65 years and over",11,7.8
2023,Prince Edward Island,"Males, 65 years and over",11,5.6
2015,Prince Edward Island,"Males, under 18 years",11,16.8
2016,Prince Edward Island,"Males, under 18 years",11,15.6
2017,Prince Edward Island,"Males, under 18 years",11,19.0
2018,Prince Edward Island,"Males, under 18 years",11,14.1
2019,Prince Edward Island,"Males, under 18 years",11,17.9
2020,Prince Edward Island,"Males, under 18 years",11,6.1
2022,Prince Edward Island,"Males, under 18 years",11,7.2
2023,Prince Edward Island,"Males, under 18 years",11,13.8
2015,Prince Edward Island,Persons 18 to 64 years,11,15.8
2016,Prince Edward Island,Persons 18 to 64 years,11,14.1
2017,Prince Edward Island,Persons 18 to 64 years,11,16.2
2018,Prince Edward Island,Persons 18 to 64 years,11,14.3
2019,Prince Edward Island,Persons 18 to 64 years,11,13.2
2020,Prince Edward Island,Persons 18 to 64 years,11,8.7
2021,Prince Edward Island,Persons 18 to 64 years,11,8.8
2022,Prince Edward Island,Persons 18 to 64 years,11,10.6
2023,Prince Edward Island,Persons 18 to 64 years,11,12.5
2015,Prince Edward Island,Persons 65 years and over,11,13.2
2016,Prince Edward Island,Persons 65 years and over,11,8.3
2017,Prince Edward Island,Persons 65 years and over,11,10.7
2018,Prince Edward Island,Persons 65 years and over,11,11.5
2019,Prince Edward Island,Persons 65 years and over,11,6.9
2020,Prince Edward Island,Persons 65 years and over,11,4.5
2021,Prince Edward Island,Persons 65 years and over,11,5.7
2022,Prince Edward Island,Persons 65 years and over,11,8.6
2023,Prince Edward Island,Persons 65 years and over,11,5.4
2015,Prince Edward Island,Persons under 18 years,11,17.6
2016,Prince Edward Island,Persons under 18 years,11,18.5
2017,Prince Edward Island,Persons under 18 years,11,17.3
2018,Prince Edward Island,Persons under 18 years,11,12.5
2019,Prince Edward Island,Persons under 18 years,11,14.6
2020,Prince Edward Island,Persons under 18 years,11,7.2
2021,Prince Edward Island,Persons under 18 years,11,4.4
2022,Prince Edward Island,Persons under 18 years,11,8.3
2023,Prince Edward Island,Persons under 18 years,11,13.5
2015,Quebec,All persons,24,13.5
2016,Quebec,All persons,24,11.0
2017,Quebec,All persons,24,10.9
2018,Quebec,All persons,24,9.8
2019,Quebec,All persons,24,8.9
2020,Quebec,All persons,24,4.8
2021,Quebec,All persons,24,5.2
2022,Quebec,All persons,24,6.6
2023,Quebec,All persons,24,7.4
2015,Quebec,Females,24,13.7
2016,Quebec,Females,24,10.8
2017,Quebec,Females,24,10.9
2018,Quebec,Females,24,9.9
2019,Quebec,Females,24,8.6
2020,Quebec,Females,24,5.0
2021,Quebec,Females,24,5.4
2022,Quebec,Females,24,6.1
2023,Quebec,Females,24,7.3
2015,Quebec,"Females, 18 to 64 years",24,15.8
2016,Quebec,"Females, 18 to 64 years",24,11.6
2017,Quebec,"Females, 18 to 64 years",24,12.2
2018,Quebec,"Females, 18 to 64 years",24,11.8
2019,Quebec,"Females, 18 to 64 years",24,10.5
2020,Quebec,"Females, 18 to 64 years",24,6.6
2021,Quebec,"Females, 18 to 64 years",24,5.9
2022,Quebec,"Females, 18 to 64 years",24,7.8
2023,Quebec,"Females, 18 to 64 years",24,9.2
2015,Quebec,"Females, 65 years and over",24,7.5
2016,Quebec,"Females, 65 years and over",24,7.7
2017,Quebec,"Females, 65 years and over",24,7.0
2018,Quebec,"Females, 65 years and over",24,6.4
2019,Quebec,"Females, 65 years and over",24,5.9
2020,Quebec,"Females, 65 years and over",24,2.7
2021,Quebec,"Females, 65 years and over",24,5.7
2022,Quebec,"Females, 65 years and over",24,2.5
2023,Quebec,"Females, 65 years and over",24,3.4
2015,Quebec,"Females, under 18 years",24,12.9
2016,Quebec,"Females, under 18 years",24,11.5
2017,Quebec,"Females, under 18 years",24,10.6
2018,Quebec,"Females, under 18 years",24,7.2
2019,Quebec,"Females, under 18 years",24,5.2
2020,Quebec,"Females, under 18 years",24,2.6
2021,Quebec,"Females, under 18 years",24,3.2
2022,Quebec,"Females, under 18 years",24,5.1
2023,Quebec,"Females, under 18 years",24,6.0
2015,Quebec,Males,24,13.4
2016,Quebec,Males,24,11.1
2017,Quebec,Males,24,10.9
2018,Quebec,Males,24,9.8
2019,Quebec,Males,24,9.3
2020,Quebec,Males,24,4.6
2021,Quebec,Males,24,5.0
2022,Quebec,Males,24,7.0
2023,Quebec,Males,24,7.6
2015,Quebec,"Males, 18 to 64 years",24,14.8
2016,Quebec,"Males, 18 to 64 years",24,12.4
2017,Quebec,"Males, 18 to 64 years",24,12.7
2018,Quebec,"Males, 18 to 64 years",24,11.7
2019,Quebec,"Males, 18 to 64 years",24,11.1
2020,Quebec,"Males, 18 to 64 years",24,6.3
2021,Quebec,"Males, 18 to 64 years",24,6.1
2022,Quebec,"Males, 18 to 64 years",24,9.1
2023,Quebec,"Males, 18 to 64 years",24,9.5
