Year,Units,Geography,Offences,Age,Sex,Value
2018/2019,Adult criminal courts,Nunavut,Administration of justice,25 to 34 years,Sex unknown,63.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Total,66.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Total,28.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Total,71.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Total,59.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Total,38.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Males,68.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Males,29.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Males,85.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Males,38.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Males,41.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Females,61.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Females,13.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Females,39.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Females,219.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Females,24.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Sex unknown,2.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Sex unknown,76.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Sex unknown,2.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Sex unknown,6.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,35 to 44 years,Sex unknown,2.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Total,83.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Total,43.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Total,88.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Total,24.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Total,93.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Males,54.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Males,43.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Males,88.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Males,69.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Males,84.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Females,125.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Females,0.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Females,99.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Females,12.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Females,121.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Sex unknown,101.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Sex unknown,44.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Sex unknown,66.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Sex unknown,48.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,45 to 54 years,Sex unknown,141.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Total,57.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Total,0.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Total,30.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Total,3.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Total,35.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Males,57.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Males,0.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Males,30.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Males,3.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Males,35.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Females,0.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Females,0.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Females,0.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Females,0.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Females,0.0
2014/2015,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Sex unknown,0.0
2018/2019,Adult criminal courts,Nunavut,Administration of justice,55 years and over,Sex unknown,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Total,21.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Total,44.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Total,30.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Total,78.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Total,66.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Males,11.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Males,44.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Males,47.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Males,71.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Males,29.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Females,29.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Females,43.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Females,3.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Females,105.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Females,93.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Company,0.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Company,0.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Company,0.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Company,0.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Company,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Sex unknown,69.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Sex unknown,77.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Sex unknown,2.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Sex unknown,2.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,Total,Sex unknown,144.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Total,26.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Total,79.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Total,2.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Total,114.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Total,127.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Males,7.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Males,82.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Males,3.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Males,116.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Males,56.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Females,74.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Females,65.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Females,2.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Females,114.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Females,180.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Sex unknown,29.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Sex unknown,31.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Sex unknown,1.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,18 to 24 years,Sex unknown,366.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Total,8.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Total,20.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Total,41.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Total,87.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Total,55.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Males,4.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Males,17.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Males,64.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Males,78.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Males,39.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Females,29.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Females,45.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Females,3.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Females,109.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Females,114.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Sex unknown,132.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Sex unknown,39.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Sex unknown,138.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,25 to 34 years,Sex unknown,153.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Total,79.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Total,2.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Total,10.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Total,50.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Total,22.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Males,115.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Males,45.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Males,10.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Males,23.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Males,48.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Females,1.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Females,2.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Females,17.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Females,71.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Females,8.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Sex unknown,52.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,35 to 44 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Total,22.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Total,71.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Total,86.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Total,3.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Total,22.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Males,36.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Males,71.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Males,127.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Males,3.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Males,22.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Females,12.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Females,57.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Females,15.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Females,0.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Females,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Sex unknown,241.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,45 to 54 years,Sex unknown,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Total,1.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Total,15.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Total,128.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Total,120.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Total,2.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Males,1.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Males,9.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Males,66.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Males,120.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Males,2.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Females,0.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Females,267.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Females,198.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Females,0.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Females,0.0
2014/2015,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Sex unknown,0.0
2015/2016,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Sex unknown,0.0
2016/2017,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Sex unknown,0.0
2017/2018,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Sex unknown,0.0
2018/2019,Adult criminal courts,Nunavut,Criminal Code traffic,55 years and over,Sex unknown,0.0
2014/2015,Youth courts,,,,,120.0
2015/2016,Youth courts,,,,,125.0
2016/2017,Youth courts,,,,,135.0
2017/2018,Youth courts,,,,,141.0
2018/2019,Youth courts,,,,,154.0
2014/2015,Youth courts,Canada,Total offences,Total,Males,124.0
2015/2016,Youth courts,Canada,Total offences,Total,Males,127.0
2016/2017,Youth courts,Canada,Total offences,Total,Males,137.0
2017/2018,Youth courts,Canada,Total offences,Total,Males,143.0
2018/2019,Youth courts,Canada,Total offences,Total,Males,155.0
2014/2015,Youth courts,Canada,Total offences,Total,Females,111.0
2015/2016,Youth courts,Canada,Total offences,Total,Females,117.0
2016/2017,Youth courts,Canada,Total offences,Total,Females,133.0
2017/2018,Youth courts,Canada,Total offences,Total,Females,127.0
2018/2019,Youth courts,Canada,Total offences,Total,Females,148.0
2014/2015,Youth courts,Canada,Total offences,Total,Company,1.0
2015/2016,Youth courts,Canada,Total offences,Total,Company,183.0
2016/2017,Youth courts,Canada,Total offences,Total,Company,1.0
2017/2018,Youth courts,Canada,Total offences,Total,Company,106.0
2018/2019,Youth courts,Canada,Total offences,Total,Company,0.0
2014/2015,Youth courts,Canada,Total offences,Total,Sex unknown,124.0
2015/2016,Youth courts,Canada,Total offences,Total,Sex unknown,122.0
2016/2017,Youth courts,Canada,Total offences,Total,Sex unknown,130.0
2017/2018,Youth courts,Canada,Total offences,Total,Sex unknown,133.0
2018/2019,Youth courts,Canada,Total offences,Total,Sex unknown,141.0
2014/2015,Youth courts,Canada,Total offences,12 to 15 years,Total,127.0
2015/2016,Youth courts,Canada,Total offences,12 to 15 years,Total,129.0
2016/2017,Youth courts,Canada,Total offences,12 to 15 years,Total,146.0
2017/2018,Youth courts,Canada,Total offences,12 to 15 years,Total,148.0
2018/2019,Youth courts,Canada,Total offences,12 to 15 years,Total,162.0
2014/2015,Youth courts,Canada,Total offences,12 to 15 years,Males,133.0
2015/2016,Youth courts,Canada,Total offences,12 to 15 years,Males,134.0
2016/2017,Youth courts,Canada,Total offences,12 to 15 years,Males,148.0
2017/2018,Youth courts,Canada,Total offences,12 to 15 years,Males,153.0
2018/2019,Youth courts,Canada,Total offences,12 to 15 years,Males,164.0
2014/2015,Youth courts,Canada,Total offences,12 to 15 years,Females,119.0
2015/2016,Youth courts,Canada,Total offences,12 to 15 years,Females,122.0
2016/2017,Youth courts,Canada,Total offences,12 to 15 years,Females,141.0
2017/2018,Youth courts,Canada,Total offences,12 to 15 years,Females,141.0
2018/2019,Youth courts,Canada,Total offences,12 to 15 years,Females,157.0
2014/2015,Youth courts,Canada,Total offences,12 to 15 years,Sex unknown,122.0
2015/2016,Youth courts,Canada,Total offences,12 to 15 years,Sex unknown,120.0
2016/2017,Youth courts,Canada,Total offences,12 to 15 years,Sex unknown,139.0
2017/2018,Youth courts,Canada,Total offences,12 to 15 years,Sex unknown,147.0
2018/2019,Youth courts,Canada,Total offences,12 to 15 years,Sex unknown,155.0
2014/2015,Youth courts,Canada,Total offences,16 and 17 years,Total,120.0
2015/2016,Youth courts,Canada,Total offences,16 and 17 years,Total,121.0
2016/2017,Youth courts,Canada,Total offences,16 and 17 years,Total,128.0
2017/2018,Youth courts,Canada,Total offences,16 and 17 years,Total,134.0
2018/2019,Youth courts,Canada,Total offences,16 and 17 years,Total,147.0
2014/2015,Youth courts,Canada,Total offences,16 and 17 years,Males,120.0
2015/2016,Youth courts,Canada,Total offences,16 and 17 years,Males,126.0
2016/2017,Youth courts,Canada,Total offences,16 and 17 years,Males,131.0
2017/2018,Youth courts,Canada,Total offences,16 and 17 years,Males,139.0
2018/2019,Youth courts,Canada,Total offences,16 and 17 years,Males,149.0
2014/2015,Youth courts,Canada,Total offences,16 and 17 years,Females,108.0
2015/2016,Youth courts,Canada,Total offences,16 and 17 years,Females,113.0
2016/2017,Youth courts,Canada,Total offences,16 and 17 years,Females,127.0
2017/2018,Youth courts,Canada,Total offences,16 and 17 years,Females,123.0
2018/2019,Youth courts,Canada,Total offences,16 and 17 years,Females,138.0
2014/2015,Youth courts,Canada,Total offences,16 and 17 years,Sex unknown,124.0
2015/2016,Youth courts,Canada,Total offences,16 and 17 years,Sex unknown,125.0
2016/2017,Youth courts,Canada,Total offences,16 and 17 years,Sex unknown,121.0
2017/2018,Youth courts,Canada,Total offences,16 and 17 years,Sex unknown,127.0
2018/2019,Youth courts,Canada,Total offences,16 and 17 years,Sex unknown,130.0
2014/2015,Youth courts,Canada,Total offences,Other ages,Total,106.0
2015/2016,Youth courts,Canada,Total offences,Other ages,Total,106.0
2016/2017,Youth courts,Canada,Total offences,Other ages,Total,98.0
2017/2018,Youth courts,Canada,Total offences,Other ages,Total,92.0
2018/2019,Youth courts,Canada,Total offences,Other ages,Total,119.0
2014/2015,Youth courts,Canada,Total offences,Other ages,Males,105.0
2015/2016,Youth courts,Canada,Total offences,Other ages,Males,89.0
2016/2017,Youth courts,Canada,Total offences,Other ages,Males,64.0
2017/2018,Youth courts,Canada,Total offences,Other ages,Males,90.0
2018/2019,Youth courts,Canada,Total offences,Other ages,Males,119.0
2014/2015,Youth courts,Canada,Total offences,Other ages,Females,97.0
2015/2016,Youth courts,Canada,Total offences,Other ages,Females,113.0
2016/2017,Youth courts,Canada,Total offences,Other ages,Females,78.0
2017/2018,Youth courts,Canada,Total offences,Other ages,Females,85.0
2018/2019,Youth courts,Canada,Total offences,Other ages,Females,108.0
2014/2015,Youth courts,Canada,Total offences,Other ages,Sex unknown,142.0
2015/2016,Youth courts,Canada,Total offences,Other ages,Sex unknown,133.0
2016/2017,Youth courts,Canada,Total offences,Other ages,Sex unknown,191.0
2017/2018,Youth courts,Canada,Total offences,Other ages,Sex unknown,103.0
2018/2019,Youth courts,Canada,Total offences,Other ages,Sex unknown,135.0
2014/2015,Youth courts,Canada,Total offences,Age not applicable,Total,1.0
2015/2016,Youth courts,Canada,Total offences,Age not applicable,Total,183.0
2016/2017,Youth courts,Canada,Total offences,Age not applicable,Total,1.0
2017/2018,Youth courts,Canada,Total offences,Age not applicable,Total,106.0
2018/2019,Youth courts,Canada,Total offences,Age not applicable,Total,0.0
2014/2015,Youth courts,Canada,Total offences,Age not applicable,Company,1.0
2015/2016,Youth courts,Canada,Total offences,Age not applicable,Company,183.0
2016/2017,Youth courts,Canada,Total offences,Age not applicable,Company,1.0
2017/2018,Youth courts,Canada,Total offences,Age not applicable,Company,106.0
2018/2019,Youth courts,Canada,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Canada,Total Criminal Code,Total,Total,134.0
2015/2016,Youth courts,Canada,Total Criminal Code,Total,Total,135.0
2016/2017,Youth courts,Canada,Total Criminal Code,Total,Total,148.0
2017/2018,Youth courts,Canada,Total Criminal Code,Total,Total,152.0
2018/2019,Youth courts,Canada,Total Criminal Code,Total,Total,162.0
2014/2015,Youth courts,Canada,Total Criminal Code,Total,Males,135.0
2015/2016,Youth courts,Canada,Total Criminal Code,Total,Males,139.0
2016/2017,Youth courts,Canada,Total Criminal Code,Total,Males,148.0
2017/2018,Youth courts,Canada,Total Criminal Code,Total,Males,155.0
2018/2019,Youth courts,Canada,Total Criminal Code,Total,Males,164.0
2014/2015,Youth courts,Canada,Total Criminal Code,Total,Females,120.0
2015/2016,Youth courts,Canada,Total Criminal Code,Total,Females,123.0
2016/2017,Youth courts,Canada,Total Criminal Code,Total,Females,141.0
2017/2018,Youth courts,Canada,Total Criminal Code,Total,Females,139.0
2018/2019,Youth courts,Canada,Total Criminal Code,Total,Females,155.0
2014/2015,Youth courts,Canada,Total Criminal Code,Total,Company,0.0
2015/2016,Youth courts,Canada,Total Criminal Code,Total,Company,0.0
2016/2017,Youth courts,Canada,Total Criminal Code,Total,Company,1.0
2017/2018,Youth courts,Canada,Total Criminal Code,Total,Company,0.0
2018/2019,Youth courts,Canada,Total Criminal Code,Total,Company,0.0
2014/2015,Youth courts,Canada,Total Criminal Code,Total,Sex unknown,149.0
2015/2016,Youth courts,Canada,Total Criminal Code,Total,Sex unknown,144.0
2016/2017,Youth courts,Canada,Total Criminal Code,Total,Sex unknown,155.0
2017/2018,Youth courts,Canada,Total Criminal Code,Total,Sex unknown,155.0
2018/2019,Youth courts,Canada,Total Criminal Code,Total,Sex unknown,162.0
2014/2015,Youth courts,Canada,Total Criminal Code,12 to 15 years,Total,139.0
2015/2016,Youth courts,Canada,Total Criminal Code,12 to 15 years,Total,140.0
2016/2017,Youth courts,Canada,Total Criminal Code,12 to 15 years,Total,155.0
2017/2018,Youth courts,Canada,Total Criminal Code,12 to 15 years,Total,155.0
2018/2019,Youth courts,Canada,Total Criminal Code,12 to 15 years,Total,169.0
2014/2015,Youth courts,Canada,Total Criminal Code,12 to 15 years,Males,141.0
2015/2016,Youth courts,Canada,Total Criminal Code,12 to 15 years,Males,143.0
2016/2017,Youth courts,Canada,Total Criminal Code,12 to 15 years,Males,155.0
2017/2018,Youth courts,Canada,Total Criminal Code,12 to 15 years,Males,158.0
2018/2019,Youth courts,Canada,Total Criminal Code,12 to 15 years,Males,171.0
2014/2015,Youth courts,Canada,Total Criminal Code,12 to 15 years,Females,127.0
2015/2016,Youth courts,Canada,Total Criminal Code,12 to 15 years,Females,128.0
2016/2017,Youth courts,Canada,Total Criminal Code,12 to 15 years,Females,147.0
2017/2018,Youth courts,Canada,Total Criminal Code,12 to 15 years,Females,148.0
2018/2019,Youth courts,Canada,Total Criminal Code,12 to 15 years,Females,164.0
2014/2015,Youth courts,Canada,Total Criminal Code,12 to 15 years,Sex unknown,143.0
2015/2016,Youth courts,Canada,Total Criminal Code,12 to 15 years,Sex unknown,136.0
2016/2017,Youth courts,Canada,Total Criminal Code,12 to 15 years,Sex unknown,163.0
2017/2018,Youth courts,Canada,Total Criminal Code,12 to 15 years,Sex unknown,159.0
2018/2019,Youth courts,Canada,Total Criminal Code,12 to 15 years,Sex unknown,169.0
2014/2015,Youth courts,Canada,Total Criminal Code,16 and 17 years,Total,130.0
2015/2016,Youth courts,Canada,Total Criminal Code,16 and 17 years,Total,134.0
2016/2017,Youth courts,Canada,Total Criminal Code,16 and 17 years,Total,141.0
2017/2018,Youth courts,Canada,Total Criminal Code,16 and 17 years,Total,148.0
2018/2019,Youth courts,Canada,Total Criminal Code,16 and 17 years,Total,155.0
2014/2015,Youth courts,Canada,Total Criminal Code,16 and 17 years,Males,134.0
2015/2016,Youth courts,Canada,Total Criminal Code,16 and 17 years,Males,136.0
2016/2017,Youth courts,Canada,Total Criminal Code,16 and 17 years,Males,141.0
2017/2018,Youth courts,Canada,Total Criminal Code,16 and 17 years,Males,150.0
2018/2019,Youth courts,Canada,Total Criminal Code,16 and 17 years,Males,158.0
2014/2015,Youth courts,Canada,Total Criminal Code,16 and 17 years,Females,120.0
2015/2016,Youth courts,Canada,Total Criminal Code,16 and 17 years,Females,120.0
2016/2017,Youth courts,Canada,Total Criminal Code,16 and 17 years,Females,136.0
2017/2018,Youth courts,Canada,Total Criminal Code,16 and 17 years,Females,132.0
2018/2019,Youth courts,Canada,Total Criminal Code,16 and 17 years,Females,147.0
2014/2015,Youth courts,Canada,Total Criminal Code,16 and 17 years,Sex unknown,155.0
