Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,26.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,9.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,8.2
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.8
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,18.3
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,3.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,4.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,4.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,3.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,20.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,6.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,20.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,4.3
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,4.3
2020/2022,Canada,Finance and insurance excluding monetary authorities,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,9.8
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with any environmental benefits,,37.2
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,24.5
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,12.3
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,10.5
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,8.9
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,17.2
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,2.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,19.2
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,14.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,17.4
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,24.7
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,10.9
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,20.3
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,7.8
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,9.1
2020/2022,Canada,Finance and insurance excluding monetary authorities,Large enterprises (250 and more employees),Innovations with other environmental benefits,,9.2
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with any environmental benefits,,51.7
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,42.5
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,18.5
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,27.9
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.5
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,26.4
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.5
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,27.7
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,17.8
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,21.1
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,36.2
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,28.1
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,26.4
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,11.7
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,17.0
2020/2022,Canada,Real estate and rental and leasing,"Total, all enterprise sizes",Innovations with other environmental benefits,,14.5
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,52.5
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,42.8
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,19.8
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,28.7
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.1
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,26.4
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.3
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,27.4
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,17.3
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,21.1
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,36.5
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,28.7
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,27.4
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,11.4
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,17.6
2020/2022,Canada,Real estate and rental and leasing,Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,14.9
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,31.4
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,27.7
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,6.5
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,17.3
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,9.7
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,17.7
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.0
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,13.9
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,13.9
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,6.8
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,24.1
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,13.5
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,14.3
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,10.2
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,0.0
2020/2022,Canada,Real estate and rental and leasing,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,8.0
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with any environmental benefits,,60.9
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,52.6
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,10.1
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,27.8
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,36.8
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,34.7
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.4
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,45.2
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,28.6
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,36.5
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,43.4
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,33.2
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,22.5
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,16.6
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,24.8
2020/2022,Canada,Real estate and rental and leasing,Large enterprises (250 and more employees),Innovations with other environmental benefits,,15.1
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with any environmental benefits,,36.5
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,30.1
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,19.7
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,16.6
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,11.6
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,18.3
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,5.2
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,16.3
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,14.6
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions,,12.2
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,25.0
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,17.7
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,14.6
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,11.0
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,10.7
2020/2022,Canada,"Professional, scientific and technical services","Total, all enterprise sizes",Innovations with other environmental benefits,,11.1
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,36.4
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,30.5
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,19.9
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,16.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,11.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,18.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,5.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,15.9
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,14.5
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,11.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,24.9
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,17.7
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,14.4
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,10.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,9.6
2020/2022,Canada,"Professional, scientific and technical services",Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,11.7
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,33.1
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,25.8
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,18.0
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,15.1
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,11.2
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,16.2
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,2.3
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,15.3
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,14.2
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,13.3
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,22.2
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,14.4
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,11.9
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,12.4
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,16.3
2020/2022,Canada,"Professional, scientific and technical services",Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,2.3
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with any environmental benefits,,44.1
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,30.2
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,19.1
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,19.0
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,12.7
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,17.7
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.5
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,24.2
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,16.6
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,20.0
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,31.6
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,21.6
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,22.0
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,15.4
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,16.6
2020/2022,Canada,"Professional, scientific and technical services",Large enterprises (250 and more employees),Innovations with other environmental benefits,,16.6
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with any environmental benefits,,50.9
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,47.6
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,26.1
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,20.2
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,17.5
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,33.9
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,5.2
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,20.0
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,13.8
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions,,16.5
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,33.4
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,13.9
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,29.7
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,14.1
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,13.6
2020/2022,Canada,Management of companies and enterprises,"Total, all enterprise sizes",Innovations with other environmental benefits,,16.6
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,51.0
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,48.3
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,30.0
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,21.8
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,21.9
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,34.4
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,7.8
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,22.8
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,18.1
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,19.0
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,38.6
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,15.4
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced material use or increased recycling for the end user or consumer,,34.2
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,17.0
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions for the end user or consumer,,18.1
2020/2022,Canada,Management of companies and enterprises,Small enterprises (20 to 99 employees),Innovations with other environmental benefits,,17.7
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with any environmental benefits,,68.1
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits from production through efficient use of resources,,61.2
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced material use per unit of output,,17.6
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency through reduced energy use per unit of output,,15.7
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,15.7
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced consumption of resources through recycling (water, waste or material)",,49.1
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.0
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to increased environmental protection activities,,18.7
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution",,6.9
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions,,11.8
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with environmental benefits related to the end user or consumer,,20.7
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,15.8
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced material use or increased recycling for the end user or consumer,,15.2
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,15.2
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Reduced greenhouse gas emissions for the end user or consumer,,5.6
2020/2022,Canada,Management of companies and enterprises,Medium-sized enterprises (100 to 249 employees),Innovations with other environmental benefits,,25.4
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with any environmental benefits,,39.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits from production through efficient use of resources,,36.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency through reduced material use per unit of output,,18.7
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency through reduced energy use per unit of output,,17.4
