Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,GeoCode,Value
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,18 à 24 ans,Femmes,47,97.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,47,80.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,25 à 34 ans,Hommes,47,99.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,25 à 34 ans,Femmes,47,79.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,47,53.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",47,91.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,35 à 44 ans,Hommes,47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,35 à 44 ans,Femmes,47,85.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,47,36.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",47,85.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,45 à 54 ans,Hommes,47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,45 à 54 ans,Femmes,47,59.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,47,32.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,55 ans et plus,Hommes,47,99.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,55 ans et plus,Femmes,47,78.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Autres âges,"Total, le sexe de l'accusé",47,46.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Autres âges,Hommes,47,50.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Autres âges,Femmes,47,57.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Autres âges,Sexe inconnu,47,31.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",47,134.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,47,145.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,47,113.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,47,96.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",47,134.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,18 à 24 ans,Hommes,47,151.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,18 à 24 ans,Femmes,47,113.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,18 à 24 ans,Sexe inconnu,47,103.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,25 à 34 ans,"Total, le sexe de l'accusé",47,136.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,25 à 34 ans,Hommes,47,149.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,25 à 34 ans,Femmes,47,111.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,25 à 34 ans,Sexe inconnu,47,100.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,35 à 44 ans,"Total, le sexe de l'accusé",47,134.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,35 à 44 ans,Hommes,47,141.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,35 à 44 ans,Femmes,47,119.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,35 à 44 ans,Sexe inconnu,47,86.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,45 à 54 ans,"Total, le sexe de l'accusé",47,127.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,45 à 54 ans,Hommes,47,141.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,45 à 54 ans,Femmes,47,99.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,45 à 54 ans,Sexe inconnu,47,120.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,55 ans et plus,"Total, le sexe de l'accusé",47,124.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,55 ans et plus,Hommes,47,121.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,55 ans et plus,Femmes,47,135.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,55 ans et plus,Sexe inconnu,47,86.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Autres âges,"Total, le sexe de l'accusé",47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Autres âges,Hommes,47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Autres âges,Femmes,47,68.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Autres âges,Sexe inconnu,47,45.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre la personne,Âge n'ayant pas lieu de figurer,Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",47,127.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,"Total, l'âge de l'accusé",Hommes,47,127.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,"Total, l'âge de l'accusé",Femmes,47,136.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,"Total, l'âge de l'accusé",Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,"Total, l'âge de l'accusé",Sexe inconnu,47,71.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,18 à 24 ans,"Total, le sexe de l'accusé",47,141.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,18 à 24 ans,Hommes,47,133.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,18 à 24 ans,Femmes,47,158.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,18 à 24 ans,Sexe inconnu,47,106.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,25 à 34 ans,"Total, le sexe de l'accusé",47,131.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,25 à 34 ans,Hommes,47,134.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,25 à 34 ans,Femmes,47,133.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,25 à 34 ans,Sexe inconnu,47,71.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,35 à 44 ans,"Total, le sexe de l'accusé",47,124.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,35 à 44 ans,Hommes,47,121.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,35 à 44 ans,Femmes,47,141.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,35 à 44 ans,Sexe inconnu,47,27.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,45 à 54 ans,"Total, le sexe de l'accusé",47,103.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,45 à 54 ans,Hommes,47,104.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,45 à 54 ans,Femmes,47,128.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,45 à 54 ans,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,55 ans et plus,"Total, le sexe de l'accusé",47,169.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,55 ans et plus,Hommes,47,180.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,55 ans et plus,Femmes,47,82.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,55 ans et plus,Sexe inconnu,47,131.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Autres âges,"Total, le sexe de l'accusé",47,30.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Autres âges,Hommes,47,122.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Autres âges,Femmes,47,10.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Autres âges,Sexe inconnu,47,29.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre les biens,Âge n'ayant pas lieu de figurer,Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",47,16.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Hommes,47,16.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Femmes,47,22.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,"Total, l'âge de l'accusé",Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,18 à 24 ans,"Total, le sexe de l'accusé",47,15.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,18 à 24 ans,Hommes,47,15.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,18 à 24 ans,Femmes,47,25.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,18 à 24 ans,Sexe inconnu,47,11.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,25 à 34 ans,"Total, le sexe de l'accusé",47,21.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,25 à 34 ans,Hommes,47,22.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,25 à 34 ans,Femmes,47,23.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,25 à 34 ans,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,35 à 44 ans,"Total, le sexe de l'accusé",47,22.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,35 à 44 ans,Hommes,47,21.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,35 à 44 ans,Femmes,47,29.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,35 à 44 ans,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,45 à 54 ans,"Total, le sexe de l'accusé",47,5.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,45 à 54 ans,Hommes,47,8.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,45 à 54 ans,Femmes,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,45 à 54 ans,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,55 ans et plus,"Total, le sexe de l'accusé",47,7.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,55 ans et plus,Hommes,47,13.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,55 ans et plus,Femmes,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,55 ans et plus,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Autres âges,"Total, le sexe de l'accusé",47,40.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Autres âges,Hommes,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Autres âges,Femmes,47,96.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Autres âges,Sexe inconnu,47,43.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Infractions contre l'administration de la justice,Âge n'ayant pas lieu de figurer,Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Hommes,47,71.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Femmes,47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,47,30.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",47,57.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,18 à 24 ans,Hommes,47,57.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,18 à 24 ans,Femmes,47,61.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,18 à 24 ans,Sexe inconnu,47,50.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",47,67.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,25 à 34 ans,Hommes,47,71.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,25 à 34 ans,Femmes,47,65.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,25 à 34 ans,Sexe inconnu,47,49.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,35 à 44 ans,Hommes,47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,35 à 44 ans,Femmes,47,66.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,35 à 44 ans,Sexe inconnu,47,15.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",47,82.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,45 à 54 ans,Hommes,47,92.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,45 à 54 ans,Femmes,47,52.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,45 à 54 ans,Sexe inconnu,47,16.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",47,64.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,55 ans et plus,Hommes,47,78.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,55 ans et plus,Femmes,47,49.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,55 ans et plus,Sexe inconnu,47,1.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Autres âges,"Total, le sexe de l'accusé",47,29.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Autres âges,Hommes,47,142.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Autres âges,Femmes,47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Autres âges,Sexe inconnu,47,4.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",47,0.0
2020/2021,Tribunaux pour adultes,Saskatchewan,Délits de la route prévus au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,47,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",48,165.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,"Total, l'âge de l'accusé",Hommes,48,169.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,"Total, l'âge de l'accusé",Femmes,48,154.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,"Total, l'âge de l'accusé",Sociétés,48,106.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",48,183.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,18 à 24 ans,Hommes,48,190.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,18 à 24 ans,Femmes,48,162.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,18 à 24 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",48,169.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,25 à 34 ans,Hommes,48,172.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,25 à 34 ans,Femmes,48,157.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,25 à 34 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",48,161.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,35 à 44 ans,Hommes,48,164.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,35 à 44 ans,Femmes,48,147.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,35 à 44 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",48,157.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,45 à 54 ans,Hommes,48,161.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,45 à 54 ans,Femmes,48,147.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,45 à 54 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",48,141.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,55 ans et plus,Hommes,48,140.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,55 ans et plus,Femmes,48,149.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,55 ans et plus,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Autres âges,"Total, le sexe de l'accusé",48,97.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Autres âges,Hommes,48,104.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Autres âges,Femmes,48,29.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Autres âges,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",48,106.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions,Âge n'ayant pas lieu de figurer,Sociétés,48,106.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",48,168.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,48,170.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,48,155.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,48,218.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",48,184.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,18 à 24 ans,Hommes,48,191.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,18 à 24 ans,Femmes,48,167.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",48,170.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,25 à 34 ans,Hommes,48,173.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,25 à 34 ans,Femmes,48,159.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",48,162.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,35 à 44 ans,Hommes,48,168.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,35 à 44 ans,Femmes,48,148.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",48,161.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,45 à 54 ans,Hommes,48,164.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,45 à 54 ans,Femmes,48,144.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",48,143.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,55 ans et plus,Hommes,48,141.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,55 ans et plus,Femmes,48,154.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Autres âges,"Total, le sexe de l'accusé",48,97.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Autres âges,Hommes,48,104.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Autres âges,Femmes,48,29.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Autres âges,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",48,218.0
2020/2021,Tribunaux pour adultes,Alberta,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,48,218.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",48,202.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,48,211.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,48,162.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",48,246.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,18 à 24 ans,Hommes,48,260.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,18 à 24 ans,Femmes,48,189.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,18 à 24 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,25 à 34 ans,"Total, le sexe de l'accusé",48,210.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,25 à 34 ans,Hommes,48,220.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,25 à 34 ans,Femmes,48,167.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,25 à 34 ans,Sexe inconnu,48,0.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,35 à 44 ans,"Total, le sexe de l'accusé",48,187.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,35 à 44 ans,Hommes,48,194.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,35 à 44 ans,Femmes,48,155.0
2020/2021,Tribunaux pour adultes,Alberta,Infractions contre la personne,35 à 44 ans,Sexe inconnu,48,0.0
