Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total industriel,1545.0
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,4253.0
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2780.0
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2472.0
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2446.0
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Total transport,2379.0
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,138.0
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,192.0
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,184.0
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,146.0
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Agriculture,129.0
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,241.0
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,240.0
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,241.0
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,240.0
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Résidentiel,237.0
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,430.0
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,486.0
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,447.0
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,384.0
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Administrations publiques,359.0
2015,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,708.0
2016,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,1003.0
2017,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,958.0
2018,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,898.0
2019,Térajoules,Nunavut,Énergie primaire et secondaire totale,Commerces et autres institutions,865.0
2015,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,365.0
2016,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,626.0
2017,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,630.0
2018,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,641.0
2019,Térajoules,Nunavut,Hydroélectricité,Consommation énergétique finale,641.0
2015,Térajoules,Nunavut,Hydroélectricité,Total industriel,0.0
2016,Térajoules,Nunavut,Hydroélectricité,Total industriel,0.0
2017,Térajoules,Nunavut,Hydroélectricité,Total industriel,0.0
2018,Térajoules,Nunavut,Hydroélectricité,Total industriel,0.0
2019,Térajoules,Nunavut,Hydroélectricité,Total industriel,3.0
2015,Térajoules,Nunavut,Hydroélectricité,Résidentiel,241.0
2016,Térajoules,Nunavut,Hydroélectricité,Résidentiel,240.0
2017,Térajoules,Nunavut,Hydroélectricité,Résidentiel,241.0
2018,Térajoules,Nunavut,Hydroélectricité,Résidentiel,240.0
2019,Térajoules,Nunavut,Hydroélectricité,Résidentiel,237.0
2015,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,8.0
2016,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,8.0
2017,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,7.0
2018,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,4.0
2019,Térajoules,Nunavut,Hydroélectricité,Administrations publiques,4.0
2015,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,116.0
2016,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,378.0
2017,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,382.0
2018,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,397.0
2019,Térajoules,Nunavut,Hydroélectricité,Commerces et autres institutions,397.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,6941.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,6241.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,5728.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,5197.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Consommation énergétique finale,4875.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1536.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,2168.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,2057.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1726.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total industriel,1542.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,4253.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2780.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2472.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2446.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Total transport,2379.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,138.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,192.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,184.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,146.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Agriculture,129.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Résidentiel,0.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,422.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,478.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,440.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,380.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Administrations publiques,355.0
2015,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,592.0
2016,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,625.0
2017,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,576.0
2018,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,500.0
2019,Térajoules,Nunavut,Total des produits pétroliers raffinés,Commerces et autres institutions,469.0
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.49
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.26
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.12
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.02
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0.0
2015,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.04
2015,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0.0
2015,Par habitant,Alberta,Total charbon,Total industriel,0.0
2015,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.29
2015,Par habitant,Alberta,Gaz naturel,Total industriel,0.21
2015,Par habitant,Alberta,Gaz naturel,Total transport,0.01
2015,Par habitant,Alberta,Gaz naturel,Agriculture,0.0
2015,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2015,Par habitant,Alberta,Gaz naturel,Administrations publiques,0.0
2015,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.02
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.01
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0.0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0.0
2015,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2015,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2015,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2015,Par habitant,Alberta,Hydroélectricité,Total transport,0.0
2015,Par habitant,Alberta,Hydroélectricité,Agriculture,0.0
2015,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2015,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0.0
2015,Par habitant,Alberta,Hydroélectricité,Commerces et autres institutions,0.01
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Consommation énergétique finale,0.14
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Total industriel,0.02
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Total transport,0.1
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Agriculture,0.01
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Résidentiel,0.0
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Administrations publiques,0.0
2015,Par habitant,Alberta,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.46
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.24
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.11
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.02
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0.0
2016,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.04
2016,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0.0
2016,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.27
2016,Par habitant,Alberta,Gaz naturel,Total industriel,0.19
2016,Par habitant,Alberta,Gaz naturel,Total transport,0.02
2016,Par habitant,Alberta,Gaz naturel,Agriculture,0.0
2016,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2016,Par habitant,Alberta,Gaz naturel,Administrations publiques,0.0
2016,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.03
2016,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2016,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2016,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2016,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2016,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2016,Par habitant,Alberta,Hydroélectricité,Total transport,0.0
2016,Par habitant,Alberta,Hydroélectricité,Agriculture,0.0
2016,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2016,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0.0
2016,Par habitant,Alberta,Hydroélectricité,Commerces et autres institutions,0.01
2016,Par habitant,Alberta,Vapeur,Consommation énergétique finale,0.0
2016,Par habitant,Alberta,Vapeur,Total industriel,0.0
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Consommation énergétique finale,0.13
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Total industriel,0.01
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Total transport,0.09
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Agriculture,0.01
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Résidentiel,0.0
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Administrations publiques,0.0
2016,Par habitant,Alberta,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.5
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.26
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.12
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.02
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0.01
2017,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.05
2017,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0.0
2017,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.3
2017,Par habitant,Alberta,Gaz naturel,Total industriel,0.2
2017,Par habitant,Alberta,Gaz naturel,Total transport,0.02
2017,Par habitant,Alberta,Gaz naturel,Agriculture,0.0
2017,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2017,Par habitant,Alberta,Gaz naturel,Administrations publiques,0.0
2017,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.03
2017,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2017,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2017,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2017,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2017,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2017,Par habitant,Alberta,Hydroélectricité,Total transport,0.0
2017,Par habitant,Alberta,Hydroélectricité,Agriculture,0.0
2017,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2017,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0.0
2017,Par habitant,Alberta,Hydroélectricité,Commerces et autres institutions,0.02
2017,Par habitant,Alberta,Vapeur,Consommation énergétique finale,0.0
2017,Par habitant,Alberta,Vapeur,Total industriel,0.0
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Consommation énergétique finale,0.13
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Total industriel,0.02
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Total transport,0.1
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Agriculture,0.01
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Résidentiel,0.0
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Administrations publiques,0.0
2017,Par habitant,Alberta,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.53
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.28
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.12
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.02
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0.01
2018,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.05
2018,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0.0
2018,Par habitant,Alberta,Total charbon,Total industriel,0.0
2018,Par habitant,Alberta,Total charbon,Agriculture,0.0
2018,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.33
2018,Par habitant,Alberta,Gaz naturel,Total industriel,0.23
2018,Par habitant,Alberta,Gaz naturel,Total transport,0.02
2018,Par habitant,Alberta,Gaz naturel,Agriculture,0.0
2018,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2018,Par habitant,Alberta,Gaz naturel,Administrations publiques,0.0
2018,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.03
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.01
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0.0
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0.0
2018,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2018,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2018,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2018,Par habitant,Alberta,Hydroélectricité,Total transport,0.0
2018,Par habitant,Alberta,Hydroélectricité,Agriculture,0.0
2018,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2018,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0.0
2018,Par habitant,Alberta,Hydroélectricité,Commerces et autres institutions,0.01
2018,Par habitant,Alberta,Vapeur,Consommation énergétique finale,0.0
2018,Par habitant,Alberta,Vapeur,Total industriel,0.0
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Consommation énergétique finale,0.13
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Total industriel,0.02
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Total transport,0.1
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Agriculture,0.01
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Résidentiel,0.0
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Administrations publiques,0.0
2018,Par habitant,Alberta,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Consommation énergétique finale,0.52
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Total industriel,0.28
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Total transport,0.12
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Agriculture,0.01
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Résidentiel,0.05
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Administrations publiques,0.0
2019,Par habitant,Alberta,Énergie primaire et secondaire totale,Commerces et autres institutions,0.05
2019,Par habitant,Alberta,Total charbon,Consommation énergétique finale,0.0
2019,Par habitant,Alberta,Total charbon,Total industriel,0.0
2019,Par habitant,Alberta,Gaz naturel,Consommation énergétique finale,0.32
2019,Par habitant,Alberta,Gaz naturel,Total industriel,0.23
2019,Par habitant,Alberta,Gaz naturel,Total transport,0.02
2019,Par habitant,Alberta,Gaz naturel,Agriculture,0.0
2019,Par habitant,Alberta,Gaz naturel,Résidentiel,0.04
2019,Par habitant,Alberta,Gaz naturel,Administrations publiques,0.0
2019,Par habitant,Alberta,Gaz naturel,Commerces et autres institutions,0.03
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.01
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0.0
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0.0
2019,Par habitant,Alberta,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2019,Par habitant,Alberta,Hydroélectricité,Consommation énergétique finale,0.05
2019,Par habitant,Alberta,Hydroélectricité,Total industriel,0.02
2019,Par habitant,Alberta,Hydroélectricité,Total transport,0.0
2019,Par habitant,Alberta,Hydroélectricité,Agriculture,0.0
2019,Par habitant,Alberta,Hydroélectricité,Résidentiel,0.01
2019,Par habitant,Alberta,Hydroélectricité,Administrations publiques,0.0
2019,Par habitant,Alberta,Hydroélectricité,Commerces et autres institutions,0.01
2019,Par habitant,Alberta,Vapeur,Consommation énergétique finale,0.0
2019,Par habitant,Alberta,Vapeur,Total industriel,0.0
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Consommation énergétique finale,0.14
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Total industriel,0.02
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Total transport,0.1
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Agriculture,0.01
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Résidentiel,0.0
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Administrations publiques,0.0
2019,Par habitant,Alberta,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Consommation énergétique finale,0.18
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total industriel,0.05
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total transport,0.07
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Agriculture,0.01
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Résidentiel,0.03
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Administrations publiques,0.0
2015,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2015,Par habitant,Colombie-Britannique,Total charbon,Consommation énergétique finale,0.0
2015,Par habitant,Colombie-Britannique,Total charbon,Total industriel,0.0
2015,Par habitant,Colombie-Britannique,Gaz naturel,Consommation énergétique finale,0.05
2015,Par habitant,Colombie-Britannique,Gaz naturel,Total industriel,0.02
2015,Par habitant,Colombie-Britannique,Gaz naturel,Total transport,0.01
2015,Par habitant,Colombie-Britannique,Gaz naturel,Agriculture,0.0
2015,Par habitant,Colombie-Britannique,Gaz naturel,Résidentiel,0.02
2015,Par habitant,Colombie-Britannique,Gaz naturel,Administrations publiques,0.0
2015,Par habitant,Colombie-Britannique,Gaz naturel,Commerces et autres institutions,0.01
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.0
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.0
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0.0
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0.0
2015,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Consommation énergétique finale,0.04
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Total industriel,0.02
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Total transport,0.0
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Agriculture,0.0
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Résidentiel,0.01
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Administrations publiques,0.0
2015,Par habitant,Colombie-Britannique,Hydroélectricité,Commerces et autres institutions,0.01
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Total industriel,0.01
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Total transport,0.07
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Agriculture,0.0
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Résidentiel,0.0
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Administrations publiques,0.0
2015,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Consommation énergétique finale,0.18
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total industriel,0.05
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total transport,0.07
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Agriculture,0.01
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Résidentiel,0.03
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Administrations publiques,0.0
2016,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2016,Par habitant,Colombie-Britannique,Gaz naturel,Consommation énergétique finale,0.05
2016,Par habitant,Colombie-Britannique,Gaz naturel,Total industriel,0.02
2016,Par habitant,Colombie-Britannique,Gaz naturel,Total transport,0.01
2016,Par habitant,Colombie-Britannique,Gaz naturel,Agriculture,0.0
2016,Par habitant,Colombie-Britannique,Gaz naturel,Résidentiel,0.02
2016,Par habitant,Colombie-Britannique,Gaz naturel,Administrations publiques,0.0
2016,Par habitant,Colombie-Britannique,Gaz naturel,Commerces et autres institutions,0.01
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.0
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.0
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0.0
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0.0
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0.0
2016,Par habitant,Colombie-Britannique,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0.0
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Consommation énergétique finale,0.05
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Total industriel,0.02
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Total transport,0.0
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Agriculture,0.0
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Résidentiel,0.01
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Administrations publiques,0.0
2016,Par habitant,Colombie-Britannique,Hydroélectricité,Commerces et autres institutions,0.01
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Total industriel,0.01
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Total transport,0.07
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Agriculture,0.0
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Résidentiel,0.0
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Administrations publiques,0.0
2016,Par habitant,Colombie-Britannique,Total des produits pétroliers raffinés,Commerces et autres institutions,0.0
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total industriel,0.05
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Total transport,0.07
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Agriculture,0.01
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Résidentiel,0.03
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Administrations publiques,0.0
2017,Par habitant,Colombie-Britannique,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2017,Par habitant,Colombie-Britannique,Gaz naturel,Consommation énergétique finale,0.05
2017,Par habitant,Colombie-Britannique,Gaz naturel,Total industriel,0.02
2017,Par habitant,Colombie-Britannique,Gaz naturel,Total transport,0.01
