Year,Géographie,Sexe,Groupe d'âge,Value
2015,Québec,Les deux sexes,15 à 19 ans,18.0
2016,Québec,Les deux sexes,15 à 19 ans,17.4
2017,Québec,Les deux sexes,15 à 19 ans,14.3
2018,Québec,Les deux sexes,15 à 19 ans,13.3
2019,Québec,Les deux sexes,15 à 19 ans,11.0
2020,Québec,Les deux sexes,15 à 19 ans,20.2
2015,Québec,Les deux sexes,20 à 24 ans,9.5
2016,Québec,Les deux sexes,20 à 24 ans,9.6
2017,Québec,Les deux sexes,20 à 24 ans,7.5
2018,Québec,Les deux sexes,20 à 24 ans,7.0
2019,Québec,Les deux sexes,20 à 24 ans,6.9
2020,Québec,Les deux sexes,20 à 24 ans,15.3
2015,Québec,Les deux sexes,25 à 29 ans,8.3
2016,Québec,Les deux sexes,25 à 29 ans,7.6
2017,Québec,Les deux sexes,25 à 29 ans,6.6
2018,Québec,Les deux sexes,25 à 29 ans,4.8
2019,Québec,Les deux sexes,25 à 29 ans,5.8
2020,Québec,Les deux sexes,25 à 29 ans,9.1
2015,Québec,Les deux sexes,30 à 34 ans,6.9
2016,Québec,Les deux sexes,30 à 34 ans,6.7
2017,Québec,Les deux sexes,30 à 34 ans,5.8
2018,Québec,Les deux sexes,30 à 34 ans,4.8
2019,Québec,Les deux sexes,30 à 34 ans,4.9
2020,Québec,Les deux sexes,30 à 34 ans,7.9
2015,Québec,Les deux sexes,35 à 39 ans,6.4
2016,Québec,Les deux sexes,35 à 39 ans,5.8
2017,Québec,Les deux sexes,35 à 39 ans,4.9
2018,Québec,Les deux sexes,35 à 39 ans,5.0
2019,Québec,Les deux sexes,35 à 39 ans,4.1
2020,Québec,Les deux sexes,35 à 39 ans,7.5
2015,Québec,Les deux sexes,40 à 44 ans,6.9
2016,Québec,Les deux sexes,40 à 44 ans,6.1
2017,Québec,Les deux sexes,40 à 44 ans,5.5
2018,Québec,Les deux sexes,40 à 44 ans,3.9
2019,Québec,Les deux sexes,40 à 44 ans,3.9
2020,Québec,Les deux sexes,40 à 44 ans,6.8
2015,Québec,Les deux sexes,45 à 49 ans,5.5
2016,Québec,Les deux sexes,45 à 49 ans,5.1
2017,Québec,Les deux sexes,45 à 49 ans,5.3
2018,Québec,Les deux sexes,45 à 49 ans,5.5
2019,Québec,Les deux sexes,45 à 49 ans,3.4
2020,Québec,Les deux sexes,45 à 49 ans,5.9
2015,Québec,Les deux sexes,50 à 54 ans,5.9
2016,Québec,Les deux sexes,50 à 54 ans,5.8
2017,Québec,Les deux sexes,50 à 54 ans,4.4
2018,Québec,Les deux sexes,50 à 54 ans,4.3
2019,Québec,Les deux sexes,50 à 54 ans,4.1
2020,Québec,Les deux sexes,50 à 54 ans,6.4
2015,Québec,Les deux sexes,55 à 59 ans,7.2
2016,Québec,Les deux sexes,55 à 59 ans,6.6
2017,Québec,Les deux sexes,55 à 59 ans,4.9
2018,Québec,Les deux sexes,55 à 59 ans,5.2
2019,Québec,Les deux sexes,55 à 59 ans,4.2
2020,Québec,Les deux sexes,55 à 59 ans,7.1
2015,Québec,Les deux sexes,60 à 64 ans,7.9
2016,Québec,Les deux sexes,60 à 64 ans,7.5
2017,Québec,Les deux sexes,60 à 64 ans,7.0
2018,Québec,Les deux sexes,60 à 64 ans,6.2
2019,Québec,Les deux sexes,60 à 64 ans,6.5
2020,Québec,Les deux sexes,60 à 64 ans,8.9
2015,Québec,Les deux sexes,65 ans et plus,6.8
2016,Québec,Les deux sexes,65 ans et plus,5.5
2017,Québec,Les deux sexes,65 ans et plus,6.1
2018,Québec,Les deux sexes,65 ans et plus,4.8
2019,Québec,Les deux sexes,65 ans et plus,5.7
2020,Québec,Les deux sexes,65 ans et plus,10.2
2015,Québec,Les deux sexes,65 à 69 ans,7.6
2016,Québec,Les deux sexes,65 à 69 ans,6.5
2017,Québec,Les deux sexes,65 à 69 ans,5.7
2018,Québec,Les deux sexes,65 à 69 ans,5.6
2019,Québec,Les deux sexes,65 à 69 ans,5.9
2020,Québec,Les deux sexes,65 à 69 ans,12.0
2015,Québec,Les deux sexes,70 ans et plus,5.6
2016,Québec,Les deux sexes,70 ans et plus,3.3
2017,Québec,Les deux sexes,70 ans et plus,6.7
2018,Québec,Les deux sexes,70 ans et plus,3.6
2019,Québec,Les deux sexes,70 ans et plus,5.4
2020,Québec,Les deux sexes,70 ans et plus,6.7
2015,Québec,Hommes,15 ans et plus,8.5
2016,Québec,Hommes,15 ans et plus,8.2
2017,Québec,Hommes,15 ans et plus,6.4
2018,Québec,Hommes,15 ans et plus,5.9
2019,Québec,Hommes,15 ans et plus,5.7
2020,Québec,Hommes,15 ans et plus,9.1
2015,Québec,Hommes,15 à 24 ans,15.1
2016,Québec,Hommes,15 à 24 ans,14.8
2017,Québec,Hommes,15 à 24 ans,10.8
2018,Québec,Hommes,15 à 24 ans,11.1
2019,Québec,Hommes,15 à 24 ans,9.9
2020,Québec,Hommes,15 à 24 ans,18.9
2015,Québec,Hommes,25 ans et plus,7.4
2016,Québec,Hommes,25 ans et plus,7.1
2017,Québec,Hommes,25 ans et plus,5.7
2018,Québec,Hommes,25 ans et plus,5.1
2019,Québec,Hommes,25 ans et plus,5.1
2020,Québec,Hommes,25 ans et plus,7.5
2015,Québec,Hommes,25 à 44 ans,7.6
2016,Québec,Hommes,25 à 44 ans,7.4
2017,Québec,Hommes,25 à 44 ans,6.2
2018,Québec,Hommes,25 à 44 ans,4.8
2019,Québec,Hommes,25 à 44 ans,5.4
2020,Québec,Hommes,25 à 44 ans,8.0
2015,Québec,Hommes,45 à 64 ans,7.3
2016,Québec,Hommes,45 à 64 ans,6.9
2017,Québec,Hommes,45 à 64 ans,5.3
2018,Québec,Hommes,45 à 64 ans,5.5
2019,Québec,Hommes,45 à 64 ans,4.7
2020,Québec,Hommes,45 à 64 ans,6.8
2015,Québec,Hommes,45 ans et plus,7.3
2016,Québec,Hommes,45 ans et plus,6.8
2017,Québec,Hommes,45 ans et plus,5.3
2018,Québec,Hommes,45 ans et plus,5.4
2019,Québec,Hommes,45 ans et plus,4.8
2020,Québec,Hommes,45 ans et plus,7.1
2015,Québec,Hommes,25 à 54 ans,7.3
2016,Québec,Hommes,25 à 54 ans,7.0
2017,Québec,Hommes,25 à 54 ans,5.6
2018,Québec,Hommes,25 à 54 ans,4.8
2019,Québec,Hommes,25 à 54 ans,4.9
2020,Québec,Hommes,25 à 54 ans,7.3
2015,Québec,Hommes,55 ans et plus,7.9
2016,Québec,Hommes,55 ans et plus,7.5
2017,Québec,Hommes,55 ans et plus,6.0
2018,Québec,Hommes,55 ans et plus,5.9
2019,Québec,Hommes,55 ans et plus,5.6
2020,Québec,Hommes,55 ans et plus,8.3
2015,Québec,Hommes,15 à 64 ans,8.6
2016,Québec,Hommes,15 à 64 ans,8.3
2017,Québec,Hommes,15 à 64 ans,6.5
2018,Québec,Hommes,15 à 64 ans,5.9
2019,Québec,Hommes,15 à 64 ans,5.8
2020,Québec,Hommes,15 à 64 ans,9.1
2015,Québec,Hommes,15 à 19 ans,20.4
2016,Québec,Hommes,15 à 19 ans,21.1
2017,Québec,Hommes,15 à 19 ans,15.4
2018,Québec,Hommes,15 à 19 ans,15.1
2019,Québec,Hommes,15 à 19 ans,11.3
2020,Québec,Hommes,15 à 19 ans,20.7
2015,Québec,Hommes,20 à 24 ans,12.1
2016,Québec,Hommes,20 à 24 ans,11.6
2017,Québec,Hommes,20 à 24 ans,8.3
2018,Québec,Hommes,20 à 24 ans,8.9
2019,Québec,Hommes,20 à 24 ans,9.0
2020,Québec,Hommes,20 à 24 ans,18.0
2015,Québec,Hommes,25 à 29 ans,8.5
2016,Québec,Hommes,25 à 29 ans,8.8
2017,Québec,Hommes,25 à 29 ans,7.9
2018,Québec,Hommes,25 à 29 ans,5.1
2019,Québec,Hommes,25 à 29 ans,7.1
2020,Québec,Hommes,25 à 29 ans,9.8
2015,Québec,Hommes,30 à 34 ans,7.6
2016,Québec,Hommes,30 à 34 ans,7.6
2017,Québec,Hommes,30 à 34 ans,6.1
2018,Québec,Hommes,30 à 34 ans,5.4
2019,Québec,Hommes,30 à 34 ans,5.7
2020,Québec,Hommes,30 à 34 ans,7.6
2015,Québec,Hommes,35 à 39 ans,6.8
2016,Québec,Hommes,35 à 39 ans,6.5
2017,Québec,Hommes,35 à 39 ans,5.5
2018,Québec,Hommes,35 à 39 ans,4.8
2019,Québec,Hommes,35 à 39 ans,4.2
2020,Québec,Hommes,35 à 39 ans,7.5
2015,Québec,Hommes,40 à 44 ans,7.5
2016,Québec,Hommes,40 à 44 ans,6.9
2017,Québec,Hommes,40 à 44 ans,5.4
2018,Québec,Hommes,40 à 44 ans,3.7
2019,Québec,Hommes,40 à 44 ans,4.5
2020,Québec,Hommes,40 à 44 ans,7.2
2015,Québec,Hommes,45 à 49 ans,6.3
2016,Québec,Hommes,45 à 49 ans,5.4
2017,Québec,Hommes,45 à 49 ans,5.0
2018,Québec,Hommes,45 à 49 ans,5.7
2019,Québec,Hommes,45 à 49 ans,3.6
2020,Québec,Hommes,45 à 49 ans,5.5
2015,Québec,Hommes,50 à 54 ans,7.1
2016,Québec,Hommes,50 à 54 ans,6.9
2017,Québec,Hommes,50 à 54 ans,4.2
2018,Québec,Hommes,50 à 54 ans,4.3
2019,Québec,Hommes,50 à 54 ans,4.0
2020,Québec,Hommes,50 à 54 ans,5.7
2015,Québec,Hommes,55 à 59 ans,7.5
2016,Québec,Hommes,55 à 59 ans,7.5
2017,Québec,Hommes,55 à 59 ans,5.6
2018,Québec,Hommes,55 à 59 ans,5.2
2019,Québec,Hommes,55 à 59 ans,4.9
2020,Québec,Hommes,55 à 59 ans,7.4
2015,Québec,Hommes,60 à 64 ans,9.2
2016,Québec,Hommes,60 à 64 ans,8.0
2017,Québec,Hommes,60 à 64 ans,6.9
2018,Québec,Hommes,60 à 64 ans,7.4
2019,Québec,Hommes,60 à 64 ans,7.1
2020,Québec,Hommes,60 à 64 ans,9.2
2015,Québec,Hommes,65 ans et plus,7.3
2016,Québec,Hommes,65 ans et plus,6.6
2017,Québec,Hommes,65 ans et plus,5.4
2018,Québec,Hommes,65 ans et plus,5.0
2019,Québec,Hommes,65 ans et plus,4.9
2020,Québec,Hommes,65 ans et plus,9.2
2015,Québec,Hommes,65 à 69 ans,8.3
2016,Québec,Hommes,65 à 69 ans,
2017,Québec,Hommes,65 à 69 ans,5.6
2018,Québec,Hommes,65 à 69 ans,5.8
2019,Québec,Hommes,65 à 69 ans,5.8
2020,Québec,Hommes,65 à 69 ans,12.0
2015,Québec,Hommes,70 ans et plus,
2016,Québec,Hommes,70 ans et plus,
2017,Québec,Hommes,70 ans et plus,5.0
2018,Québec,Hommes,70 ans et plus,
2019,Québec,Hommes,70 ans et plus,
2020,Québec,Hommes,70 ans et plus,4.7
2015,Québec,Femmes,15 ans et plus,6.7
2016,Québec,Femmes,15 ans et plus,6.0
2017,Québec,Femmes,15 ans et plus,5.7
2018,Québec,Femmes,15 ans et plus,5.0
2019,Québec,Femmes,15 ans et plus,4.5
2020,Québec,Femmes,15 ans et plus,8.6
2015,Québec,Femmes,15 à 24 ans,10.1
2016,Québec,Femmes,15 à 24 ans,9.8
2017,Québec,Femmes,15 à 24 ans,9.1
2018,Québec,Femmes,15 à 24 ans,7.6
2019,Québec,Femmes,15 à 24 ans,7.2
2020,Québec,Femmes,15 à 24 ans,15.3
2015,Québec,Femmes,25 ans et plus,6.0
2016,Québec,Femmes,25 ans et plus,5.4
2017,Québec,Femmes,25 ans et plus,5.2
2018,Québec,Femmes,25 ans et plus,4.6
2019,Québec,Femmes,25 ans et plus,4.0
2020,Québec,Femmes,25 ans et plus,7.5
2015,Québec,Femmes,25 à 44 ans,6.5
2016,Québec,Femmes,25 à 44 ans,5.6
2017,Québec,Femmes,25 à 44 ans,5.1
2018,Québec,Femmes,25 à 44 ans,4.4
2019,Québec,Femmes,25 à 44 ans,3.9
2020,Québec,Femmes,25 à 44 ans,7.5
2015,Québec,Femmes,45 à 64 ans,5.5
2016,Québec,Femmes,45 à 64 ans,5.2
2017,Québec,Femmes,45 à 64 ans,5.1
2018,Québec,Femmes,45 à 64 ans,4.8
2019,Québec,Femmes,45 à 64 ans,3.9
2020,Québec,Femmes,45 à 64 ans,7.1
2015,Québec,Femmes,45 ans et plus,5.5
2016,Québec,Femmes,45 ans et plus,5.1
2017,Québec,Femmes,45 ans et plus,5.2
2018,Québec,Femmes,45 ans et plus,4.8
2019,Québec,Femmes,45 ans et plus,4.2
2020,Québec,Femmes,45 ans et plus,7.4
2015,Québec,Femmes,25 à 54 ans,5.9
2016,Québec,Femmes,25 à 54 ans,5.3
2017,Québec,Femmes,25 à 54 ans,5.1
2018,Québec,Femmes,25 à 54 ans,4.5
2019,Québec,Femmes,25 à 54 ans,3.8
2020,Québec,Femmes,25 à 54 ans,7.3
2015,Québec,Femmes,55 ans et plus,6.7
2016,Québec,Femmes,55 ans et plus,5.6
2017,Québec,Femmes,55 ans et plus,5.5
2018,Québec,Femmes,55 ans et plus,4.9
2019,Québec,Femmes,55 ans et plus,4.7
2020,Québec,Femmes,55 ans et plus,8.1
2015,Québec,Femmes,15 à 64 ans,6.7
2016,Québec,Femmes,15 à 64 ans,6.1
2017,Québec,Femmes,15 à 64 ans,5.7
2018,Québec,Femmes,15 à 64 ans,5.1
2019,Québec,Femmes,15 à 64 ans,4.4
2020,Québec,Femmes,15 à 64 ans,8.5
2015,Québec,Femmes,15 à 19 ans,15.8
2016,Québec,Femmes,15 à 19 ans,13.9
2017,Québec,Femmes,15 à 19 ans,13.2
2018,Québec,Femmes,15 à 19 ans,11.6
2019,Québec,Femmes,15 à 19 ans,10.8
2020,Québec,Femmes,15 à 19 ans,19.7
2015,Québec,Femmes,20 à 24 ans,6.8
2016,Québec,Femmes,20 à 24 ans,7.6
2017,Québec,Femmes,20 à 24 ans,6.6
2018,Québec,Femmes,20 à 24 ans,5.1
2019,Québec,Femmes,20 à 24 ans,4.9
2020,Québec,Femmes,20 à 24 ans,12.5
2015,Québec,Femmes,25 à 29 ans,8.1
2016,Québec,Femmes,25 à 29 ans,6.4
2017,Québec,Femmes,25 à 29 ans,5.2
2018,Québec,Femmes,25 à 29 ans,4.4
2019,Québec,Femmes,25 à 29 ans,4.3
2020,Québec,Femmes,25 à 29 ans,8.3
2015,Québec,Femmes,30 à 34 ans,6.0
2016,Québec,Femmes,30 à 34 ans,5.6
2017,Québec,Femmes,30 à 34 ans,5.5
2018,Québec,Femmes,30 à 34 ans,4.2
2019,Québec,Femmes,30 à 34 ans,3.9
2020,Québec,Femmes,30 à 34 ans,8.1
2015,Québec,Femmes,35 à 39 ans,5.9
2016,Québec,Femmes,35 à 39 ans,5.1
2017,Québec,Femmes,35 à 39 ans,4.2
2018,Québec,Femmes,35 à 39 ans,5.1
2019,Québec,Femmes,35 à 39 ans,4.0
2020,Québec,Femmes,35 à 39 ans,7.4
2015,Québec,Femmes,40 à 44 ans,6.3
2016,Québec,Femmes,40 à 44 ans,5.3
2017,Québec,Femmes,40 à 44 ans,5.6
2018,Québec,Femmes,40 à 44 ans,4.1
2019,Québec,Femmes,40 à 44 ans,3.2
2020,Québec,Femmes,40 à 44 ans,6.2
2015,Québec,Femmes,45 à 49 ans,4.7
2016,Québec,Femmes,45 à 49 ans,4.8
2017,Québec,Femmes,45 à 49 ans,5.6
2018,Québec,Femmes,45 à 49 ans,5.3
2019,Québec,Femmes,45 à 49 ans,3.2
2020,Québec,Femmes,45 à 49 ans,6.4
2015,Québec,Femmes,50 à 54 ans,4.6
2016,Québec,Femmes,50 à 54 ans,4.7
2017,Québec,Femmes,50 à 54 ans,4.6
2018,Québec,Femmes,50 à 54 ans,4.2
2019,Québec,Femmes,50 à 54 ans,4.2
2020,Québec,Femmes,50 à 54 ans,7.1
2015,Québec,Femmes,55 à 59 ans,6.9
2016,Québec,Femmes,55 à 59 ans,5.5
2017,Québec,Femmes,55 à 59 ans,4.1
2018,Québec,Femmes,55 à 59 ans,5.1
2019,Québec,Femmes,55 à 59 ans,3.3
2020,Québec,Femmes,55 à 59 ans,6.8
2015,Québec,Femmes,60 à 64 ans,6.3
2016,Québec,Femmes,60 à 64 ans,6.8
2017,Québec,Femmes,60 à 64 ans,7.1
2018,Québec,Femmes,60 à 64 ans,4.6
2019,Québec,Femmes,60 à 64 ans,5.7
2020,Québec,Femmes,60 à 64 ans,8.5
2015,Québec,Femmes,65 ans et plus,6.3
2016,Québec,Femmes,65 ans et plus,3.3
2017,Québec,Femmes,65 ans et plus,7.4
2018,Québec,Femmes,65 ans et plus,4.6
2019,Québec,Femmes,65 ans et plus,7.1
2020,Québec,Femmes,65 ans et plus,11.9
2015,Québec,Femmes,65 à 69 ans,6.1
2016,Québec,Femmes,65 à 69 ans,
2017,Québec,Femmes,65 à 69 ans,5.9
2018,Québec,Femmes,65 à 69 ans,5.1
2019,Québec,Femmes,65 à 69 ans,6.0
2020,Québec,Femmes,65 à 69 ans,12.0
2015,Québec,Femmes,70 ans et plus,
2016,Québec,Femmes,70 ans et plus,
2017,Québec,Femmes,70 ans et plus,10.6
2018,Québec,Femmes,70 ans et plus,
2019,Québec,Femmes,70 ans et plus,
2020,Québec,Femmes,70 ans et plus,11.8
2015,Ontario,Les deux sexes,15 ans et plus,6.8
2016,Ontario,Les deux sexes,15 ans et plus,6.6
2017,Ontario,Les deux sexes,15 ans et plus,6.0
2018,Ontario,Les deux sexes,15 ans et plus,5.7
2019,Ontario,Les deux sexes,15 ans et plus,5.6
2020,Ontario,Les deux sexes,15 ans et plus,9.6
2015,Ontario,Les deux sexes,15 à 24 ans,14.3
2016,Ontario,Les deux sexes,15 à 24 ans,13.7
2017,Ontario,Les deux sexes,15 à 24 ans,12.2
2018,Ontario,Les deux sexes,15 à 24 ans,11.8
2019,Ontario,Les deux sexes,15 à 24 ans,12.0
2020,Ontario,Les deux sexes,15 à 24 ans,22.0
2015,Ontario,Les deux sexes,25 ans et plus,5.5
2016,Ontario,Les deux sexes,25 ans et plus,5.4
2017,Ontario,Les deux sexes,25 ans et plus,5.0
2018,Ontario,Les deux sexes,25 ans et plus,4.7
2019,Ontario,Les deux sexes,25 ans et plus,4.5
2020,Ontario,Les deux sexes,25 ans et plus,7.5
2015,Ontario,Les deux sexes,25 à 44 ans,6.0
2016,Ontario,Les deux sexes,25 à 44 ans,5.8
2017,Ontario,Les deux sexes,25 à 44 ans,5.4
2018,Ontario,Les deux sexes,25 à 44 ans,5.2
2019,Ontario,Les deux sexes,25 à 44 ans,5.2
2020,Ontario,Les deux sexes,25 à 44 ans,8.4
2015,Ontario,Les deux sexes,45 à 64 ans,5.0
2016,Ontario,Les deux sexes,45 à 64 ans,5.1
2017,Ontario,Les deux sexes,45 à 64 ans,4.6
2018,Ontario,Les deux sexes,45 à 64 ans,4.2
2019,Ontario,Les deux sexes,45 à 64 ans,4.0
2020,Ontario,Les deux sexes,45 à 64 ans,6.7
2015,Ontario,Les deux sexes,45 ans et plus,4.9
2016,Ontario,Les deux sexes,45 ans et plus,5.0
2017,Ontario,Les deux sexes,45 ans et plus,4.6
2018,Ontario,Les deux sexes,45 ans et plus,4.2
2019,Ontario,Les deux sexes,45 ans et plus,3.9
2020,Ontario,Les deux sexes,45 ans et plus,6.6
2015,Ontario,Les deux sexes,25 à 54 ans,5.6
2016,Ontario,Les deux sexes,25 à 54 ans,5.5
2017,Ontario,Les deux sexes,25 à 54 ans,5.1
2018,Ontario,Les deux sexes,25 à 54 ans,4.8
2019,Ontario,Les deux sexes,25 à 54 ans,4.6
2020,Ontario,Les deux sexes,25 à 54 ans,7.7
2015,Ontario,Les deux sexes,55 ans et plus,5.0
2016,Ontario,Les deux sexes,55 ans et plus,5.0
2017,Ontario,Les deux sexes,55 ans et plus,4.6
2018,Ontario,Les deux sexes,55 ans et plus,4.3
2019,Ontario,Les deux sexes,55 ans et plus,4.2
2020,Ontario,Les deux sexes,55 ans et plus,7.0
2015,Ontario,Les deux sexes,15 à 64 ans,6.9
2016,Ontario,Les deux sexes,15 à 64 ans,6.7
2017,Ontario,Les deux sexes,15 à 64 ans,6.1
2018,Ontario,Les deux sexes,15 à 64 ans,5.8
2019,Ontario,Les deux sexes,15 à 64 ans,5.7
2020,Ontario,Les deux sexes,15 à 64 ans,9.7
2015,Ontario,Les deux sexes,15 à 19 ans,19.8
2016,Ontario,Les deux sexes,15 à 19 ans,18.2
2017,Ontario,Les deux sexes,15 à 19 ans,16.0
2018,Ontario,Les deux sexes,15 à 19 ans,15.8
2019,Ontario,Les deux sexes,15 à 19 ans,15.5
2020,Ontario,Les deux sexes,15 à 19 ans,25.8
2015,Ontario,Les deux sexes,20 à 24 ans,11.2
2016,Ontario,Les deux sexes,20 à 24 ans,11.3
2017,Ontario,Les deux sexes,20 à 24 ans,10.0
2018,Ontario,Les deux sexes,20 à 24 ans,9.5
2019,Ontario,Les deux sexes,20 à 24 ans,10.1
2020,Ontario,Les deux sexes,20 à 24 ans,20.1
2015,Ontario,Les deux sexes,25 à 29 ans,7.7
2016,Ontario,Les deux sexes,25 à 29 ans,7.3
2017,Ontario,Les deux sexes,25 à 29 ans,7.7
2018,Ontario,Les deux sexes,25 à 29 ans,6.6
2019,Ontario,Les deux sexes,25 à 29 ans,6.3
2020,Ontario,Les deux sexes,25 à 29 ans,11.3
2015,Ontario,Les deux sexes,30 à 34 ans,5.8
2016,Ontario,Les deux sexes,30 à 34 ans,6.0
2017,Ontario,Les deux sexes,30 à 34 ans,5.0
2018,Ontario,Les deux sexes,30 à 34 ans,5.4
2019,Ontario,Les deux sexes,30 à 34 ans,5.3
2020,Ontario,Les deux sexes,30 à 34 ans,8.5
2015,Ontario,Les deux sexes,35 à 39 ans,5.6
2016,Ontario,Les deux sexes,35 à 39 ans,4.8
2017,Ontario,Les deux sexes,35 à 39 ans,4.6
2018,Ontario,Les deux sexes,35 à 39 ans,4.1
2019,Ontario,Les deux sexes,35 à 39 ans,4.8
2020,Ontario,Les deux sexes,35 à 39 ans,7.5
2015,Ontario,Les deux sexes,40 à 44 ans,4.9
2016,Ontario,Les deux sexes,40 à 44 ans,4.9
2017,Ontario,Les deux sexes,40 à 44 ans,4.4
2018,Ontario,Les deux sexes,40 à 44 ans,4.6
2019,Ontario,Les deux sexes,40 à 44 ans,4.2
2020,Ontario,Les deux sexes,40 à 44 ans,6.2
2015,Ontario,Les deux sexes,45 à 49 ans,4.6
2016,Ontario,Les deux sexes,45 à 49 ans,4.8
2017,Ontario,Les deux sexes,45 à 49 ans,4.8
2018,Ontario,Les deux sexes,45 à 49 ans,4.5
2019,Ontario,Les deux sexes,45 à 49 ans,3.5
2020,Ontario,Les deux sexes,45 à 49 ans,6.2
2015,Ontario,Les deux sexes,50 à 54 ans,5.2
2016,Ontario,Les deux sexes,50 à 54 ans,5.1
2017,Ontario,Les deux sexes,50 à 54 ans,4.3
2018,Ontario,Les deux sexes,50 à 54 ans,3.6
2019,Ontario,Les deux sexes,50 à 54 ans,3.6
2020,Ontario,Les deux sexes,50 à 54 ans,6.2
2015,Ontario,Les deux sexes,55 à 59 ans,5.2
2016,Ontario,Les deux sexes,55 à 59 ans,5.3
2017,Ontario,Les deux sexes,55 à 59 ans,4.4
2018,Ontario,Les deux sexes,55 à 59 ans,3.9
2019,Ontario,Les deux sexes,55 à 59 ans,4.6
2020,Ontario,Les deux sexes,55 à 59 ans,7.1
2015,Ontario,Les deux sexes,60 à 64 ans,5.4
2016,Ontario,Les deux sexes,60 à 64 ans,5.5
2017,Ontario,Les deux sexes,60 à 64 ans,5.1
2018,Ontario,Les deux sexes,60 à 64 ans,5.3
2019,Ontario,Les deux sexes,60 à 64 ans,4.4
2020,Ontario,Les deux sexes,60 à 64 ans,7.4
2015,Ontario,Les deux sexes,65 ans et plus,3.9
2016,Ontario,Les deux sexes,65 ans et plus,3.4
2017,Ontario,Les deux sexes,65 ans et plus,4.1
2018,Ontario,Les deux sexes,65 ans et plus,3.7
2019,Ontario,Les deux sexes,65 ans et plus,3.1
2020,Ontario,Les deux sexes,65 ans et plus,6.2
2015,Ontario,Les deux sexes,65 à 69 ans,4.6
2016,Ontario,Les deux sexes,65 à 69 ans,3.5
2017,Ontario,Les deux sexes,65 à 69 ans,4.5
2018,Ontario,Les deux sexes,65 à 69 ans,3.6
2019,Ontario,Les deux sexes,65 à 69 ans,3.3
2020,Ontario,Les deux sexes,65 à 69 ans,7.5
2015,Ontario,Les deux sexes,70 ans et plus,2.7
2016,Ontario,Les deux sexes,70 ans et plus,3.1
2017,Ontario,Les deux sexes,70 ans et plus,3.4
2018,Ontario,Les deux sexes,70 ans et plus,3.8
2019,Ontario,Les deux sexes,70 ans et plus,2.5
2020,Ontario,Les deux sexes,70 ans et plus,4.1
2015,Ontario,Hommes,15 ans et plus,7.0
2016,Ontario,Hommes,15 ans et plus,6.8
2017,Ontario,Hommes,15 ans et plus,6.3
2018,Ontario,Hommes,15 ans et plus,5.7
2019,Ontario,Hommes,15 ans et plus,5.8
2020,Ontario,Hommes,15 ans et plus,9.2
2015,Ontario,Hommes,15 à 24 ans,15.9
2016,Ontario,Hommes,15 à 24 ans,15.2
2017,Ontario,Hommes,15 à 24 ans,13.6
2018,Ontario,Hommes,15 à 24 ans,12.6
2019,Ontario,Hommes,15 à 24 ans,12.9
2020,Ontario,Hommes,15 à 24 ans,21.8
2015,Ontario,Hommes,25 ans et plus,5.5
2016,Ontario,Hommes,25 ans et plus,5.4
2017,Ontario,Hommes,25 ans et plus,5.0
2018,Ontario,Hommes,25 ans et plus,4.5
2019,Ontario,Hommes,25 ans et plus,4.5
2020,Ontario,Hommes,25 ans et plus,7.2
2015,Ontario,Hommes,25 à 44 ans,6.2
2016,Ontario,Hommes,25 à 44 ans,5.7
2017,Ontario,Hommes,25 à 44 ans,5.5
2018,Ontario,Hommes,25 à 44 ans,5.0
2019,Ontario,Hommes,25 à 44 ans,5.3
2020,Ontario,Hommes,25 à 44 ans,8.2
2015,Ontario,Hommes,45 à 64 ans,5.1
2016,Ontario,Hommes,45 à 64 ans,5.5
2017,Ontario,Hommes,45 à 64 ans,4.7
2018,Ontario,Hommes,45 à 64 ans,4.1
2019,Ontario,Hommes,45 à 64 ans,3.9
2020,Ontario,Hommes,45 à 64 ans,6.4
2015,Ontario,Hommes,45 ans et plus,4.9
2016,Ontario,Hommes,45 ans et plus,5.2
2017,Ontario,Hommes,45 ans et plus,4.6
2018,Ontario,Hommes,45 ans et plus,4.0
2019,Ontario,Hommes,45 ans et plus,3.8
2020,Ontario,Hommes,45 ans et plus,6.2
2015,Ontario,Hommes,25 à 54 ans,5.8
2016,Ontario,Hommes,25 à 54 ans,5.6
2017,Ontario,Hommes,25 à 54 ans,5.1
2018,Ontario,Hommes,25 à 54 ans,4.5
2019,Ontario,Hommes,25 à 54 ans,4.6
2020,Ontario,Hommes,25 à 54 ans,7.4
2015,Ontario,Hommes,55 ans et plus,4.9
2016,Ontario,Hommes,55 ans et plus,5.1
2017,Ontario,Hommes,55 ans et plus,4.8
2018,Ontario,Hommes,55 ans et plus,4.4
2019,Ontario,Hommes,55 ans et plus,4.2
2020,Ontario,Hommes,55 ans et plus,6.8
2015,Ontario,Hommes,15 à 64 ans,7.2
2016,Ontario,Hommes,15 à 64 ans,7.0
2017,Ontario,Hommes,15 à 64 ans,6.4
2018,Ontario,Hommes,15 à 64 ans,5.8
2019,Ontario,Hommes,15 à 64 ans,5.9
2020,Ontario,Hommes,15 à 64 ans,9.5
2015,Ontario,Hommes,15 à 19 ans,21.3
2016,Ontario,Hommes,15 à 19 ans,19.9
2017,Ontario,Hommes,15 à 19 ans,17.4
2018,Ontario,Hommes,15 à 19 ans,16.5
2019,Ontario,Hommes,15 à 19 ans,16.3
