Year,Géographie,Âge,Sexe,Value
2016,Colombie-Britannique,"Total, 12 ans et plus",Femmes,12.1
2017,Colombie-Britannique,"Total, 12 ans et plus",Femmes,13.2
2018,Colombie-Britannique,"Total, 12 ans et plus",Femmes,15.7
2019,Colombie-Britannique,"Total, 12 ans et plus",Femmes,15.1
2015,Colombie-Britannique,12 à 17 ans,Les deux sexes,2.0
2016,Colombie-Britannique,12 à 17 ans,Les deux sexes,4.3
2017,Colombie-Britannique,12 à 17 ans,Les deux sexes,1.8
2018,Colombie-Britannique,12 à 17 ans,Les deux sexes,2.9
2019,Colombie-Britannique,12 à 17 ans,Les deux sexes,2.9
2015,Colombie-Britannique,12 à 17 ans,Hommes,2.0
2016,Colombie-Britannique,12 à 17 ans,Hommes,
2017,Colombie-Britannique,12 à 17 ans,Hommes,
2018,Colombie-Britannique,12 à 17 ans,Hommes,
2019,Colombie-Britannique,12 à 17 ans,Hommes,
2015,Colombie-Britannique,12 à 17 ans,Femmes,
2016,Colombie-Britannique,12 à 17 ans,Femmes,4.2
2017,Colombie-Britannique,12 à 17 ans,Femmes,
2018,Colombie-Britannique,12 à 17 ans,Femmes,3.6
2019,Colombie-Britannique,12 à 17 ans,Femmes,
2015,Colombie-Britannique,18 à 34 ans,Les deux sexes,28.5
2016,Colombie-Britannique,18 à 34 ans,Les deux sexes,24.1
2017,Colombie-Britannique,18 à 34 ans,Les deux sexes,29.3
2018,Colombie-Britannique,18 à 34 ans,Les deux sexes,32.2
2019,Colombie-Britannique,18 à 34 ans,Les deux sexes,27.0
2015,Colombie-Britannique,18 à 34 ans,Hommes,37.6
2016,Colombie-Britannique,18 à 34 ans,Hommes,30.2
2017,Colombie-Britannique,18 à 34 ans,Hommes,35.5
2018,Colombie-Britannique,18 à 34 ans,Hommes,36.9
2019,Colombie-Britannique,18 à 34 ans,Hommes,32.0
2015,Colombie-Britannique,18 à 34 ans,Femmes,19.4
2016,Colombie-Britannique,18 à 34 ans,Femmes,17.9
2017,Colombie-Britannique,18 à 34 ans,Femmes,23.2
2018,Colombie-Britannique,18 à 34 ans,Femmes,27.4
2019,Colombie-Britannique,18 à 34 ans,Femmes,21.9
2015,Colombie-Britannique,35 à 49 ans,Les deux sexes,21.2
2016,Colombie-Britannique,35 à 49 ans,Les deux sexes,22.1
2017,Colombie-Britannique,35 à 49 ans,Les deux sexes,18.9
2018,Colombie-Britannique,35 à 49 ans,Les deux sexes,23.3
2019,Colombie-Britannique,35 à 49 ans,Les deux sexes,20.0
2015,Colombie-Britannique,35 à 49 ans,Hommes,27.3
2016,Colombie-Britannique,35 à 49 ans,Hommes,28.2
2017,Colombie-Britannique,35 à 49 ans,Hommes,24.3
2018,Colombie-Britannique,35 à 49 ans,Hommes,29.2
2019,Colombie-Britannique,35 à 49 ans,Hommes,21.8
2015,Colombie-Britannique,35 à 49 ans,Femmes,15.4
2016,Colombie-Britannique,35 à 49 ans,Femmes,16.3
2017,Colombie-Britannique,35 à 49 ans,Femmes,13.7
2018,Colombie-Britannique,35 à 49 ans,Femmes,17.6
2019,Colombie-Britannique,35 à 49 ans,Femmes,18.2
2015,Colombie-Britannique,50 à 64 ans,Les deux sexes,14.6
2016,Colombie-Britannique,50 à 64 ans,Les deux sexes,15.2
2017,Colombie-Britannique,50 à 64 ans,Les deux sexes,17.1
2018,Colombie-Britannique,50 à 64 ans,Les deux sexes,19.9
2019,Colombie-Britannique,50 à 64 ans,Les deux sexes,20.7
2015,Colombie-Britannique,50 à 64 ans,Hommes,18.6
2016,Colombie-Britannique,50 à 64 ans,Hommes,19.7
2017,Colombie-Britannique,50 à 64 ans,Hommes,20.9
2018,Colombie-Britannique,50 à 64 ans,Hommes,24.8
2019,Colombie-Britannique,50 à 64 ans,Hommes,24.4
2015,Colombie-Britannique,50 à 64 ans,Femmes,10.6
2016,Colombie-Britannique,50 à 64 ans,Femmes,10.8
2017,Colombie-Britannique,50 à 64 ans,Femmes,13.5
2018,Colombie-Britannique,50 à 64 ans,Femmes,15.3
2019,Colombie-Britannique,50 à 64 ans,Femmes,17.1
2015,Colombie-Britannique,65 ans et plus,Les deux sexes,6.3
2016,Colombie-Britannique,65 ans et plus,Les deux sexes,7.3
2017,Colombie-Britannique,65 ans et plus,Les deux sexes,7.4
2018,Colombie-Britannique,65 ans et plus,Les deux sexes,7.3
2019,Colombie-Britannique,65 ans et plus,Les deux sexes,7.8
2015,Colombie-Britannique,65 ans et plus,Hommes,7.7
2016,Colombie-Britannique,65 ans et plus,Hommes,10.3
2017,Colombie-Britannique,65 ans et plus,Hommes,11.7
2018,Colombie-Britannique,65 ans et plus,Hommes,10.9
2019,Colombie-Britannique,65 ans et plus,Hommes,10.2
2015,Colombie-Britannique,65 ans et plus,Femmes,5.1
2016,Colombie-Britannique,65 ans et plus,Femmes,4.5
2017,Colombie-Britannique,65 ans et plus,Femmes,3.4
2018,Colombie-Britannique,65 ans et plus,Femmes,4.1
2019,Colombie-Britannique,65 ans et plus,Femmes,5.6
