Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,Value
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,35 à 44 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",64.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Hommes,72.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Femmes,64.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Sexe inconnu,43.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,45 à 54 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",62.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Hommes,128.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Femmes,1.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Sexe inconnu,2.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions,55 ans et plus,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",71.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",79.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",99.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",92.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",106.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,80.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,85.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,99.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,92.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,113.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,58.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,51.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,99.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,86.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,93.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,57.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,78.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,98.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,96.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,100.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",50.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Hommes,51.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Femmes,43.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,49.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",70.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Hommes,71.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Femmes,85.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,59.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",57.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Hommes,58.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Femmes,22.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,50.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",64.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Hommes,79.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Femmes,43.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,51.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",128.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Hommes,134.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Femmes,0.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,2.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",73.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",92.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",113.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",106.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",120.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,85.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,94.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,109.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,118.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,124.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,63.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,48.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,140.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,96.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,92.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,0.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,72.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,103.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,114.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,101.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,120.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",71.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Hommes,71.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Hommes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Hommes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Hommes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Hommes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Femmes,85.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Femmes,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Femmes,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Femmes,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Femmes,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Sexe inconnu,64.0
2015/2016,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Sexe inconnu,0.0
2016/2017,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Sexe inconnu,0.0
2017/2018,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Sexe inconnu,0.0
2018/2019,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,18 à 24 ans,Sexe inconnu,0.0
2014/2015,Tribunaux pour adultes,Territoires du Nord-Ouest,Infractions contre la personne,25 à 34 ans,"Total, le sexe de l'accusé",71.0
