Year,Geography,Population characteristics,Education attainment level,Age group,Gender,GeoCode,Value
2016,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,11,9.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Men+,11,9.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,25 to 34 years,Women+,11,10.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,11,12.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Men+,11,13.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,30 to 34 years,Women+,11,11.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,11,10.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Men+,11,7.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,35 to 44 years,Women+,11,12.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,11,7.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Men+,11,6.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,45 to 54 years,Women+,11,9.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,11,6.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Men+,11,7.0
2016,Prince Edward Island,Total population,Master's or Doctoral level,55 to 64 years,Women+,11,6.0
2016,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,12,53.0
2016,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Men+,12,44.0
2016,Nova Scotia,Total population,Tertiary education,"Total, 25 to 64 years",Women+,12,61.0
2016,Nova Scotia,Total population,Tertiary education,25 to 34 years,Total - Gender,12,62.0
2016,Nova Scotia,Total population,Tertiary education,25 to 34 years,Men+,12,51.0
2016,Nova Scotia,Total population,Tertiary education,25 to 34 years,Women+,12,72.0
2016,Nova Scotia,Total population,Tertiary education,30 to 34 years,Total - Gender,12,63.0
2016,Nova Scotia,Total population,Tertiary education,30 to 34 years,Men+,12,52.0
2016,Nova Scotia,Total population,Tertiary education,30 to 34 years,Women+,12,73.0
2016,Nova Scotia,Total population,Tertiary education,35 to 44 years,Total - Gender,12,62.0
2016,Nova Scotia,Total population,Tertiary education,35 to 44 years,Men+,12,54.0
2016,Nova Scotia,Total population,Tertiary education,35 to 44 years,Women+,12,70.0
2016,Nova Scotia,Total population,Tertiary education,45 to 54 years,Total - Gender,12,50.0
2016,Nova Scotia,Total population,Tertiary education,45 to 54 years,Men+,12,41.0
2016,Nova Scotia,Total population,Tertiary education,45 to 54 years,Women+,12,58.0
2016,Nova Scotia,Total population,Tertiary education,55 to 64 years,Total - Gender,12,43.0
2016,Nova Scotia,Total population,Tertiary education,55 to 64 years,Men+,12,36.0
2016,Nova Scotia,Total population,Tertiary education,55 to 64 years,Women+,12,49.0
2016,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,12,25.0
2016,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,12,20.0
2016,Nova Scotia,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,12,30.0
2016,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,12,26.0
2016,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Men+,12,23.0
2016,Nova Scotia,Total population,Short-cycle tertiary,25 to 34 years,Women+,12,28.0
2016,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,12,25.0
2016,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Men+,12,23.0
2016,Nova Scotia,Total population,Short-cycle tertiary,30 to 34 years,Women+,12,27.0
2016,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,12,28.0
2016,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Men+,12,23.0
2016,Nova Scotia,Total population,Short-cycle tertiary,35 to 44 years,Women+,12,33.0
2016,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,12,25.0
2016,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Men+,12,20.0
2016,Nova Scotia,Total population,Short-cycle tertiary,45 to 54 years,Women+,12,30.0
2016,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,12,22.0
2016,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Men+,12,16.0
2016,Nova Scotia,Total population,Short-cycle tertiary,55 to 64 years,Women+,12,28.0
2016,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,12,17.0
2016,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,12,15.0
2016,Nova Scotia,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,12,19.0
2016,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Total - Gender,12,23.0
2016,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Men+,12,19.0
2016,Nova Scotia,Total population,Bachelor's level,25 to 34 years,Women+,12,28.0
2016,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Total - Gender,12,23.0
2016,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Men+,12,18.0
2016,Nova Scotia,Total population,Bachelor's level,30 to 34 years,Women+,12,28.0
2016,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Total - Gender,12,20.0
2016,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Men+,12,18.0
2016,Nova Scotia,Total population,Bachelor's level,35 to 44 years,Women+,12,22.0
2016,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Total - Gender,12,15.0
2016,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Men+,12,13.0
2016,Nova Scotia,Total population,Bachelor's level,45 to 54 years,Women+,12,17.0
2016,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Total - Gender,12,12.0
2016,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Men+,12,11.0
2016,Nova Scotia,Total population,Bachelor's level,55 to 64 years,Women+,12,12.0
2016,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,12,11.0
2016,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,12,10.0
2016,Nova Scotia,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,12,12.0
2016,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,12,13.0
2016,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Men+,12,9.0
2016,Nova Scotia,Total population,Master's or Doctoral level,25 to 34 years,Women+,12,16.0
2016,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,12,15.0
2016,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Men+,12,11.0
2016,Nova Scotia,Total population,Master's or Doctoral level,30 to 34 years,Women+,12,18.0
2016,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,12,14.0
2016,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Men+,12,13.0
2016,Nova Scotia,Total population,Master's or Doctoral level,35 to 44 years,Women+,12,15.0
2016,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,12,10.0
2016,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Men+,12,9.0
2016,Nova Scotia,Total population,Master's or Doctoral level,45 to 54 years,Women+,12,10.0
2016,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,12,9.0
2016,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Men+,12,9.0
2016,Nova Scotia,Total population,Master's or Doctoral level,55 to 64 years,Women+,12,9.0
2016,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,13,52.0
2016,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Men+,13,46.0
2016,New Brunswick,Total population,Tertiary education,"Total, 25 to 64 years",Women+,13,58.0
2016,New Brunswick,Total population,Tertiary education,25 to 34 years,Total - Gender,13,62.0
2016,New Brunswick,Total population,Tertiary education,25 to 34 years,Men+,13,55.0
2016,New Brunswick,Total population,Tertiary education,25 to 34 years,Women+,13,69.0
2016,New Brunswick,Total population,Tertiary education,30 to 34 years,Total - Gender,13,64.0
2016,New Brunswick,Total population,Tertiary education,30 to 34 years,Men+,13,56.0
2016,New Brunswick,Total population,Tertiary education,30 to 34 years,Women+,13,72.0
2016,New Brunswick,Total population,Tertiary education,35 to 44 years,Total - Gender,13,63.0
2016,New Brunswick,Total population,Tertiary education,35 to 44 years,Men+,13,54.0
2016,New Brunswick,Total population,Tertiary education,35 to 44 years,Women+,13,71.0
2016,New Brunswick,Total population,Tertiary education,45 to 54 years,Total - Gender,13,51.0
2016,New Brunswick,Total population,Tertiary education,45 to 54 years,Men+,13,47.0
2016,New Brunswick,Total population,Tertiary education,45 to 54 years,Women+,13,54.0
2016,New Brunswick,Total population,Tertiary education,55 to 64 years,Total - Gender,13,39.0
2016,New Brunswick,Total population,Tertiary education,55 to 64 years,Men+,13,34.0
2016,New Brunswick,Total population,Tertiary education,55 to 64 years,Women+,13,44.0
2016,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,13,31.0
2016,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,13,28.0
2016,New Brunswick,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,13,33.0
2016,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,13,34.0
2016,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Men+,13,34.0
2016,New Brunswick,Total population,Short-cycle tertiary,25 to 34 years,Women+,13,34.0
2016,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,13,32.0
2016,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Men+,13,34.0
2016,New Brunswick,Total population,Short-cycle tertiary,30 to 34 years,Women+,13,31.0
2016,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,13,35.0
2016,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Men+,13,33.0
2016,New Brunswick,Total population,Short-cycle tertiary,35 to 44 years,Women+,13,36.0
2016,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,13,31.0
2016,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Men+,13,29.0
2016,New Brunswick,Total population,Short-cycle tertiary,45 to 54 years,Women+,13,34.0
2016,New Brunswick,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,13,25.0
2016,New Brunswick,Total population,Short-cycle tertiary,55 to 64 years,Men+,13,20.0
2016,New Brunswick,Total population,Short-cycle tertiary,55 to 64 years,Women+,13,30.0
2016,New Brunswick,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,13,15.0
2016,New Brunswick,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,13,13.0
2016,New Brunswick,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,13,18.0
2016,New Brunswick,Total population,Bachelor's level,25 to 34 years,Total - Gender,13,22.0
2016,New Brunswick,Total population,Bachelor's level,25 to 34 years,Men+,13,15.0
2016,New Brunswick,Total population,Bachelor's level,25 to 34 years,Women+,13,29.0
2016,New Brunswick,Total population,Bachelor's level,30 to 34 years,Total - Gender,13,24.0
2016,New Brunswick,Total population,Bachelor's level,30 to 34 years,Men+,13,15.0
2016,New Brunswick,Total population,Bachelor's level,30 to 34 years,Women+,13,32.0
2016,New Brunswick,Total population,Bachelor's level,35 to 44 years,Total - Gender,13,20.0
2016,New Brunswick,Total population,Bachelor's level,35 to 44 years,Men+,13,15.0
2016,New Brunswick,Total population,Bachelor's level,35 to 44 years,Women+,13,24.0
2016,New Brunswick,Total population,Bachelor's level,45 to 54 years,Total - Gender,13,13.0
2016,New Brunswick,Total population,Bachelor's level,45 to 54 years,Men+,13,12.0
2016,New Brunswick,Total population,Bachelor's level,45 to 54 years,Women+,13,14.0
2016,New Brunswick,Total population,Bachelor's level,55 to 64 years,Total - Gender,13,10.0
2016,New Brunswick,Total population,Bachelor's level,55 to 64 years,Men+,13,10.0
2016,New Brunswick,Total population,Bachelor's level,55 to 64 years,Women+,13,10.0
2016,New Brunswick,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,13,7.0
2016,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,13,7.0
2016,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Men+,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,25 to 34 years,Women+,13,7.0
2016,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,13,8.0
2016,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Men+,13,7.0
2016,New Brunswick,Total population,Master's or Doctoral level,30 to 34 years,Women+,13,10.0
2016,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,13,8.0
2016,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Men+,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,35 to 44 years,Women+,13,11.0
2016,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Men+,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,45 to 54 years,Women+,13,6.0
2016,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,13,5.0
2016,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Men+,13,5.0
2016,New Brunswick,Total population,Master's or Doctoral level,55 to 64 years,Women+,13,5.0
2016,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,24,51.0
2016,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Men+,24,46.0
2016,Quebec,Total population,Tertiary education,"Total, 25 to 64 years",Women+,24,57.0
2016,Quebec,Total population,Tertiary education,25 to 34 years,Total - Gender,24,57.0
2016,Quebec,Total population,Tertiary education,25 to 34 years,Men+,24,47.0
2016,Quebec,Total population,Tertiary education,25 to 34 years,Women+,24,67.0
2016,Quebec,Total population,Tertiary education,30 to 34 years,Total - Gender,24,60.0
2016,Quebec,Total population,Tertiary education,30 to 34 years,Men+,24,50.0
2016,Quebec,Total population,Tertiary education,30 to 34 years,Women+,24,70.0
2016,Quebec,Total population,Tertiary education,35 to 44 years,Total - Gender,24,60.0
2016,Quebec,Total population,Tertiary education,35 to 44 years,Men+,24,53.0
2016,Quebec,Total population,Tertiary education,35 to 44 years,Women+,24,68.0
2016,Quebec,Total population,Tertiary education,45 to 54 years,Total - Gender,24,51.0
2016,Quebec,Total population,Tertiary education,45 to 54 years,Men+,24,47.0
2016,Quebec,Total population,Tertiary education,45 to 54 years,Women+,24,54.0
2016,Quebec,Total population,Tertiary education,55 to 64 years,Total - Gender,24,39.0
2016,Quebec,Total population,Tertiary education,55 to 64 years,Men+,24,38.0
2016,Quebec,Total population,Tertiary education,55 to 64 years,Women+,24,40.0
2016,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,24,24.0
2016,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,24,21.0
2016,Quebec,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,24,27.0
2016,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,24,24.0
2016,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Men+,24,21.0
2016,Quebec,Total population,Short-cycle tertiary,25 to 34 years,Women+,24,27.0
2016,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,24,24.0
2016,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Men+,24,21.0
2016,Quebec,Total population,Short-cycle tertiary,30 to 34 years,Women+,24,26.0
2016,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,24,27.0
2016,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Men+,24,24.0
2016,Quebec,Total population,Short-cycle tertiary,35 to 44 years,Women+,24,29.0
2016,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,24,26.0
2016,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Men+,24,22.0
2016,Quebec,Total population,Short-cycle tertiary,45 to 54 years,Women+,24,29.0
2016,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,24,21.0
2016,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Men+,24,19.0
2016,Quebec,Total population,Short-cycle tertiary,55 to 64 years,Women+,24,24.0
2016,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,24,18.0
2016,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,24,16.0
2016,Quebec,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,24,20.0
2016,Quebec,Total population,Bachelor's level,25 to 34 years,Total - Gender,24,23.0
2016,Quebec,Total population,Bachelor's level,25 to 34 years,Men+,24,18.0
2016,Quebec,Total population,Bachelor's level,25 to 34 years,Women+,24,27.0
2016,Quebec,Total population,Bachelor's level,30 to 34 years,Total - Gender,24,24.0
2016,Quebec,Total population,Bachelor's level,30 to 34 years,Men+,24,19.0
2016,Quebec,Total population,Bachelor's level,30 to 34 years,Women+,24,29.0
2016,Quebec,Total population,Bachelor's level,35 to 44 years,Total - Gender,24,22.0
2016,Quebec,Total population,Bachelor's level,35 to 44 years,Men+,24,19.0
2016,Quebec,Total population,Bachelor's level,35 to 44 years,Women+,24,26.0
2016,Quebec,Total population,Bachelor's level,45 to 54 years,Total - Gender,24,17.0
2016,Quebec,Total population,Bachelor's level,45 to 54 years,Men+,24,16.0
2016,Quebec,Total population,Bachelor's level,45 to 54 years,Women+,24,18.0
2016,Quebec,Total population,Bachelor's level,55 to 64 years,Total - Gender,24,12.0
2016,Quebec,Total population,Bachelor's level,55 to 64 years,Men+,24,12.0
2016,Quebec,Total population,Bachelor's level,55 to 64 years,Women+,24,11.0
2016,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,24,9.0
2016,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,24,9.0
2016,Quebec,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,24,9.0
2016,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,24,10.0
2016,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Men+,24,8.0
2016,Quebec,Total population,Master's or Doctoral level,25 to 34 years,Women+,24,13.0
2016,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,24,13.0
2016,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Men+,24,10.0
2016,Quebec,Total population,Master's or Doctoral level,30 to 34 years,Women+,24,15.0
2016,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,24,11.0
2016,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Men+,24,10.0
2016,Quebec,Total population,Master's or Doctoral level,35 to 44 years,Women+,24,12.0
2016,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,24,8.0
2016,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Men+,24,9.0
2016,Quebec,Total population,Master's or Doctoral level,45 to 54 years,Women+,24,7.0
2016,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,24,6.0
2016,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Men+,24,7.0
2016,Quebec,Total population,Master's or Doctoral level,55 to 64 years,Women+,24,5.0
2016,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,35,63.0
2016,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Men+,35,58.0
2016,Ontario,Total population,Tertiary education,"Total, 25 to 64 years",Women+,35,67.0
2016,Ontario,Total population,Tertiary education,25 to 34 years,Total - Gender,35,68.0
2016,Ontario,Total population,Tertiary education,25 to 34 years,Men+,35,61.0
2016,Ontario,Total population,Tertiary education,25 to 34 years,Women+,35,75.0
2016,Ontario,Total population,Tertiary education,30 to 34 years,Total - Gender,35,68.0
2016,Ontario,Total population,Tertiary education,30 to 34 years,Men+,35,62.0
2016,Ontario,Total population,Tertiary education,30 to 34 years,Women+,35,75.0
2016,Ontario,Total population,Tertiary education,35 to 44 years,Total - Gender,35,67.0
2016,Ontario,Total population,Tertiary education,35 to 44 years,Men+,35,61.0
2016,Ontario,Total population,Tertiary education,35 to 44 years,Women+,35,73.0
2016,Ontario,Total population,Tertiary education,45 to 54 years,Total - Gender,35,62.0
2016,Ontario,Total population,Tertiary education,45 to 54 years,Men+,35,59.0
2016,Ontario,Total population,Tertiary education,45 to 54 years,Women+,35,66.0
2016,Ontario,Total population,Tertiary education,55 to 64 years,Total - Gender,35,53.0
2016,Ontario,Total population,Tertiary education,55 to 64 years,Men+,35,51.0
2016,Ontario,Total population,Tertiary education,55 to 64 years,Women+,35,55.0
2016,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,35,28.0
2016,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,35,25.0
2016,Ontario,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,35,31.0
2016,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,35,28.0
2016,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Men+,35,27.0
2016,Ontario,Total population,Short-cycle tertiary,25 to 34 years,Women+,35,30.0
2016,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,35,28.0
2016,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Men+,35,27.0
2016,Ontario,Total population,Short-cycle tertiary,30 to 34 years,Women+,35,30.0
2016,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Total - Gender,35,29.0
2016,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Men+,35,26.0
2016,Ontario,Total population,Short-cycle tertiary,35 to 44 years,Women+,35,31.0
2016,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Total - Gender,35,29.0
2016,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Men+,35,25.0
2016,Ontario,Total population,Short-cycle tertiary,45 to 54 years,Women+,35,34.0
2016,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Total - Gender,35,27.0
2016,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Men+,35,24.0
2016,Ontario,Total population,Short-cycle tertiary,55 to 64 years,Women+,35,30.0
2016,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Total - Gender,35,22.0
2016,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Men+,35,21.0
2016,Ontario,Total population,Bachelor's level,"Total, 25 to 64 years",Women+,35,24.0
2016,Ontario,Total population,Bachelor's level,25 to 34 years,Total - Gender,35,27.0
2016,Ontario,Total population,Bachelor's level,25 to 34 years,Men+,35,23.0
2016,Ontario,Total population,Bachelor's level,25 to 34 years,Women+,35,30.0
2016,Ontario,Total population,Bachelor's level,30 to 34 years,Total - Gender,35,24.0
2016,Ontario,Total population,Bachelor's level,30 to 34 years,Men+,35,22.0
2016,Ontario,Total population,Bachelor's level,30 to 34 years,Women+,35,27.0
2016,Ontario,Total population,Bachelor's level,35 to 44 years,Total - Gender,35,24.0
2016,Ontario,Total population,Bachelor's level,35 to 44 years,Men+,35,22.0
2016,Ontario,Total population,Bachelor's level,35 to 44 years,Women+,35,27.0
2016,Ontario,Total population,Bachelor's level,45 to 54 years,Total - Gender,35,21.0
2016,Ontario,Total population,Bachelor's level,45 to 54 years,Men+,35,21.0
2016,Ontario,Total population,Bachelor's level,45 to 54 years,Women+,35,22.0
2016,Ontario,Total population,Bachelor's level,55 to 64 years,Total - Gender,35,17.0
2016,Ontario,Total population,Bachelor's level,55 to 64 years,Men+,35,17.0
2016,Ontario,Total population,Bachelor's level,55 to 64 years,Women+,35,17.0
2016,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Total - Gender,35,12.0
2016,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Men+,35,12.0
2016,Ontario,Total population,Master's or Doctoral level,"Total, 25 to 64 years",Women+,35,12.0
2016,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Total - Gender,35,13.0
2016,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Men+,35,11.0
2016,Ontario,Total population,Master's or Doctoral level,25 to 34 years,Women+,35,15.0
2016,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Total - Gender,35,16.0
2016,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Men+,35,13.0
2016,Ontario,Total population,Master's or Doctoral level,30 to 34 years,Women+,35,18.0
2016,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Total - Gender,35,14.0
2016,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Men+,35,13.0
2016,Ontario,Total population,Master's or Doctoral level,35 to 44 years,Women+,35,15.0
2016,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Total - Gender,35,11.0
2016,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Men+,35,13.0
2016,Ontario,Total population,Master's or Doctoral level,45 to 54 years,Women+,35,10.0
2016,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Total - Gender,35,9.0
2016,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Men+,35,11.0
2016,Ontario,Total population,Master's or Doctoral level,55 to 64 years,Women+,35,8.0
2016,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Total - Gender,46,50.0
2016,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Men+,46,43.0
2016,Manitoba,Total population,Tertiary education,"Total, 25 to 64 years",Women+,46,57.0
2016,Manitoba,Total population,Tertiary education,25 to 34 years,Total - Gender,46,52.0
2016,Manitoba,Total population,Tertiary education,25 to 34 years,Men+,46,43.0
2016,Manitoba,Total population,Tertiary education,25 to 34 years,Women+,46,61.0
2016,Manitoba,Total population,Tertiary education,30 to 34 years,Total - Gender,46,53.0
2016,Manitoba,Total population,Tertiary education,30 to 34 years,Men+,46,44.0
2016,Manitoba,Total population,Tertiary education,30 to 34 years,Women+,46,63.0
2016,Manitoba,Total population,Tertiary education,35 to 44 years,Total - Gender,46,55.0
2016,Manitoba,Total population,Tertiary education,35 to 44 years,Men+,46,47.0
2016,Manitoba,Total population,Tertiary education,35 to 44 years,Women+,46,63.0
2016,Manitoba,Total population,Tertiary education,45 to 54 years,Total - Gender,46,50.0
2016,Manitoba,Total population,Tertiary education,45 to 54 years,Men+,46,44.0
2016,Manitoba,Total population,Tertiary education,45 to 54 years,Women+,46,56.0
2016,Manitoba,Total population,Tertiary education,55 to 64 years,Total - Gender,46,43.0
2016,Manitoba,Total population,Tertiary education,55 to 64 years,Men+,46,39.0
2016,Manitoba,Total population,Tertiary education,55 to 64 years,Women+,46,48.0
2016,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Total - Gender,46,24.0
2016,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Men+,46,20.0
2016,Manitoba,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Women+,46,28.0
2016,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Total - Gender,46,21.0
2016,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Men+,46,18.0
2016,Manitoba,Total population,Short-cycle tertiary,25 to 34 years,Women+,46,24.0
2016,Manitoba,Total population,Short-cycle tertiary,30 to 34 years,Total - Gender,46,22.0
2016,Manitoba,Total population,Short-cycle tertiary,30 to 34 years,Men+,46,20.0
